LineNo,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
325,1.6419e+09,0.0094086,0.00059112,0.024179,0.00052862,0.43322
553,1.6419e+09,0.0089739,0.00059629,0.024657,0.00059191,0.465
1007,1.642e+09,0.0079422,0.0006275,0.025723,0.00055555,0.53559
1121,1.6421e+09,0.0076613,0.00062061,0.026045,0.00059162,0.55495
1228,1.6422e+09,0.0070988,0.00067799,0.026631,0.00058234,0.59289
1339,1.6422e+09,0.0068284,0.00065924,0.026945,0.00058867,0.61151
1518,1.6423e+09,0.0064392,0.00062729,0.027354,0.00057426,0.6386
1700,1.6423e+09,0.0060712,0.00060036,0.02774,0.00054551,0.66397
1744,1.6423e+09,0.005955,0.00059529,0.027846,0.00054871,0.67188
1789,1.6423e+09,0.0058439,0.00060098,0.027948,0.00053897,0.67945
1833,1.6423e+09,0.0057348,0.00059186,0.028037,0.00053703,0.68665
1878,1.6423e+09,0.0056299,0.00058671,0.0281,0.00057646,0.69344
1925,1.6424e+09,0.0055284,0.00057843,0.028155,0.00057575,0.69981
1968,1.6424e+09,0.0053909,0.00060383,0.028229,0.0005709,0.70856
2010,1.6424e+09,0.0053102,0.00062361,0.028258,0.00058436,0.71383
2058,1.6424e+09,0.0052382,0.00063429,0.028289,0.00057366,0.71867
2101,1.6424e+09,0.0051679,0.00062359,0.028316,0.00056421,0.72307
2143,1.6424e+09,0.0051057,0.00062451,0.028334,0.00056126,0.72704
2189,1.6424e+09,0.0050378,0.00062268,0.028342,0.00056238,0.7314
2233,1.6424e+09,0.0049952,0.00062801,0.028347,0.00055345,0.73441
2275,1.6425e+09,0.0049528,0.00061649,0.028353,0.00054273,0.73703
2319,1.6425e+09,0.0049094,0.0006048,0.02835,0.0005441,0.73924
2361,1.6425e+09,0.0048715,0.00059523,0.028334,0.00055577,0.74108
2404,1.6425e+09,0.004841,0.00059022,0.028306,0.00057015,0.74254
2447,1.6425e+09,0.0048251,0.00060454,0.028272,0.00056818,0.74364
2493,1.6425e+09,0.0048131,0.00059832,0.028232,0.0005725,0.74439
2537,1.6425e+09,0.0048058,0.00059144,0.028195,0.00056123,0.7448
2579,1.6425e+09,0.0048048,0.00058521,0.028156,0.00055284,0.74489
2622,1.6425e+09,0.0048112,0.0005805,0.0281,0.00057967,0.74466
2667,1.6425e+09,0.0048209,0.00057702,0.028042,0.00057656,0.74413
2715,1.6426e+09,0.0048742,0.00061474,0.027953,0.00057642,0.74279
2760,1.6426e+09,0.0049265,0.00062772,0.027898,0.00057038,0.74155
2805,1.6426e+09,0.0049818,0.00062421,0.027842,0.00056557,0.74007
2850,1.6426e+09,0.0050521,0.00063379,0.027774,0.00057367,0.73833
2899,1.6426e+09,0.0051221,0.00062505,0.027703,0.00057132,0.73636
2943,1.6426e+09,0.0051994,0.00062167,0.027619,0.0005966,0.73415
2990,1.6426e+09,0.0052731,0.00061121,0.027536,0.00058819,0.73173
3034,1.6426e+09,0.00535,0.00060272,0.027452,0.00058108,0.72909
