LineNo,TimeUS,Id,Value
3317,1.6427e+09,7,6.3503e+06
7683,1.6437e+09,7,4.2531e+06
12111,1.6448e+09,7,4.2531e+06
16229,1.6458e+09,7,4.2531e+06
20573,1.6468e+09,7,4.2531e+06
24938,1.6479e+09,7,4.2204e+06
29326,1.6489e+09,7,4.2039e+06
33722,1.65e+09,7,4.2039e+06
38159,1.651e+09,7,4.2039e+06
42533,1.6521e+09,7,4.2039e+06
46862,1.6532e+09,7,4.2039e+06
51212,1.6543e+09,7,4.2039e+06
55564,1.6553e+09,7,4.2039e+06
59883,1.6564e+09,7,4.2039e+06
64224,1.6575e+09,7,4.2039e+06
68566,1.6586e+09,7,4.2039e+06
72895,1.6596e+09,7,4.2039e+06
77217,1.6607e+09,7,4.2039e+06
81596,1.6618e+09,7,4.2039e+06
85977,1.6629e+09,7,4.2039e+06
90360,1.6639e+09,7,4.2039e+06
94706,1.665e+09,7,4.2039e+06
99088,1.6661e+09,7,4.2039e+06
1.0347e+05,1.6672e+09,7,4.2039e+06
1.0786e+05,1.6683e+09,7,4.2039e+06
1.1221e+05,1.6693e+09,7,4.2039e+06
1.1656e+05,1.6704e+09,7,4.2039e+06
1.2095e+05,1.6715e+09,7,4.2039e+06
1.2531e+05,1.6726e+09,7,4.2039e+06
1.2973e+05,1.6736e+09,7,4.2039e+06
1.3409e+05,1.6747e+09,7,4.2039e+06
1.3844e+05,1.6758e+09,7,4.2039e+06
1.4284e+05,1.6769e+09,7,4.2039e+06
1.4718e+05,1.678e+09,7,4.2039e+06
1.5156e+05,1.679e+09,7,4.2039e+06
1.5588e+05,1.6801e+09,7,4.2039e+06
1.602e+05,1.6812e+09,7,4.2039e+06
1.6457e+05,1.6822e+09,7,4.2039e+06
1.6891e+05,1.6833e+09,7,4.2039e+06
1.7325e+05,1.6844e+09,7,4.2039e+06
1.776e+05,1.6855e+09,7,4.2039e+06
1.8191e+05,1.6865e+09,7,4.2039e+06
1.8622e+05,1.6876e+09,7,4.2039e+06
1.9049e+05,1.6887e+09,7,4.2039e+06
1.9484e+05,1.6898e+09,7,4.2039e+06
1.9917e+05,1.6908e+09,7,4.2039e+06
2.0346e+05,1.6919e+09,7,4.2039e+06
2.0779e+05,1.693e+09,7,4.2039e+06
2.1209e+05,1.6941e+09,7,4.2039e+06
2.1639e+05,1.6951e+09,7,4.2039e+06
2.2077e+05,1.6962e+09,7,4.2039e+06
2.251e+05,1.6973e+09,7,4.2039e+06
2.2947e+05,1.6984e+09,7,4.2039e+06
2.338e+05,1.6994e+09,7,4.2039e+06
2.3812e+05,1.7005e+09,7,4.2039e+06
2.4242e+05,1.7016e+09,7,4.2039e+06
2.4668e+05,1.7027e+09,7,4.2039e+06
2.5102e+05,1.7037e+09,7,4.2039e+06
2.5542e+05,1.7048e+09,7,4.2039e+06
2.5974e+05,1.7059e+09,7,4.2039e+06
2.6404e+05,1.707e+09,7,4.2039e+06
2.6843e+05,1.708e+09,7,4.2039e+06
2.7275e+05,1.7091e+09,7,4.2039e+06
2.7708e+05,1.7102e+09,7,4.2039e+06
2.8139e+05,1.7113e+09,7,4.2039e+06
2.8566e+05,1.7123e+09,7,4.2039e+06
2.9003e+05,1.7134e+09,7,4.2039e+06
2.9437e+05,1.7145e+09,7,4.2039e+06
2.987e+05,1.7156e+09,7,4.2039e+06
3.0304e+05,1.7166e+09,7,4.2039e+06
3.0741e+05,1.7177e+09,7,4.2039e+06
3.1173e+05,1.7188e+09,7,4.2039e+06
3.1594e+05,1.7199e+09,7,4.2039e+06
3.2032e+05,1.721e+09,7,4.2039e+06
3.2469e+05,1.722e+09,7,4.2039e+06
3.2903e+05,1.7231e+09,7,4.2039e+06
3.334e+05,1.7242e+09,7,4.2039e+06
3.377e+05,1.7252e+09,7,4.2039e+06
3.4204e+05,1.7263e+09,7,4.2039e+06
3.4641e+05,1.7274e+09,7,4.2039e+06
3.5068e+05,1.7285e+09,7,4.2039e+06
3.5499e+05,1.7295e+09,7,4.2039e+06
3.5937e+05,1.7306e+09,7,4.2039e+06
3.6364e+05,1.7317e+09,7,4.2039e+06
3.6794e+05,1.7328e+09,7,4.2039e+06
3.7228e+05,1.7338e+09,7,4.2039e+06
3.7663e+05,1.7349e+09,7,4.2039e+06
3.8097e+05,1.736e+09,7,4.2039e+06
3.8524e+05,1.7371e+09,7,4.2039e+06
3.8952e+05,1.7381e+09,7,4.2039e+06
