LineNo,TimeUS,I,VDop,HAcc,VAcc,SAcc,YAcc,VV,SMS,Delta,Und
520,1.6419e+09,0,1.01,0.89,1.16,0.19,0,1,1.6419e+06,200,-43.043
1890,1.6424e+09,0,1.02,0.89,1.16,0.2,0,1,1.6423e+06,200,-43.043
2669,1.6425e+09,0,1.02,0.89,1.16,0.24,0,1,1.6425e+06,200,-43.043
3543,1.6428e+09,0,1.01,0.89,1.15,0.16,0,1,1.6427e+06,200,-43.043
4353,1.6429e+09,0,1.02,0.89,1.15,0.22,0,1,1.6429e+06,200,-43.043
5215,1.6431e+09,0,1.02,0.89,1.15,0.2,0,1,1.6431e+06,200,-43.043
6026,1.6433e+09,0,1.02,0.89,1.15,0.23,0,1,1.6433e+06,200,-43.043
6892,1.6435e+09,0,1.02,0.89,1.15,0.21,0,1,1.6435e+06,200,-43.043
7726,1.6437e+09,0,1.02,0.89,1.15,0.21,0,1,1.6437e+06,200,-43.043
8630,1.6439e+09,0,1.02,0.89,1.15,0.25,0,1,1.6439e+06,200,-43.043
9526,1.6442e+09,0,1.02,0.89,1.15,0.21,0,1,1.6441e+06,200,-43.043
10269,1.6443e+09,0,1.02,0.89,1.15,0.2,0,1,1.6443e+06,200,-43.043
11168,1.6445e+09,0,1.02,0.89,1.15,0.23,0,1,1.6445e+06,200,-43.043
12068,1.6448e+09,0,1.02,0.89,1.15,0.21,0,1,1.6447e+06,200,-43.043
12818,1.6449e+09,0,1.02,0.89,1.15,0.25,0,1,1.6449e+06,200,-43.044
14370,1.6454e+09,0,1.02,0.89,1.15,0.24,0,1,1.6453e+06,200,-43.043
15228,1.6456e+09,0,1.01,0.89,1.15,0.18,0,1,1.6455e+06,200,-43.044
16011,1.6457e+09,0,1.02,0.89,1.15,0.22,0,1,1.6457e+06,200,-43.043
16916,1.646e+09,0,1.02,0.89,1.15,0.21,0,1,1.6459e+06,200,-43.043
17692,1.6461e+09,0,1.02,0.89,1.15,0.2,0,1,1.6461e+06,200,-43.043
18530,1.6463e+09,0,1.02,0.89,1.15,0.21,0,1,1.6463e+06,200,-43.043
19430,1.6466e+09,0,1.01,0.89,1.15,0.21,0,1,1.6465e+06,200,-43.044
20268,1.6468e+09,0,1.01,0.89,1.15,0.24,0,1,1.6467e+06,200,-43.044
21083,1.6469e+09,0,1.01,0.89,1.15,0.23,0,1,1.6469e+06,200,-43.043
21952,1.6472e+09,0,1.01,0.89,1.15,0.26,0,1,1.6471e+06,200,-43.043
22727,1.6473e+09,0,1.02,0.89,1.15,0.17,0,1,1.6473e+06,200,-43.043
23594,1.6475e+09,0,1.02,0.88,1.14,0.12,0,1,1.6475e+06,200,-43.043
24499,1.6478e+09,0,1.02,0.88,1.14,0.2,0,1,1.6477e+06,200,-43.043
25364,1.648e+09,0,1.02,0.88,1.14,0.26,0,1,1.6479e+06,200,-43.043
26173,1.6481e+09,0,1.02,0.88,1.14,0.26,0,1,1.6481e+06,200,-43.043
27043,1.6484e+09,0,1.02,0.88,1.14,0.18,0,1,1.6483e+06,200,-43.044
27790,1.6485e+09,0,1.02,0.88,1.14,0.22,0,1,1.6485e+06,200,-43.043
28597,1.6487e+09,0,1.02,0.88,1.14,0.23,0,1,1.6487e+06,200,-43.044
29503,1.649e+09,0,1.01,0.88,1.14,0.18,0,1,1.6489e+06,200,-43.043
30333,1.6492e+09,0,1.01,0.88,1.14,0.2,0,1,1.6491e+06,200,-43.043
31143,1.6494e+09,0,1.01,0.88,1.14,0.19,0,1,1.6493e+06,200,-43.043
31949,1.6495e+09,0,1.01,0.88,1.14,0.21,0,1,1.6495e+06,200,-43.044
32852,1.6498e+09,0,1.01,0.88,1.14,0.19,0,1,1.6497e+06,200,-43.043
33629,1.6499e+09,0,1.01,0.88,1.14,0.21,0,1,1.6499e+06,200,-43.043
34441,1.6501e+09,0,1.04,0.88,1.13,0.2,0,1,1.6501e+06,200,-43.043
35344,1.6503e+09,0,1.04,0.88,1.13,0.21,0,1,1.6503e+06,200,-43.044
36175,1.6506e+09,0,1.04,0.88,1.13,0.22,0,1,1.6505e+06,200,-43.044
36987,1.6507e+09,0,1.04,0.87,1.13,0.22,0,1,1.6507e+06,200,-43.043
37764,1.6509e+09,0,1.04,0.87,1.13,0.21,0,1,1.6509e+06,200,-43.043
38668,1.6512e+09,0,1.04,0.87,1.13,0.22,0,1,1.6511e+06,200,-43.043
39439,1.6513e+09,0,1.01,0.87,1.12,0.22,0,1,1.6513e+06,200,-43.043
40304,1.6515e+09,0,1.01,0.87,1.12,0.23,0,1,1.6515e+06,200,-43.043
41207,1.6518e+09,0,1.01,0.87,1.12,0.21,0,1,1.6517e+06,200,-43.043
