LineNo,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
519,1.6419e+09,0,3,4.7008e+08,2231,17,0.62,43.601,13.482,99.61,0.024,234.31,0.027,0,1
1889,1.6424e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,99.65,0.03,234.31,0.022,0,1
2668,1.6425e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,99.67,0.025,234.31,-0.018,0,1
3542,1.6428e+09,0,3,4.7008e+08,2231,17,0.62,43.601,13.482,99.71,0.021,234.31,0.015,0,1
4352,1.6429e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,99.72,0.011,234.31,-0.126,0,1
5214,1.6431e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,99.77,0.021,234.31,0.007,0,1
6025,1.6433e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,99.78,0.029,234.31,-0.047,0,1
6891,1.6435e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,99.8,0.027,234.31,0.009,0,1
7725,1.6437e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,99.82,0.006,234.31,0.056,0,1
8629,1.6439e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,99.84,0.017,234.31,0.012,0,1
9525,1.6442e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,99.87,0.008,234.31,-0.004,0,1
10268,1.6443e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,99.91,0.036,234.31,-0.057,0,1
11167,1.6445e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,99.95,0.066,234.31,-0.003,0,1
12067,1.6448e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,99.98,0.009,234.31,-0.063,0,1
12817,1.6449e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,100.01,0.038,234.31,-0.038,0,1
14369,1.6454e+09,0,3,4.7008e+08,2231,16,0.64,43.601,13.482,100.06,0.024,234.31,0.006,0,1
15227,1.6456e+09,0,3,4.7008e+08,2231,17,0.62,43.601,13.482,100.09,0.031,234.31,0.017,0,1
