LineNo,TimeUS,RSErr,Mem,TS,NPkt,Nerr,Nerr2,NDel
2625,1.6425e+09,0,608,1.6475e+06,8.0338e+05,0,0,0
7021,1.6436e+09,0,608,1.6485e+06,8.0388e+05,0,0,0
11442,1.6446e+09,0,608,1.6496e+06,8.0438e+05,0,0,0
15640,1.6457e+09,0,608,1.6506e+06,8.0487e+05,0,0,0
20037,1.6467e+09,0,608,1.6516e+06,8.0537e+05,0,0,0
24454,1.6477e+09,0,608,1.6527e+06,8.0587e+05,0,0,0
28777,1.6488e+09,0,608,1.6537e+06,8.0636e+05,0,0,0
33118,1.6498e+09,0,608,1.6548e+06,8.0685e+05,0,0,0
37479,1.6509e+09,0,608,1.6558e+06,8.0734e+05,0,0,0
41836,1.6519e+09,0,608,1.6569e+06,8.0782e+05,0,0,0
46038,1.653e+09,0,608,1.6579e+06,8.0831e+05,0,0,0
50217,1.654e+09,0,608,1.6589e+06,8.0879e+05,0,0,0
54405,1.6551e+09,0,608,1.66e+06,8.0928e+05,0,0,0
58590,1.6561e+09,0,608,1.661e+06,8.0976e+05,0,0,0
62796,1.6571e+09,0,608,1.6621e+06,8.1024e+05,0,0,0
67039,1.6582e+09,0,608,1.6631e+06,8.1072e+05,0,0,0
71231,1.6592e+09,0,608,1.6642e+06,8.1121e+05,0,0,0
75450,1.6603e+09,0,608,1.6652e+06,8.1169e+05,0,0,0
79675,1.6613e+09,0,608,1.6663e+06,8.1218e+05,0,0,0
83954,1.6624e+09,0,608,1.6673e+06,8.1266e+05,0,0,0
87989,1.6634e+09,0,608,1.6683e+06,8.1312e+05,0,0,0
92235,1.6644e+09,0,608,1.6693e+06,8.136e+05,0,0,0
96485,1.6655e+09,0,608,1.6704e+06,8.1409e+05,0,0,0
1.0074e+05,1.6665e+09,0,608,1.6714e+06,8.1458e+05,0,0,0
1.0503e+05,1.6675e+09,0,608,1.6725e+06,8.1506e+05,0,0,0
1.0921e+05,1.6686e+09,0,608,1.6735e+06,8.1554e+05,0,0,0
1.1342e+05,1.6696e+09,0,608,1.6746e+06,8.1602e+05,0,0,0
1.1769e+05,1.6707e+09,0,608,1.6756e+06,8.1651e+05,0,0,0
1.2198e+05,1.6717e+09,0,608,1.6767e+06,8.1699e+05,0,0,0
1.262e+05,1.6728e+09,0,608,1.6777e+06,8.1748e+05,0,0,0
1.3045e+05,1.6738e+09,0,608,1.6787e+06,8.1796e+05,0,0,0
1.3462e+05,1.6748e+09,0,608,1.6798e+06,8.1844e+05,0,0,0
1.3884e+05,1.6759e+09,0,608,1.6808e+06,8.1892e+05,0,0,0
1.431e+05,1.6769e+09,0,608,1.6819e+06,8.194e+05,0,0,0
1.4727e+05,1.678e+09,0,608,1.6829e+06,8.1988e+05,0,0,0
1.5152e+05,1.679e+09,0,608,1.684e+06,8.2037e+05,0,0,0
1.5556e+05,1.68e+09,0,608,1.685e+06,8.2083e+05,0,0,0
1.5978e+05,1.6811e+09,0,608,1.686e+06,8.2131e+05,0,0,0
1.6403e+05,1.6821e+09,0,608,1.687e+06,8.218e+05,0,0,0
1.6824e+05,1.6832e+09,0,608,1.6881e+06,8.2228e+05,0,0,0
1.7244e+05,1.6842e+09,0,608,1.6891e+06,8.2276e+05,0,0,0
1.7665e+05,1.6852e+09,0,608,1.6902e+06,8.2324e+05,0,0,0
1.8092e+05,1.6863e+09,0,608,1.6912e+06,8.2373e+05,0,0,0
1.8513e+05,1.6873e+09,0,608,1.6923e+06,8.2421e+05,0,0,0
1.8928e+05,1.6884e+09,0,608,1.6933e+06,8.247e+05,0,0,0
1.9351e+05,1.6894e+09,0,608,1.6944e+06,8.2518e+05,0,0,0
1.9768e+05,1.6905e+09,0,608,1.6954e+06,8.2566e+05,0,0,0
2.017e+05,1.6915e+09,0,608,1.6964e+06,8.2612e+05,0,0,0
2.0592e+05,1.6925e+09,0,608,1.6975e+06,8.2661e+05,0,0,0
2.1009e+05,1.6936e+09,0,608,1.6985e+06,8.2709e+05,0,0,0
2.1431e+05,1.6946e+09,0,608,1.6996e+06,8.2758e+05,0,0,0
2.1853e+05,1.6957e+09,0,608,1.7006e+06,8.2806e+05,0,0,0
2.2272e+05,1.6967e+09,0,608,1.7016e+06,8.2854e+05,0,0,0
2.2693e+05,1.6977e+09,0,608,1.7027e+06,8.2903e+05,0,0,0
2.3116e+05,1.6988e+09,0,608,1.7037e+06,8.2951e+05,0,0,0
2.3538e+05,1.6998e+09,0,608,1.7048e+06,8.3e+05,0,0,0
2.3956e+05,1.7009e+09,0,608,1.7058e+06,8.3048e+05,0,0,0
2.4373e+05,1.7019e+09,0,608,1.7069e+06,8.3096e+05,0,0,0
2.4794e+05,1.703e+09,0,608,1.7079e+06,8.3145e+05,0,0,0
2.5214e+05,1.704e+09,0,608,1.709e+06,8.3193e+05,0,0,0
2.5636e+05,1.705e+09,0,608,1.71e+06,8.3241e+05,0,0,0
2.6059e+05,1.7061e+09,0,608,1.711e+06,8.329e+05,0,0,0
2.6479e+05,1.7071e+09,0,608,1.7121e+06,8.3338e+05,0,0,0
2.6895e+05,1.7082e+09,0,608,1.7131e+06,8.3387e+05,0,0,0
2.7314e+05,1.7092e+09,0,608,1.7142e+06,8.3434e+05,0,0,0
2.774e+05,1.7103e+09,0,608,1.7152e+06,8.3483e+05,0,0,0
2.8161e+05,1.7113e+09,0,608,1.7163e+06,8.3532e+05,0,0,0
2.858e+05,1.7124e+09,0,608,1.7173e+06,8.358e+05,0,0,0
2.9003e+05,1.7134e+09,0,608,1.7184e+06,8.3629e+05,0,0,0
2.9423e+05,1.7145e+09,0,608,1.7194e+06,8.3677e+05,0,0,0
2.9825e+05,1.7155e+09,0,608,1.7204e+06,8.3724e+05,0,0,0
3.0246e+05,1.7165e+09,0,608,1.7214e+06,8.3772e+05,0,0,0
3.0673e+05,1.7176e+09,0,608,1.7225e+06,8.3821e+05,0,0,0
3.1091e+05,1.7186e+09,0,608,1.7235e+06,8.3869e+05,0,0,0
3.15e+05,1.7196e+09,0,608,1.7246e+06,8.3918e+05,0,0,0
3.1924e+05,1.7207e+09,0,608,1.7256e+06,8.3966e+05,0,0,0
3.2348e+05,1.7217e+09,0,608,1.7267e+06,8.4014e+05,0,0,0
3.2769e+05,1.7228e+09,0,608,1.7277e+06,8.4063e+05,0,0,0
3.3193e+05,1.7238e+09,0,608,1.7288e+06,8.4111e+05,0,0,0
3.3613e+05,1.7249e+09,0,608,1.7298e+06,8.416e+05,0,0,0
3.4036e+05,1.7259e+09,0,608,1.7308e+06,8.4208e+05,0,0,0
3.4463e+05,1.7269e+09,0,608,1.7319e+06,8.4256e+05,0,0,0
3.4879e+05,1.728e+09,0,608,1.7329e+06,8.4305e+05,0,0,0
3.5299e+05,1.729e+09,0,608,1.734e+06,8.4353e+05,0,0,0
3.5718e+05,1.7301e+09,0,608,1.735e+06,8.4402e+05,0,0,0
3.6137e+05,1.7311e+09,0,608,1.7361e+06,8.445e+05,0,0,0
3.6556e+05,1.7322e+09,0,608,1.7371e+06,8.4498e+05,0,0,0
3.6976e+05,1.7332e+09,0,608,1.7382e+06,8.4547e+05,0,0,0
3.7395e+05,1.7343e+09,0,608,1.7392e+06,8.4595e+05,0,0,0
3.782e+05,1.7353e+09,0,608,1.7402e+06,8.4644e+05,0,0,0
3.8243e+05,1.7363e+09,0,608,1.7413e+06,8.4692e+05,0,0,0
3.8654e+05,1.7374e+09,0,608,1.7423e+06,8.474e+05,0,0,0
3.9076e+05,1.7384e+09,0,608,1.7434e+06,8.4789e+05,0,0,0
3.9497e+05,1.7395e+09,0,608,1.7444e+06,8.4837e+05,0,0,0
3.9925e+05,1.7405e+09,0,608,1.7455e+06,8.4886e+05,0,0,0
4.0353e+05,1.7416e+09,0,608,1.7465e+06,8.4935e+05,0,0,0
4.0774e+05,1.7426e+09,0,608,1.7476e+06,8.4984e+05,0,0,0
4.1199e+05,1.7437e+09,0,608,1.7486e+06,8.5032e+05,0,0,0
4.1624e+05,1.7447e+09,0,608,1.7497e+06,8.5081e+05,0,0,0
4.2044e+05,1.7458e+09,0,608,1.7507e+06,8.5129e+05,0,0,0
4.2466e+05,1.7468e+09,0,608,1.7517e+06,8.5177e+05,0,0,0
4.2882e+05,1.7478e+09,0,608,1.7528e+06,8.5226e+05,0,0,0
4.3304e+05,1.7489e+09,0,608,1.7538e+06,8.5274e+05,0,0,0
4.3734e+05,1.7499e+09,0,608,1.7549e+06,8.5323e+05,0,0,0
4.4154e+05,1.751e+09,0,608,1.7559e+06,8.5371e+05,0,0,0
4.4582e+05,1.752e+09,0,608,1.757e+06,8.542e+05,0,0,0
4.5014e+05,1.7531e+09,0,608,1.758e+06,8.5469e+05,0,0,0
4.5449e+05,1.7541e+09,0,608,1.7591e+06,8.5518e+05,0,0,0
4.5876e+05,1.7552e+09,0,608,1.7601e+06,8.5568e+05,0,0,0
4.631e+05,1.7562e+09,0,608,1.7611e+06,8.5617e+05,0,0,0
4.6736e+05,1.7572e+09,0,608,1.7622e+06,8.5666e+05,0,0,0
4.717e+05,1.7583e+09,0,608,1.7632e+06,8.5716e+05,0,0,0
4.7606e+05,1.7593e+09,0,608,1.7643e+06,8.5765e+05,0,0,0
4.8035e+05,1.7604e+09,0,608,1.7653e+06,8.5814e+05,0,0,0
4.8466e+05,1.7614e+09,0,608,1.7664e+06,8.5864e+05,0,0,0
4.8909e+05,1.7625e+09,0,608,1.7674e+06,8.5913e+05,0,0,0
4.9344e+05,1.7635e+09,0,608,1.7685e+06,8.5962e+05,0,0,0
4.9787e+05,1.7646e+09,0,608,1.7695e+06,8.6012e+05,0,0,0
5.0225e+05,1.7656e+09,0,608,1.7706e+06,8.6061e+05,0,0,0
5.0664e+05,1.7667e+09,0,608,1.7716e+06,8.6111e+05,0,0,0
5.1097e+05,1.7677e+09,0,608,1.7727e+06,8.616e+05,0,0,0
5.1534e+05,1.7687e+09,0,608,1.7737e+06,8.621e+05,0,0,0
5.1964e+05,1.7698e+09,0,608,1.7747e+06,8.626e+05,0,0,0
5.2401e+05,1.7708e+09,0,608,1.7758e+06,8.6309e+05,0,0,0
5.2831e+05,1.7719e+09,0,608,1.7768e+06,8.6359e+05,0,0,0
5.3262e+05,1.7729e+09,0,608,1.7779e+06,8.6408e+05,0,0,0
5.3698e+05,1.774e+09,0,608,1.7789e+06,8.6458e+05,0,0,0
5.4131e+05,1.775e+09,0,608,1.7799e+06,8.6507e+05,0,0,0
