LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1086,1.6421e+09,2,128,-44,385,-399,44,42,0,0,0,1,1.6421e+09
2017,1.6424e+09,2,113,-48,385,-399,44,42,0,0,0,1,1.6424e+09
2450,1.6425e+09,2,122,-52,379,-399,44,42,0,0,0,1,1.6425e+09
2860,1.6426e+09,2,118,-51,384,-399,44,42,0,0,0,1,1.6426e+09
3313,1.6427e+09,2,122,-44,383,-399,44,42,0,0,0,1,1.6427e+09
3764,1.6428e+09,2,122,-49,380,-399,44,42,0,0,0,1,1.6428e+09
4215,1.6429e+09,2,119,-46,385,-399,44,42,0,0,0,1,1.6429e+09
4648,1.643e+09,2,123,-45,389,-399,44,42,0,0,0,1,1.643e+09
5083,1.6431e+09,2,112,-46,376,-399,44,42,0,0,0,1,1.6431e+09
5523,1.6432e+09,2,130,-45,379,-399,44,42,0,0,0,1,1.6432e+09
5977,1.6433e+09,2,126,-46,376,-399,44,42,0,0,0,1,1.6433e+09
6393,1.6434e+09,2,124,-49,377,-399,44,42,0,0,0,1,1.6434e+09
6844,1.6435e+09,2,117,-48,383,-399,44,42,0,0,0,1,1.6435e+09
7248,1.6436e+09,2,114,-54,385,-399,44,42,0,0,0,1,1.6436e+09
7679,1.6437e+09,2,117,-49,383,-399,44,42,0,0,0,1,1.6437e+09
8129,1.6438e+09,2,118,-54,387,-399,44,42,0,0,0,1,1.6438e+09
8582,1.6439e+09,2,114,-51,389,-399,44,42,0,0,0,1,1.6439e+09
9027,1.644e+09,2,119,-45,385,-399,44,42,0,0,0,1,1.644e+09
9478,1.6441e+09,2,118,-46,386,-399,44,42,0,0,0,1,1.6441e+09
9878,1.6442e+09,2,116,-47,383,-399,44,42,0,0,0,1,1.6442e+09
10312,1.6444e+09,2,121,-49,381,-399,44,42,0,0,0,1,1.6444e+09
10764,1.6445e+09,2,118,-47,383,-399,44,42,0,0,0,1,1.6445e+09
11212,1.6446e+09,2,120,-51,386,-399,44,42,0,0,0,1,1.6446e+09
11667,1.6447e+09,2,117,-51,379,-399,44,42,0,0,0,1,1.6447e+09
12115,1.6448e+09,2,113,-51,383,-399,44,42,0,0,0,1,1.6448e+09
12550,1.6449e+09,2,112,-48,385,-399,44,42,0,0,0,1,1.6449e+09
12950,1.645e+09,2,114,-52,390,-399,44,42,0,0,0,1,1.645e+09
13400,1.6451e+09,2,113,-57,380,-399,44,42,0,0,0,1,1.6451e+09
13633,1.6452e+09,2,124,-52,383,-399,44,42,0,0,0,1,1.6452e+09
14055,1.6453e+09,2,120,-53,387,-399,44,42,0,0,0,1,1.6453e+09
14498,1.6454e+09,2,110,-58,385,-399,44,42,0,0,0,1,1.6454e+09
14929,1.6455e+09,2,116,-48,394,-399,44,42,0,0,0,1,1.6455e+09
15363,1.6456e+09,2,111,-45,388,-399,44,42,0,0,0,1,1.6456e+09
15784,1.6457e+09,2,110,-53,394,-399,44,42,0,0,0,1,1.6457e+09
16236,1.6458e+09,2,114,-46,389,-399,44,42,0,0,0,1,1.6458e+09
16688,1.6459e+09,2,114,-52,390,-399,44,42,0,0,0,1,1.6459e+09
17129,1.646e+09,2,114,-47,387,-399,44,42,0,0,0,1,1.646e+09
17560,1.6461e+09,2,111,-54,388,-399,44,42,0,0,0,1,1.6461e+09
17970,1.6462e+09,2,116,-56,395,-399,44,42,0,0,0,1,1.6462e+09
18393,1.6463e+09,2,112,-53,388,-399,44,42,0,0,0,1,1.6463e+09
18841,1.6464e+09,2,113,-48,390,-399,44,42,0,0,0,1,1.6464e+09
19293,1.6465e+09,2,108,-50,389,-399,44,42,0,0,0,1,1.6465e+09
19731,1.6466e+09,2,109,-54,386,-399,44,42,0,0,0,1,1.6466e+09
20136,1.6467e+09,2,108,-51,391,-399,44,42,0,0,0,1,1.6467e+09
20580,1.6468e+09,2,112,-52,394,-399,44,42,0,0,0,1,1.6468e+09
21035,1.6469e+09,2,110,-51,395,-399,44,42,0,0,0,1,1.6469e+09
21451,1.647e+09,2,114,-55,388,-399,44,42,0,0,0,1,1.647e+09
21905,1.6471e+09,2,112,-52,384,-399,44,42,0,0,0,1,1.6471e+09
22337,1.6472e+09,2,112,-48,391,-399,44,42,0,0,0,1,1.6472e+09
22771,1.6473e+09,2,103,-51,392,-399,44,42,0,0,0,1,1.6473e+09
23189,1.6475e+09,2,106,-49,390,-399,44,42,0,0,0,1,1.6475e+09
23638,1.6476e+09,2,100,-49,396,-399,44,42,0,0,0,1,1.6476e+09
24091,1.6477e+09,2,103,-54,399,-399,44,42,0,0,0,1,1.6477e+09
24544,1.6478e+09,2,90,-74,404,-399,44,42,0,0,0,1,1.6478e+09
24979,1.6479e+09,2,104,-77,400,-399,44,42,0,0,0,1,1.6479e+09
25410,1.648e+09,2,103,-60,397,-399,44,42,0,0,0,1,1.648e+09
25863,1.6481e+09,2,107,-66,402,-399,44,42,0,0,0,1,1.6481e+09
26312,1.6482e+09,2,104,-76,404,-399,44,42,0,0,0,1,1.6482e+09
26765,1.6483e+09,2,89,-87,419,-399,44,42,0,0,0,1,1.6483e+09
27206,1.6484e+09,2,78,-93,425,-399,44,42,0,0,0,1,1.6484e+09
27608,1.6485e+09,2,66,-127,447,-399,44,42,0,0,0,1,1.6485e+09
28045,1.6486e+09,2,46,-149,466,-399,44,42,0,0,0,1,1.6486e+09
28498,1.6487e+09,2,56,-158,460,-399,44,42,0,0,0,1,1.6487e+09
28918,1.6488e+09,2,23,-166,482,-399,44,42,0,0,0,1,1.6488e+09
29371,1.6489e+09,2,40,-159,476,-399,44,42,0,0,0,1,1.6489e+09
29805,1.649e+09,2,64,-130,461,-399,44,42,0,0,0,1,1.649e+09
30238,1.6491e+09,2,81,-128,448,-399,44,42,0,0,0,1,1.6491e+09
30681,1.6492e+09,2,73,-150,446,-399,44,42,0,0,0,1,1.6492e+09
31133,1.6493e+09,2,77,-157,446,-399,44,42,0,0,0,1,1.6493e+09
31550,1.6495e+09,2,66,-177,460,-399,44,42,0,0,0,1,1.6495e+09
31997,1.6496e+09,2,55,-183,455,-399,44,42,0,0,0,1,1.6496e+09
32449,1.6497e+09,2,49,-196,453,-399,44,42,0,0,0,1,1.6497e+09
32899,1.6498e+09,2,40,-205,463,-399,44,42,0,0,0,1,1.6498e+09
33332,1.6499e+09,2,43,-202,462,-399,44,42,0,0,0,1,1.6499e+09
33768,1.65e+09,2,44,-206,473,-399,44,42,0,0,0,1,1.65e+09
34220,1.6501e+09,2,54,-182,456,-399,44,42,0,0,0,1,1.6501e+09
34669,1.6502e+09,2,63,-161,450,-399,44,42,0,0,0,1,1.6502e+09
35121,1.6503e+09,2,60,-159,456,-399,44,42,0,0,0,1,1.6503e+09
35561,1.6504e+09,2,54,-168,461,-399,44,42,0,0,0,1,1.6504e+09
35995,1.6505e+09,2,51,-154,466,-399,44,42,0,0,0,1,1.6505e+09
36401,1.6506e+09,2,55,-152,469,-399,44,42,0,0,0,1,1.6506e+09
36853,1.6507e+09,2,52,-163,466,-399,44,42,0,0,0,1,1.6507e+09
37304,1.6508e+09,2,0,-176,426,-399,44,42,0,0,0,1,1.6508e+09
37755,1.6509e+09,2,49,-163,463,-399,44,42,0,0,0,1,1.6509e+09
38206,1.651e+09,2,49,-156,459,-399,44,42,0,0,0,1,1.651e+09
38626,1.6511e+09,2,42,-170,474,-399,44,42,0,0,0,1,1.6511e+09
39058,1.6513e+09,2,42,-179,470,-399,44,42,0,0,0,1,1.6513e+09
39485,1.6514e+09,2,42,-178,473,-399,44,42,0,0,0,1,1.6514e+09
39938,1.6515e+09,2,35,-202,478,-399,44,42,0,0,0,1,1.6515e+09
40384,1.6516e+09,2,44,-194,477,-399,44,42,0,0,0,1,1.6516e+09
40837,1.6517e+09,2,54,-183,462,-399,44,42,0,0,0,1,1.6517e+09
41254,1.6518e+09,2,58,-176,459,-399,44,42,0,0,0,1,1.6518e+09
41707,1.6519e+09,2,45,-174,458,-399,44,42,0,0,0,1,1.6519e+09
42151,1.652e+09,2,51,-170,471,-399,44,42,0,0,0,1,1.652e+09
42577,1.6521e+09,2,62,-171,458,-399,44,42,0,0,0,1,1.6521e+09
43009,1.6522e+09,2,52,-171,466,-399,44,42,0,0,0,1,1.6522e+09
43423,1.6523e+09,2,47,-173,472,-399,44,42,0,0,0,1,1.6523e+09
43865,1.6524e+09,2,71,-167,460,-399,44,42,0,0,0,1,1.6524e+09
44311,1.6525e+09,2,69,-165,446,-399,44,42,0,0,0,1,1.6525e+09
44754,1.6526e+09,2,71,-168,458,-399,44,42,0,0,0,1,1.6526e+09
45197,1.6528e+09,2,64,-173,458,-399,44,42,0,0,0,1,1.6528e+09
45644,1.6529e+09,2,56,-159,464,-399,44,42,0,0,0,1,1.6529e+09
46088,1.653e+09,2,67,-135,446,-399,44,42,0,0,0,1,1.653e+09
46514,1.6531e+09,2,51,-126,459,-399,44,42,0,0,0,1,1.6531e+09
46911,1.6532e+09,2,70,-107,452,-399,44,42,0,0,0,1,1.6532e+09
47359,1.6533e+09,2,77,-120,444,-399,44,42,0,0,0,1,1.6533e+09
47801,1.6534e+09,2,79,-140,444,-399,44,42,0,0,0,1,1.6534e+09
48244,1.6535e+09,2,72,-156,450,-399,44,42,0,0,0,1,1.6535e+09
48684,1.6536e+09,2,57,-154,458,-399,44,42,0,0,0,1,1.6536e+09
49101,1.6537e+09,2,51,-155,461,-399,44,42,0,0,0,1,1.6537e+09
49544,1.6538e+09,2,49,-147,467,-399,44,42,0,0,0,1,1.6538e+09
49990,1.6539e+09,2,50,-128,466,-399,44,42,0,0,0,1,1.6539e+09
50399,1.654e+09,2,38,-127,466,-399,44,42,0,0,0,1,1.654e+09
50842,1.6542e+09,2,49,-141,469,-399,44,42,0,0,0,1,1.6542e+09
51292,1.6543e+09,2,36,-156,469,-399,44,42,0,0,0,1,1.6543e+09
51701,1.6544e+09,2,32,-166,473,-399,44,42,0,0,0,1,1.6544e+09
52147,1.6545e+09,2,32,-163,476,-399,44,42,0,0,0,1,1.6545e+09
52554,1.6546e+09,2,30,-172,483,-399,44,42,0,0,0,1,1.6546e+09
52982,1.6547e+09,2,29,-168,477,-399,44,42,0,0,0,1,1.6547e+09
53414,1.6548e+09,2,23,-176,479,-399,44,42,0,0,0,1,1.6548e+09
53828,1.6549e+09,2,25,-176,484,-399,44,42,0,0,0,1,1.6549e+09
54271,1.655e+09,2,28,-180,488,-399,44,42,0,0,0,1,1.655e+09
54719,1.6551e+09,2,35,-167,479,-399,44,42,0,0,0,1,1.6551e+09
55166,1.6552e+09,2,39,-170,475,-399,44,42,0,0,0,1,1.6552e+09
55615,1.6553e+09,2,33,-181,480,-399,44,42,0,0,0,1,1.6553e+09
56057,1.6555e+09,2,33,-167,478,-399,44,42,0,0,0,1,1.6555e+09
56469,1.6556e+09,2,35,-167,466,-399,44,42,0,0,0,1,1.6556e+09
56897,1.6557e+09,2,32,-173,478,-399,44,42,0,0,0,1,1.6557e+09
57328,1.6558e+09,2,43,-184,472,-399,44,42,0,0,0,1,1.6558e+09
57773,1.6559e+09,2,45,-195,471,-399,44,42,0,0,0,1,1.6559e+09
58184,1.656e+09,2,36,-207,477,-399,44,42,0,0,0,1,1.656e+09
58632,1.6561e+09,2,46,-201,469,-399,44,42,0,0,0,1,1.6561e+09
59076,1.6562e+09,2,90,-187,455,-399,44,42,0,0,0,1,1.6562e+09
59522,1.6563e+09,2,49,-184,455,-399,44,42,0,0,0,1,1.6563e+09
59967,1.6564e+09,2,60,-184,446,-399,44,42,0,0,0,1,1.6564e+09
60412,1.6565e+09,2,54,-169,460,-399,44,42,0,0,0,1,1.6565e+09
60837,1.6566e+09,2,50,-165,456,-399,44,42,0,0,0,1,1.6566e+09
