LineNo,TimeUS,Message
1640,1.6423e+09,'ArduCopter V4.4.0-dev (232083c4)'
1643,1.6423e+09,'CubeBlack 00190033 30385110 30343937'
1646,1.6423e+09,'New mission'
1647,1.6423e+09,'New rally'
1648,1.6423e+09,'New fence'
41881,1.6519e+09,'EKF3 IMU0 MAG0 in-flight yaw alignment complete'
42024,1.652e+09,'EKF3 IMU1 MAG0 in-flight yaw alignment complete'
5.4832e+05,1.8117e+09,'ArduCopter V4.4.0-dev (232083c4)'
5.4832e+05,1.8117e+09,'CubeBlack 00190033 30385110 30343937'
5.4833e+05,1.8121e+09,'ArduCopter V4.4.0-dev (232083c4)'
5.4833e+05,1.8121e+09,'CubeBlack 00190033 30385110 30343937'
5.4833e+05,1.8121e+09,'ArduCopter V4.4.0-dev (232083c4)'
5.4834e+05,1.8121e+09,'CubeBlack 00190033 30385110 30343937'
