LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
301,1.6419e+09,-1.3238,-1.3238,0,0,-258.6,0,0,1,0,1
529,1.6419e+09,-0.33197,-0.33197,0,0,-258.6,0,0,1,0,1
981,1.642e+09,-1.9012,-1.9012,0,0,-258.6,0,0,1,0,1
1095,1.6421e+09,-1.7051,-1.7051,0,0,-258.6,0,0,1,0,1
1202,1.6422e+09,-2.6722,-2.6722,0,0,-258.6,0,0,1,0,1
1313,1.6422e+09,-1.8616,-1.8616,0,0,-258.6,0,0,1,0,1
1492,1.6423e+09,-1.8686,-1.8686,0,0,-258.6,0,0,1,0,1
1674,1.6423e+09,-0.14,-0.14,0,0,-258.6,0,0,1,0,1
1718,1.6423e+09,-0.87509,-0.87509,0,0,-258.6,0,0,1,0,1
1763,1.6423e+09,-0.56877,-0.56877,0,0,-258.6,0,0,1,0,1
1807,1.6423e+09,-1.156,-1.156,0,0,-258.6,0,0,1,0,1
1852,1.6423e+09,-2.5741,-2.5741,0,0,-258.6,0,0,1,0,1
1899,1.6424e+09,-1.6242,-1.6242,0,0,-258.6,0,0,1,0,1
1944,1.6424e+09,-3.26,-3.26,0,0,-258.6,0,0,1,0,1
1986,1.6424e+09,-3.8783,-3.8783,0,0,-258.6,0,0,1,0,1
2034,1.6424e+09,-1.4422,-1.4422,0,0,-258.6,0,0,1,0,1
2077,1.6424e+09,-0.39988,-0.39988,0,0,-258.6,0,0,1,0,1
2119,1.6424e+09,0.78278,0.78278,0,0,-258.6,0,0,1,0,1
2165,1.6424e+09,-0.60167,-0.60167,0,0,-258.6,0,0,1,0,1
2209,1.6424e+09,-1.2359,-1.2359,0,0,-258.6,0,0,1,0,1
2251,1.6425e+09,-0.27094,-0.27094,0,0,-258.6,0,0,1,0,1
2295,1.6425e+09,-1.1065,-1.1065,0,0,-258.6,0,0,1,0,1
2337,1.6425e+09,-2.3897,-2.3897,0,0,-258.6,0,0,1,0,1
2380,1.6425e+09,-1.996,-1.996,0,0,-258.6,0,0,1,0,1
2423,1.6425e+09,-0.70086,-0.70086,0,0,-258.6,0,0,1,0,1
2469,1.6425e+09,-0.45958,-0.45958,0,0,-258.6,0,0,1,0,1
2513,1.6425e+09,-0.37155,-0.37155,0,0,-258.6,0,0,1,0,1
2555,1.6425e+09,-0.52223,-0.52223,0,0,-258.6,0,0,1,0,1
2598,1.6425e+09,-1.8164,-1.8164,0,0,-258.6,0,0,1,0,1
2643,1.6425e+09,-1.09,-1.09,0,0,-258.6,0,0,1,0,1
2689,1.6426e+09,-2.1104,-2.1104,0,0,-258.6,0,0,1,0,1
2734,1.6426e+09,-1.2921,-1.2921,0,0,-258.6,0,0,1,0,1
2779,1.6426e+09,-1.136,-1.136,0,0,-258.6,0,0,1,0,1
2824,1.6426e+09,-2.7205,-2.7205,0,0,-258.6,0,0,1,0,1
2873,1.6426e+09,-2.384,-2.384,0,0,-258.6,0,0,1,0,1
2917,1.6426e+09,-1.425,-1.425,0,0,-258.6,0,0,1,0,1
2964,1.6426e+09,0.041389,0.041389,0,0,-258.6,0,0,1,0,1
3008,1.6426e+09,-0.6959,-0.6959,0,0,-258.6,0,0,1,0,1
3053,1.6426e+09,-1.9125,-1.9125,0,0,-258.6,0,0,1,0,1
3097,1.6427e+09,-3.4042,-3.4042,0,0,-258.6,0,0,1,0,1
3142,1.6427e+09,-4.3691,-4.3691,0,0,-258.6,0,0,1,0,1
3187,1.6427e+09,-3.12,-3.12,0,0,-258.6,0,0,1,0,1
3231,1.6427e+09,-1.3384,-1.3384,0,0,-258.6,0,0,1,0,1
3278,1.6427e+09,-0.80996,-0.80996,0,0,-258.6,0,0,1,0,1
