LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
299,1.6419e+09,-0.20486,-0.0016774,-0.20318,-0.027429,0,-0.00052471,0,1,0,1
527,1.6419e+09,-0.2088,0.0010109,-0.20982,-0.028325,0,-0.00031541,0,1,0,1
979,1.642e+09,-0.21674,-5.5657e-05,-0.21668,-0.029252,0,-0.00059154,0,1,0,1
1093,1.6421e+09,-0.21951,-0.00065138,-0.21885,-0.029545,0,-5.0337e-05,0,1,0,1
1200,1.6422e+09,-0.22439,-0.0012558,-0.22314,-0.030124,0,-0.00038196,0,1,0,1
1311,1.6422e+09,-0.22621,-0.00013956,-0.22608,-0.03052,0,-0.00041901,0,1,0,1
1490,1.6423e+09,-0.22636,0.00081434,-0.22718,-0.030669,0,-0.00062393,0,1,0,1
1661,1.6423e+09,-0.22598,0.00065877,-0.22663,-0.030596,0,-1.6972e-05,0,1,0,1
1672,1.6423e+09,-0.22499,0.00089425,-0.22588,-0.030494,0,0.00030901,0,1,0,1
1716,1.6423e+09,-0.22382,-0.00041157,-0.22341,-0.03016,0,0.00078535,0,1,0,1
1761,1.6423e+09,-0.22265,0.0016567,-0.2243,-0.030281,0,0.00018965,0,1,0,1
1805,1.6423e+09,-0.22145,0.00050228,-0.22195,-0.029963,0,0.00078594,0,1,0,1
1850,1.6423e+09,-0.22015,-0.0020574,-0.21809,-0.029442,0,0.0010981,0,1,0,1
1897,1.6424e+09,-0.21881,3.6586e-05,-0.21885,-0.029544,0,4.7585e-05,0,1,0,1
1942,1.6424e+09,-0.21692,-0.0011061,-0.21581,-0.029135,0,0.00083826,0,1,0,1
1984,1.6424e+09,-0.21566,-0.00055998,-0.2151,-0.029038,0,0.00017104,0,1,0,1
2032,1.6424e+09,-0.21448,0.00027767,-0.21476,-0.028993,0,0.00021486,0,1,0,1
2075,1.6424e+09,-0.21332,0.00052584,-0.21385,-0.02887,0,0.00043175,0,1,0,1
2117,1.6424e+09,-0.21216,7.4968e-05,-0.21224,-0.028652,0,0.0005955,0,1,0,1
2163,1.6424e+09,-0.21069,0.00050841,-0.2112,-0.028512,0,0.00026063,0,1,0,1
2207,1.6424e+09,-0.20955,0.00084162,-0.21039,-0.028403,0,0.0003261,0,1,0,1
2249,1.6425e+09,-0.20845,0.0025868,-0.21103,-0.028489,0,3.2432e-05,0,1,0,1
2293,1.6425e+09,-0.2073,0.0010563,-0.20836,-0.028129,0,0.00068907,0,1,0,1
2335,1.6425e+09,-0.20611,-0.00042742,-0.20568,-0.027767,0,0.00099865,0,1,0,1
2378,1.6425e+09,-0.20484,-0.0010896,-0.20375,-0.027507,0,0.00077782,0,1,0,1
2421,1.6425e+09,-0.20358,-0.00021893,-0.20336,-0.027454,0,0.00026497,0,1,0,1
2467,1.6425e+09,-0.2023,-0.0014557,-0.20085,-0.027115,0,0.00066839,0,1,0,1
2511,1.6425e+09,-0.20106,0.0008921,-0.20195,-0.027263,0,5.9524e-05,0,1,0,1
2553,1.6425e+09,-0.19984,0.00074157,-0.20058,-0.027078,0,0.00047159,0,1,0,1
2596,1.6425e+09,-0.19857,-0.0017906,-0.19678,-0.026565,0,0.00095934,0,1,0,1
2641,1.6425e+09,-0.19727,0.00045186,-0.19772,-0.026692,0,-9.8819e-05,0,1,0,1
2687,1.6426e+09,-0.19551,-0.0010377,-0.19447,-0.026254,0,0.00069765,0,1,0,1
2732,1.6426e+09,-0.19452,0.0026659,-0.19718,-0.02662,0,-0.00039521,0,1,0,1
2777,1.6426e+09,-0.19348,0.00073958,-0.19422,-0.026219,0,0.00083441,0,1,0,1
2822,1.6426e+09,-0.19238,9.3665e-05,-0.19247,-0.025983,0,0.00067737,0,1,0,1
2871,1.6426e+09,-0.19123,0.00093188,-0.19216,-0.025942,0,0.00018195,0,1,0,1
2915,1.6426e+09,-0.19003,-0.0021631,-0.18787,-0.025362,0,0.0009309,0,1,0,1
2962,1.6426e+09,-0.1888,-0.00056822,-0.18823,-0.025411,0,0.00028633,0,1,0,1
3006,1.6426e+09,-0.18757,-0.00034685,-0.18723,-0.025275,0,0.00029673,0,1,0,1
3051,1.6426e+09,-0.18632,-0.00061614,-0.1857,-0.02507,0,0.00039652,0,1,0,1
3095,1.6427e+09,-0.18509,0.00067141,-0.18576,-0.025078,0,0.00023115,0,1,0,1
3140,1.6427e+09,-0.18388,0.00036233,-0.18424,-0.024872,0,0.00045334,0,1,0,1
3185,1.6427e+09,-0.18265,-0.00047426,-0.18217,-0.024594,0,0.00075954,0,1,0,1
3229,1.6427e+09,-0.18141,0.00022534,-0.18164,-0.024521,0,0.00029168,0,1,0,1
3276,1.6427e+09,-0.18022,0.0011975,-0.18142,-0.024491,0,0.00027238,0,1,0,1
3326,1.6427e+09,-0.17903,-0.0010283,-0.178,-0.02403,0,0.0010186,0,1,0,1
3372,1.6427e+09,-0.17783,0.00019621,-0.17803,-0.024034,0,0.00038288,0,1,0,1
3416,1.6427e+09,-0.17664,-0.00099754,-0.17564,-0.023711,0,0.000762,0,1,0,1
3461,1.6427e+09,-0.17542,-0.0012789,-0.17414,-0.023509,0,0.00057729,0,1,0,1
3506,1.6427e+09,-0.17417,-0.0014778,-0.17269,-0.023313,0,0.00040061,0,1,0,1
3553,1.6428e+09,-0.17267,-0.00068206,-0.17199,-0.023218,0,2.6269e-05,0,1,0,1
3595,1.6428e+09,-0.17162,-0.00096167,-0.17066,-0.023039,0,0.00057619,0,1,0,1
3639,1.6428e+09,-0.17043,-0.00016445,-0.17027,-0.022986,0,3.5492e-05,0,1,0,1
3683,1.6428e+09,-0.16927,0.0017381,-0.17101,-0.023086,0,-0.00019196,0,1,0,1
3730,1.6428e+09,-0.16812,0.00048534,-0.16861,-0.022762,0,0.00049999,0,1,0,1
3778,1.6428e+09,-0.167,0.0024423,-0.16944,-0.022875,0,-1.5469e-05,0,1,0,1
3823,1.6428e+09,-0.16587,0.0006469,-0.16652,-0.02248,0,0.0006031,0,1,0,1
3867,1.6428e+09,-0.16474,0.0016983,-0.16644,-0.022469,0,0.00026573,0,1,0,1
3912,1.6428e+09,-0.16359,0.0001851,-0.16377,-0.022109,0,0.00073497,0,1,0,1
3957,1.6429e+09,-0.16233,-0.0015171,-0.16082,-0.02171,0,0.00061739,0,1,0,1
4001,1.6429e+09,-0.16106,-0.0024864,-0.15858,-0.021408,0,0.00081355,0,1,0,1
