LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
300,1.6419e+09,4.0318,0.0013241,3.5903,0.64625,0,0,0,1,0,1
528,1.6419e+09,4.1778,0.0013137,3.7527,0.67548,0,0,0,1,0,1
980,1.642e+09,4.4941,0.0022438,4.1021,0.73837,0,0,0,1,0,1
1094,1.6421e+09,4.5914,0.0020399,4.2004,0.75608,0,0,0,1,0,1
1201,1.6422e+09,4.786,0.0022827,4.3959,0.79127,0,0,0,1,0,1
1312,1.6422e+09,4.842,0.0020033,4.4901,0.80822,0,0,0,1,0,1
1491,1.6423e+09,4.8478,0.0019654,4.6004,0.82807,0,0,0,1,0,1
1662,1.6423e+09,4.8318,0.00062915,4.6536,0.83765,0,0,0,1,0,1
1673,1.6423e+09,4.7926,0.0020536,4.6713,0.84083,0,0,0,1,0,1
1717,1.6423e+09,4.7467,0.0019935,4.6819,0.84274,0,0,0,1,0,1
1762,1.6423e+09,4.6988,0.0026343,4.6856,0.84341,0,0,0,1,0,1
1806,1.6423e+09,4.6504,-0.0001242,4.6834,0.84302,0,0,0,1,0,1
1851,1.6423e+09,4.6018,0.00064675,4.6759,0.84167,0,0,0,1,0,1
1898,1.6424e+09,4.5532,0.0016451,4.6636,0.83945,0,0,0,1,0,1
1943,1.6424e+09,4.4802,0.0010531,4.6371,0.83469,0,0,0,1,0,1
1985,1.6424e+09,4.4315,0.0012292,4.6151,0.83071,0,0,0,1,0,1
2033,1.6424e+09,4.3829,0.0022336,4.5898,0.82617,0,0,0,1,0,1
2076,1.6424e+09,4.3342,0.00108,4.5621,0.82117,0,0,0,1,0,1
2118,1.6424e+09,4.2856,0.0010143,4.5319,0.81574,0,0,0,1,0,1
2164,1.6424e+09,4.2247,0.00045275,4.4911,0.8084,0,0,0,1,0,1
2208,1.6424e+09,4.1761,0.001166,4.4564,0.80215,0,0,0,1,0,1
2250,1.6425e+09,4.1274,0.0014161,4.42,0.7956,0,0,0,1,0,1
2294,1.6425e+09,4.0788,-0.00064097,4.3823,0.78882,0,0,0,1,0,1
2336,1.6425e+09,4.0301,4.0312e-05,4.3434,0.78182,0,0,0,1,0,1
2379,1.6425e+09,3.9815,0.0010275,4.3032,0.77458,0,0,0,1,0,1
2422,1.6425e+09,3.9328,-0.00082953,4.2622,0.76719,0,0,0,1,0,1
2468,1.6425e+09,3.8841,0.0019356,4.2202,0.75963,0,0,0,1,0,1
2512,1.6425e+09,3.8355,0.0016336,4.1773,0.75191,0,0,0,1,0,1
2554,1.6425e+09,3.7868,0.0021951,4.1336,0.74405,0,0,0,1,0,1
2597,1.6425e+09,3.7382,0.0016954,4.0895,0.7361,0,0,0,1,0,1
2642,1.6425e+09,3.6895,0.0011107,4.0449,0.72807,0,0,0,1,0,1
2688,1.6426e+09,3.6198,0.00082783,3.9771,0.71588,0,0,0,1,0,1
2733,1.6426e+09,3.5774,0.0014641,3.9324,0.70784,0,0,0,1,0,1
2778,1.6426e+09,3.5306,-0.00030587,3.8876,0.69977,0,0,0,1,0,1
2823,1.6426e+09,3.4825,0.0023855,3.8424,0.69163,0,0,0,1,0,1
2872,1.6426e+09,3.434,0.00037836,3.7967,0.68341,0,0,0,1,0,1
2916,1.6426e+09,3.3854,-0.00069476,3.751,0.67518,0,0,0,1,0,1
2963,1.6426e+09,3.3367,0.0006677,3.7048,0.66687,0,0,0,1,0,1
3007,1.6426e+09,3.2881,0.0019163,3.6582,0.65848,0,0,0,1,0,1
3052,1.6426e+09,3.2394,0.00030773,3.6115,0.65006,0,0,0,1,0,1
3096,1.6427e+09,3.1908,0.00059891,3.5645,0.6416,0,0,0,1,0,1
3141,1.6427e+09,3.1421,0.00061862,3.5173,0.63312,0,0,0,1,0,1
3186,1.6427e+09,3.0935,0.0019796,3.4699,0.62458,0,0,0,1,0,1
3230,1.6427e+09,3.0448,0.001282,3.4223,0.61602,0,0,0,1,0,1
3277,1.6427e+09,2.9962,0.0012854,3.3747,0.60745,0,0,0,1,0,1
3327,1.6427e+09,2.9475,0.001056,3.327,0.59886,0,0,0,1,0,1
3373,1.6427e+09,2.8988,0.0010545,3.2792,0.59025,0,0,0,1,0,1
3417,1.6427e+09,2.8502,0.0017385,3.2311,0.5816,0,0,0,1,0,1
3462,1.6427e+09,2.8015,0.0010189,3.1831,0.57295,0,0,0,1,0,1
3507,1.6427e+09,2.7529,0.0019324,3.1348,0.56427,0,0,0,1,0,1
3554,1.6428e+09,2.6953,0.00056238,3.0746,0.55343,0,0,0,1,0,1
3596,1.6428e+09,2.653,-0.00048281,3.0275,0.54494,0,0,0,1,0,1
3640,1.6428e+09,2.6062,0.0015739,2.9803,0.53646,0,0,0,1,0,1
3684,1.6428e+09,2.558,0.00067711,2.9331,0.52795,0,0,0,1,0,1
3731,1.6428e+09,2.5095,0.0043837,2.8854,0.51938,0,0,0,1,0,1
3779,1.6428e+09,2.4609,-0.0020449,2.8381,0.51085,0,0,0,1,0,1
3824,1.6428e+09,2.4123,0.0032576,2.7904,0.50228,0,0,0,1,0,1
3868,1.6428e+09,2.3636,0.001484,2.7426,0.49367,0,0,0,1,0,1
3913,1.6428e+09,2.315,0.00032306,2.6948,0.48507,0,0,0,1,0,1
3958,1.6429e+09,2.2663,0.0027119,2.6467,0.47641,0,0,0,1,0,1
4002,1.6429e+09,2.2177,0.00082063,2.5987,0.46777,0,0,0,1,0,1
4047,1.6429e+09,2.169,0.0018214,2.5506,0.45911,0,0,0,1,0,1
4091,1.6429e+09,2.1203,0.001364,2.5024,0.45044,0,0,0,1,0,1
