LineNo,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
318,1.6419e+09,43.601,13.482,86.09,-0.019888,-0.56989
546,1.6419e+09,43.601,13.482,86.08,-0.021794,-0.57179
1000,1.642e+09,43.601,13.482,86.08,-0.025468,-0.57547
1114,1.6421e+09,43.601,13.482,86.08,-0.027107,-0.57711
1221,1.6422e+09,43.601,13.482,86.08,-0.022926,-0.57293
1332,1.6422e+09,43.601,13.482,86.09,-0.010771,-0.56077
1511,1.6423e+09,43.601,13.482,86.11,0.0059612,-0.54404
1693,1.6423e+09,43.601,13.482,86.12,0.018255,-0.53175
1737,1.6423e+09,43.601,13.482,86.13,0.021896,-0.5281
1782,1.6423e+09,43.601,13.482,86.13,0.025183,-0.52482
1826,1.6423e+09,43.601,13.482,86.13,0.029134,-0.52087
1871,1.6423e+09,43.601,13.482,86.14,0.032753,-0.51725
1918,1.6424e+09,43.601,13.482,86.14,0.036354,-0.51365
1961,1.6424e+09,43.601,13.482,86.15,0.04058,-0.50942
2003,1.6424e+09,43.601,13.482,86.15,0.042558,-0.50744
2051,1.6424e+09,43.601,13.482,86.15,0.044587,-0.50541
2094,1.6424e+09,43.601,13.482,86.15,0.04699,-0.50301
2136,1.6424e+09,43.601,13.482,86.15,0.049442,-0.50056
2182,1.6424e+09,43.601,13.482,86.16,0.052457,-0.49754
2226,1.6424e+09,43.601,13.482,86.16,0.054542,-0.49546
2268,1.6425e+09,43.601,13.482,86.16,0.056997,-0.493
2312,1.6425e+09,43.601,13.482,86.17,0.060238,-0.48976
2354,1.6425e+09,43.601,13.482,86.17,0.062727,-0.48727
2397,1.6425e+09,43.601,13.482,86.17,0.064931,-0.48507
2440,1.6425e+09,43.601,13.482,86.17,0.067174,-0.48283
2486,1.6425e+09,43.601,13.482,86.17,0.069775,-0.48022
2530,1.6425e+09,43.601,13.482,86.18,0.072999,-0.477
2572,1.6425e+09,43.601,13.482,86.18,0.075311,-0.47469
2615,1.6425e+09,43.601,13.482,86.18,0.077657,-0.47234
2660,1.6425e+09,43.601,13.482,86.19,0.080303,-0.4697
2708,1.6426e+09,43.601,13.482,86.19,0.083181,-0.46682
2753,1.6426e+09,43.601,13.482,86.19,0.084227,-0.46577
2798,1.6426e+09,43.601,13.482,86.19,0.08568,-0.46432
2843,1.6426e+09,43.601,13.482,86.19,0.086891,-0.46311
2892,1.6426e+09,43.601,13.482,86.19,0.088179,-0.46182
2936,1.6426e+09,43.601,13.482,86.19,0.08986,-0.46014
2983,1.6426e+09,43.601,13.482,86.2,0.091615,-0.45839
3027,1.6426e+09,43.601,13.482,86.2,0.094771,-0.45523
3072,1.6426e+09,43.601,13.482,86.2,0.096247,-0.45375
3116,1.6427e+09,43.601,13.482,86.2,0.09778,-0.45222
3161,1.6427e+09,43.601,13.482,86.2,0.099685,-0.45032
3206,1.6427e+09,43.601,13.482,86.21,0.10281,-0.44719
3250,1.6427e+09,43.601,13.482,86.21,0.10446,-0.44554
3297,1.6427e+09,43.601,13.482,86.21,0.10616,-0.44384
3347,1.6427e+09,43.601,13.482,86.21,0.10792,-0.44208
3393,1.6427e+09,43.601,13.482,86.22,0.11004,-0.43996
3437,1.6427e+09,43.601,13.482,86.22,0.11315,-0.43685
3482,1.6427e+09,43.601,13.482,86.22,0.11501,-0.43499
3527,1.6427e+09,43.601,13.482,86.22,0.11692,-0.43308
3574,1.6428e+09,43.601,13.482,86.23,0.12016,-0.42984
3616,1.6428e+09,43.601,13.482,86.23,0.12069,-0.42931
3660,1.6428e+09,43.601,13.482,86.23,0.12164,-0.42836
3706,1.6428e+09,43.601,13.482,86.23,0.12237,-0.42763
3751,1.6428e+09,43.601,13.482,86.23,0.12319,-0.42681
3799,1.6428e+09,43.601,13.482,86.23,0.1244,-0.4256
3844,1.6428e+09,43.601,13.482,86.23,0.12776,-0.42224
3888,1.6428e+09,43.601,13.482,86.23,0.12874,-0.42126
3933,1.6428e+09,43.601,13.482,86.23,0.12981,-0.42019
3978,1.6429e+09,43.601,13.482,86.24,0.13089,-0.41911
4022,1.6429e+09,43.601,13.482,86.24,0.13205,-0.41795
4067,1.6429e+09,43.601,13.482,86.24,0.13359,-0.41641
4111,1.6429e+09,43.601,13.482,86.24,0.1366,-0.4134
4156,1.6429e+09,43.601,13.482,86.24,0.1379,-0.4121
4201,1.6429e+09,43.601,13.482,86.24,0.13926,-0.41074
4250,1.6429e+09,43.601,13.482,86.25,0.141,-0.409
4295,1.6429e+09,43.601,13.482,86.25,0.14249,-0.40751
4339,1.6429e+09,43.601,13.482,86.25,0.14405,-0.40595
4382,1.6429e+09,43.601,13.482,86.25,0.14604,-0.40396
4424,1.643e+09,43.601,13.482,86.25,0.14692,-0.40308
4467,1.643e+09,43.601,13.482,86.25,0.14819,-0.40181
4511,1.643e+09,43.601,13.482,86.26,0.15115,-0.39885
4553,1.643e+09,43.601,13.482,86.26,0.15219,-0.39781
4596,1.643e+09,43.601,13.482,86.26,0.15331,-0.39669
4638,1.643e+09,43.601,13.482,86.26,0.15451,-0.39549
4687,1.643e+09,43.601,13.482,86.26,0.15606,-0.39394
4730,1.643e+09,43.601,13.482,86.26,0.159,-0.391
4773,1.643e+09,43.601,13.482,86.27,0.16062,-0.38938
4816,1.6431e+09,43.601,13.482,86.27,0.1623,-0.3877
4858,1.6431e+09,43.601,13.482,86.27,0.16372,-0.38628
4901,1.6431e+09,43.601,13.482,86.27,0.16551,-0.38449
4944,1.6431e+09,43.601,13.482,86.27,0.16706,-0.38294
4987,1.6431e+09,43.601,13.482,86.27,0.16998,-0.38002
5030,1.6431e+09,43.601,13.482,86.28,0.17157,-0.37843
5073,1.6431e+09,43.601,13.482,86.28,0.17321,-0.37679
5120,1.6431e+09,43.601,13.482,86.28,0.17519,-0.37481
5163,1.6431e+09,43.601,13.482,86.28,0.17809,-0.37191
5206,1.6431e+09,43.601,13.482,86.28,0.17983,-0.37017
5246,1.6432e+09,43.601,13.482,86.29,0.18046,-0.36954
5290,1.6432e+09,43.601,13.482,86.29,0.18122,-0.36878
5335,1.6432e+09,43.601,13.482,86.29,0.18178,-0.36822
5379,1.6432e+09,43.601,13.482,86.29,0.18273,-0.36727
5424,1.6432e+09,43.601,13.482,86.29,0.18348,-0.36652
5468,1.6432e+09,43.601,13.482,86.29,0.18431,-0.36569
5513,1.6432e+09,43.601,13.482,86.29,0.18716,-0.36284
5562,1.6432e+09,43.601,13.482,86.29,0.18805,-0.36195
5607,1.6432e+09,43.601,13.482,86.29,0.18902,-0.36098
5651,1.6432e+09,43.601,13.482,86.3,0.19006,-0.35994
5696,1.6433e+09,43.601,13.482,86.3,0.19146,-0.35854
5741,1.6433e+09,43.601,13.482,86.3,0.19293,-0.35707
5785,1.6433e+09,43.601,13.482,86.3,0.19447,-0.35553
5833,1.6433e+09,43.601,13.482,86.3,0.19729,-0.35271
5878,1.6433e+09,43.601,13.482,86.3,0.1986,-0.3514
5923,1.6433e+09,43.601,13.482,86.3,0.19997,-0.35003
5967,1.6433e+09,43.601,13.482,86.31,0.2014,-0.3486
6017,1.6433e+09,43.601,13.482,86.31,0.20288,-0.34712
6061,1.6433e+09,43.601,13.482,86.31,0.20595,-0.34405
6104,1.6434e+09,43.601,13.482,86.31,0.20663,-0.34337
6148,1.6434e+09,43.601,13.482,86.31,0.20712,-0.34288
6193,1.6434e+09,43.601,13.482,86.31,0.20793,-0.34207
6240,1.6434e+09,43.601,13.482,86.31,0.20939,-0.34061
6285,1.6434e+09,43.601,13.482,86.32,0.21009,-0.33991
6329,1.6434e+09,43.601,13.482,86.32,0.21088,-0.33912
6374,1.6434e+09,43.601,13.482,86.32,0.21201,-0.33799
6421,1.6434e+09,43.601,13.482,86.32,0.21322,-0.33678
6468,1.6434e+09,43.601,13.482,86.32,0.21595,-0.33405
6512,1.6434e+09,43.601,13.482,86.32,0.21694,-0.33305
6556,1.6435e+09,43.601,13.482,86.32,0.21802,-0.33198
6604,1.6435e+09,43.601,13.482,86.32,0.21983,-0.33017
6648,1.6435e+09,43.601,13.482,86.33,0.22116,-0.32884
6693,1.6435e+09,43.601,13.482,86.33,0.22229,-0.32771
6738,1.6435e+09,43.601,13.482,86.33,0.22347,-0.32653
