LineNo,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
297,1.6419e+09,1.7956,-0.1062,0.0046764,-11.803,-0.096106,-0.027954,233.63,0.075865,0.64625,-1.3238,-1.3238,0
525,1.6419e+09,1.5434,0.013718,0.0026794,-12.034,0.057923,-0.028641,242,0.07527,0.67548,-0.33197,-0.33197,0
977,1.642e+09,0.95597,0.1117,0.0014693,-12.483,-0.0031889,-0.029844,260.12,0.12856,0.73837,-1.9012,-1.9012,0
1091,1.6421e+09,0.79553,-0.22134,0.0028077,-12.65,-0.037321,-0.029596,265.69,0.11688,0.75608,-1.7051,-1.7051,0
1198,1.6422e+09,0.46316,0.032657,0.00078704,-12.918,-0.071953,-0.030506,276.84,0.13079,0.79127,-2.6722,-2.6722,0
1309,1.6422e+09,0.407,-0.032307,0.00050341,-12.976,-0.007996,-0.030939,277.77,0.11478,0.80822,-1.8616,-1.8616,0
1488,1.6423e+09,0.42182,0.039586,0.00047689,-12.969,0.046658,-0.031293,277.77,0.11261,0.82807,-1.8686,-1.8686,0
1659,1.6423e+09,0.49865,0.031204,0.0011017,-12.901,0.037745,-0.030613,274.98,0.036048,0.83765,0.2306,0.2306,0
1670,1.6423e+09,0.57552,0.093641,0.0010505,-12.831,0.051237,-0.030185,272.19,0.11766,0.84083,-0.14,-0.14,0
1714,1.6423e+09,0.65513,0.049637,0.0017506,-12.759,-0.0237,-0.029374,269.4,0.11424,0.84274,-0.87509,-0.87509,0
1759,1.6423e+09,0.73198,0.057859,0.0015916,-12.692,0.09492,-0.030091,266.61,0.15093,0.84341,-0.56877,-0.56877,0
1803,1.6423e+09,0.81047,0.072261,0.0020341,-12.62,0.028779,-0.029177,263.83,-0.0071164,0.84302,-1.156,-1.156,0
1848,1.6423e+09,0.89229,0.071026,0.0024097,-12.543,-0.11788,-0.028344,261.04,0.037056,0.84167,-2.5741,-2.5741,0
