LineNo,TimeUS,Id,Pri,Total,Free,Name
8317,1.6439e+09,15,181,656,256,0
19025,1.6465e+09,15,181,656,256,0
29421,1.6489e+09,15,181,656,256,0
40026,1.6515e+09,15,181,656,256,0
50487,1.6541e+09,15,181,656,256,0
60846,1.6566e+09,15,181,656,256,0
71494,1.6593e+09,15,181,656,256,0
81380,1.6617e+09,15,181,656,256,0
91878,1.6643e+09,15,181,656,256,0
1.0236e+05,1.6669e+09,15,181,656,256,0
1.1266e+05,1.6694e+09,15,181,656,256,0
1.2318e+05,1.672e+09,15,181,656,256,0
1.3364e+05,1.6746e+09,15,181,656,256,0
1.44e+05,1.6772e+09,15,181,656,256,0
1.544e+05,1.6797e+09,15,181,656,256,0
1.6461e+05,1.6823e+09,15,181,656,256,0
1.7488e+05,1.6848e+09,15,181,656,256,0
1.8531e+05,1.6874e+09,15,181,656,256,0
1.9542e+05,1.6899e+09,15,181,656,256,0
2.0556e+05,1.6924e+09,15,181,656,256,0
2.1568e+05,1.695e+09,15,181,656,256,0
2.2598e+05,1.6975e+09,15,181,656,256,0
2.3632e+05,1.7001e+09,15,181,656,256,0
2.4687e+05,1.7027e+09,15,181,656,256,0
2.5735e+05,1.7053e+09,15,181,656,256,0
2.6742e+05,1.7078e+09,15,181,656,256,0
2.777e+05,1.7103e+09,15,181,656,256,0
2.8807e+05,1.7129e+09,15,181,656,256,0
2.9858e+05,1.7155e+09,15,181,656,256,0
3.0892e+05,1.7181e+09,15,181,656,256,0
3.1897e+05,1.7206e+09,15,181,656,256,0
3.295e+05,1.7232e+09,15,181,656,256,0
3.3932e+05,1.7256e+09,15,181,656,256,0
3.4973e+05,1.7282e+09,15,181,656,256,0
3.6013e+05,1.7308e+09,15,181,656,256,0
3.703e+05,1.7333e+09,15,181,656,256,0
3.8046e+05,1.7359e+09,15,181,656,256,0
3.9098e+05,1.7385e+09,15,181,656,256,0
4.0144e+05,1.7411e+09,15,181,656,256,0
4.1168e+05,1.7436e+09,15,181,656,256,0
4.2224e+05,1.7462e+09,15,181,656,256,0
4.3239e+05,1.7487e+09,15,181,656,256,0
4.4279e+05,1.7513e+09,15,181,656,256,0
4.5325e+05,1.7538e+09,15,181,656,256,0
4.6355e+05,1.7563e+09,15,181,656,256,0
4.7354e+05,1.7587e+09,15,181,656,256,0
4.8367e+05,1.7612e+09,15,181,656,256,0
4.9467e+05,1.7638e+09,15,181,656,256,0
5.0542e+05,1.7664e+09,15,181,656,256,0
5.157e+05,1.7688e+09,15,181,656,256,0
5.2609e+05,1.7713e+09,15,181,656,256,0
5.3654e+05,1.7739e+09,15,181,656,256,0
5.467e+05,1.7763e+09,15,181,656,256,0
