LineNo,TimeUS,Instance,noisePerMS,jamInd,aPower,agcCnt,config
14367,1.6454e+09,0,100,22,1,1482,0
35341,1.6503e+09,0,100,15,1,1482,0
55569,1.6553e+09,0,100,13,1,1482,0
75811,1.6604e+09,0,101,10,1,1482,0
95998,1.6653e+09,0,101,16,1,1482,0
1.163e+05,1.6703e+09,0,102,16,1,1482,0
1.3669e+05,1.6754e+09,0,102,15,1,1482,0
1.5686e+05,1.6803e+09,0,102,9,1,1482,0
1.7706e+05,1.6853e+09,0,103,15,1,1482,0
1.9712e+05,1.6903e+09,0,103,19,1,1482,0
2.1724e+05,1.6953e+09,0,103,15,1,1482,0
2.3749e+05,1.7003e+09,0,104,7,1,1482,0
2.5762e+05,1.7054e+09,0,104,14,1,1482,0
2.7776e+05,1.7104e+09,0,104,15,1,1482,0
2.9782e+05,1.7153e+09,0,104,19,1,1482,0
3.1784e+05,1.7203e+09,0,105,9,1,1482,0
3.3815e+05,1.7254e+09,0,105,13,1,1482,0
3.5824e+05,1.7303e+09,0,106,16,1,1482,0
3.7833e+05,1.7353e+09,0,106,16,1,1482,0
3.9855e+05,1.7404e+09,0,107,8,1,1482,0
4.1883e+05,1.7454e+09,0,107,17,1,1482,0
4.3895e+05,1.7503e+09,0,107,17,1,1482,0
4.5961e+05,1.7554e+09,0,107,16,1,1482,0
4.8023e+05,1.7604e+09,0,107,11,1,1482,0
5.0112e+05,1.7653e+09,0,106,4,1,1482,0
5.2197e+05,1.7703e+09,0,99,14,1,1482,0
5.4279e+05,1.7753e+09,0,99,14,1,1482,0
