LineNo,TimeUS,C,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,IDX,IDY,IS
313,1.6419e+09,1,0.09,0,0.08,0,0,196,12,354,0,0,0,0,0,0
541,1.6419e+09,1,0.09,0,0.08,0,0,196,12,354,0,0,0,0,0,0
995,1.642e+09,1,0.09,0,0.07,0,0,196,12,354,0,0,0,0,0,0
1109,1.6421e+09,1,0.09,0,0.07,0,0,196,12,354,0,0,0,0,0,0
1216,1.6422e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
1327,1.6422e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
1506,1.6423e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
1688,1.6423e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
1732,1.6423e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
1777,1.6423e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
1821,1.6423e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
1866,1.6423e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
1913,1.6424e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
1956,1.6424e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
1998,1.6424e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2046,1.6424e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2089,1.6424e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2131,1.6424e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2177,1.6424e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2221,1.6424e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2263,1.6425e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2307,1.6425e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2349,1.6425e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2392,1.6425e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2435,1.6425e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2481,1.6425e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2525,1.6425e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2567,1.6425e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2610,1.6425e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2655,1.6425e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2703,1.6426e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2748,1.6426e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2793,1.6426e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2838,1.6426e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2887,1.6426e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2931,1.6426e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
2978,1.6426e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
3022,1.6426e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
3067,1.6426e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
3111,1.6427e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
3156,1.6427e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
3201,1.6427e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
3245,1.6427e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
3292,1.6427e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
3342,1.6427e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
3388,1.6427e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
3432,1.6427e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
3477,1.6427e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
3522,1.6427e+09,1,0.08,0,0.07,0,0,196,12,354,0,0,0,0,0,0
