LineNo,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
308,1.6419e+09,0,0,0,0,0,0.09,0.66,0,0,0.5,7.2864e-05,0.0014671,0.0042679
536,1.6419e+09,0,0,0,0,0,0.09,0.66,0,0,0.5,6.2036e-05,0.0016726,0.0047976
988,1.642e+09,0,0,0,0,0,0.09,0.66,0,0,0.5,0.000187,0.002784,0.005834
1102,1.6421e+09,0,0,0,0,0,0.08,0.66,0,0,0.5,0.00017788,0.0022426,0.0046603
1209,1.6422e+09,0,0,0,0,0,0.09,0.66,0,0,0.5,0.00020839,0.0040733,0.01193
1320,1.6422e+09,0,0,0,0,0,0.09,0.66,0,0,0.5,0.00019897,0.0031218,0.0093255
1499,1.6423e+09,0,0,0,0,0,0.09,0.66,0,0,0.5,0.00017322,0.0019,0.006107
1681,1.6423e+09,0,0,0,0,0,0.09,0.66,0,0,0.5,0.00015599,0.0010255,0.0030139
1725,1.6423e+09,0,0,0,0,0,0.09,0.66,0,0,0.5,0.00015213,0.00090082,0.0021785
1770,1.6423e+09,0,0,0,0,0,0.09,0.66,0,0,0.5,0.00015213,0.00090082,0.0021785
1814,1.6423e+09,0,0,0,0,0,0.1,0.66,0,0,0.5,0.00014686,0.00073916,0.0013415
1859,1.6423e+09,0,0,0,0,0,0.11,0.66,0,0,0.5,0.00015747,0.00063211,0.00060117
1906,1.6424e+09,0,0,0,0,0,0.11,0.66,0,0,0.5,0.00015058,0.00060216,0.00055462
1951,1.6424e+09,0,0,0,0,0,0.08,0.66,0,0,0.5,0.00030277,0.014291,0.035173
1993,1.6424e+09,0,0,0,0,0,0.09,0.66,0,0,0.5,0.00029488,0.013518,0.033425
2041,1.6424e+09,0,0,0,0,0,0.09,0.66,0,0,0.5,0.0002874,0.012795,0.03176
2084,1.6424e+09,0,0,0,0,0,0.1,0.66,0,0,0.5,0.00028157,0.01211,0.030196
2126,1.6424e+09,0,0,0,0,0,0.1,0.66,0,0,0.5,0.00027454,0.011465,0.028742
2172,1.6424e+09,0,0,0,0,0,0.1,0.66,0,0,0.5,0.00032348,0.011194,0.029661
