LineNo,TimeUS,C,MI,BI,GI,AI,SS
309,1.6419e+09,0,0,0,0,0,0
537,1.6419e+09,0,0,0,0,0,0
989,1.642e+09,0,0,0,0,0,0
1103,1.6421e+09,0,0,0,0,0,0
1210,1.6422e+09,0,0,0,0,0,0
1321,1.6422e+09,0,0,0,0,0,0
1500,1.6423e+09,0,0,0,0,0,0
1682,1.6423e+09,0,0,0,0,0,0
1726,1.6423e+09,0,0,0,0,0,0
1771,1.6423e+09,0,0,0,0,0,0
1815,1.6423e+09,0,0,0,0,0,0
1860,1.6423e+09,0,0,0,0,0,0
1907,1.6424e+09,0,0,0,0,0,0
1952,1.6424e+09,0,0,0,0,0,0
1994,1.6424e+09,0,0,0,0,0,0
2042,1.6424e+09,0,0,0,0,0,0
2085,1.6424e+09,0,0,0,0,0,0
2127,1.6424e+09,0,0,0,0,0,0
2173,1.6424e+09,0,0,0,0,0,0
2217,1.6424e+09,0,0,0,0,0,0
2259,1.6425e+09,0,0,0,0,0,0
2303,1.6425e+09,0,0,0,0,0,0
2345,1.6425e+09,0,0,0,0,0,0
2388,1.6425e+09,0,0,0,0,0,0
2431,1.6425e+09,0,0,0,0,0,0
2477,1.6425e+09,0,0,0,0,0,0
2521,1.6425e+09,0,0,0,0,0,0
2563,1.6425e+09,0,0,0,0,0,0
2606,1.6425e+09,0,0,0,0,0,0
2651,1.6425e+09,0,0,0,0,0,0
2697,1.6426e+09,0,0,0,0,0,0
2742,1.6426e+09,0,0,0,0,0,0
2787,1.6426e+09,0,0,0,0,0,0
2832,1.6426e+09,0,0,0,0,0,0
2881,1.6426e+09,0,0,0,0,0,0
2925,1.6426e+09,0,0,0,0,0,0
2972,1.6426e+09,0,0,0,0,0,0
3016,1.6426e+09,0,0,0,0,0,0
3061,1.6426e+09,0,0,0,0,0,0
3105,1.6427e+09,0,0,0,0,0,0
3150,1.6427e+09,0,0,0,0,0,0
3195,1.6427e+09,0,0,0,0,0,0
3239,1.6427e+09,0,0,0,0,0,0
3286,1.6427e+09,0,0,0,0,0,0
3336,1.6427e+09,0,0,0,0,0,0
3382,1.6427e+09,0,0,0,0,0,0
3426,1.6427e+09,0,0,0,0,0,0
3471,1.6427e+09,0,0,0,0,0,0
3516,1.6427e+09,0,0,0,0,0,0
3563,1.6428e+09,0,0,0,0,0,0
3605,1.6428e+09,0,0,0,0,0,0
3649,1.6428e+09,0,0,0,0,0,0
3693,1.6428e+09,0,0,0,0,0,0
3740,1.6428e+09,0,0,0,0,0,0
3788,1.6428e+09,0,0,0,0,0,0
