LineNo,TimeUS,C,Q1,Q2,Q3,Q4
310,1.6419e+09,0,-0.985,0.026075,-0.0046507,-0.17052
538,1.6419e+09,0,-0.98499,0.026095,-0.0046711,-0.17056
990,1.642e+09,0,-0.98498,0.026035,-0.0046995,-0.17061
1104,1.6421e+09,0,-0.98498,0.026073,-0.0047175,-0.17063
1211,1.6422e+09,0,-0.98497,0.026061,-0.0046941,-0.17067
1322,1.6422e+09,0,-0.98496,0.026072,-0.0047602,-0.17072
1501,1.6423e+09,0,-0.98496,0.02608,-0.0047358,-0.17075
1683,1.6423e+09,0,-0.98495,0.026067,-0.0047564,-0.17077
1727,1.6423e+09,0,-0.98495,0.026061,-0.0047608,-0.17078
1772,1.6423e+09,0,-0.98495,0.026057,-0.0047733,-0.17079
1816,1.6423e+09,0,-0.98495,0.026049,-0.0047798,-0.17079
1861,1.6423e+09,0,-0.98495,0.026038,-0.0047752,-0.17079
1908,1.6424e+09,0,-0.98495,0.026022,-0.00478,-0.1708
1953,1.6424e+09,0,-0.98495,0.026016,-0.0047796,-0.17082
1995,1.6424e+09,0,-0.98495,0.026022,-0.0047829,-0.17082
2043,1.6424e+09,0,-0.98494,0.026024,-0.0047903,-0.17084
2086,1.6424e+09,0,-0.98494,0.026025,-0.0047981,-0.17084
2128,1.6424e+09,0,-0.98494,0.026029,-0.0048042,-0.17084
2174,1.6424e+09,0,-0.98494,0.026032,-0.0048113,-0.17084
2218,1.6424e+09,0,-0.98494,0.026039,-0.004821,-0.17085
2260,1.6425e+09,0,-0.98494,0.026038,-0.0048423,-0.17085
2304,1.6425e+09,0,-0.98494,0.026024,-0.0048565,-0.17084
2346,1.6425e+09,0,-0.98494,0.02601,-0.0048626,-0.17084
2389,1.6425e+09,0,-0.98494,0.025999,-0.0048648,-0.17084
2432,1.6425e+09,0,-0.98495,0.025993,-0.0048694,-0.17083
2478,1.6425e+09,0,-0.98494,0.025983,-0.0048698,-0.17084
2522,1.6425e+09,0,-0.98494,0.025972,-0.0048783,-0.17084
2564,1.6425e+09,0,-0.98494,0.025964,-0.004888,-0.17085
2607,1.6425e+09,0,-0.98494,0.025947,-0.0048857,-0.17085
2652,1.6425e+09,0,-0.98494,0.025937,-0.004892,-0.17086
2698,1.6426e+09,0,-0.98494,0.025938,-0.0048921,-0.17086
2743,1.6426e+09,0,-0.98494,0.025945,-0.0049097,-0.17086
2788,1.6426e+09,0,-0.98494,0.025951,-0.0049178,-0.17086
2833,1.6426e+09,0,-0.98494,0.025961,-0.0049232,-0.17086
2882,1.6426e+09,0,-0.98494,0.025966,-0.0049305,-0.17086
2926,1.6426e+09,0,-0.98494,0.025967,-0.0049231,-0.17086
2973,1.6426e+09,0,-0.98494,0.025966,-0.0049247,-0.17086
3017,1.6426e+09,0,-0.98494,0.025957,-0.0049268,-0.17087
3062,1.6426e+09,0,-0.98494,0.025942,-0.0049311,-0.17087
3106,1.6427e+09,0,-0.98494,0.025932,-0.004941,-0.17087
3151,1.6427e+09,0,-0.98494,0.025919,-0.0049451,-0.17087
3196,1.6427e+09,0,-0.98494,0.025906,-0.0049512,-0.17088
3240,1.6427e+09,0,-0.98494,0.025899,-0.0049569,-0.17089
3287,1.6427e+09,0,-0.98494,0.025891,-0.0049684,-0.17089
3337,1.6427e+09,0,-0.98494,0.025898,-0.0049666,-0.17089
3383,1.6427e+09,0,-0.98494,0.025894,-0.0049724,-0.17089
3427,1.6427e+09,0,-0.98494,0.025898,-0.0049687,-0.1709
3472,1.6427e+09,0,-0.98493,0.025909,-0.0049615,-0.17091
3517,1.6427e+09,0,-0.98493,0.025913,-0.0049544,-0.17092
3564,1.6428e+09,0,-0.98493,0.02592,-0.0049478,-0.17092
3606,1.6428e+09,0,-0.98493,0.025928,-0.0049418,-0.17092
3650,1.6428e+09,0,-0.98493,0.025932,-0.0049422,-0.17093
3694,1.6428e+09,0,-0.98493,0.025938,-0.0049523,-0.17093
3741,1.6428e+09,0,-0.98492,0.025941,-0.0049575,-0.17096
3789,1.6428e+09,0,-0.98493,0.02595,-0.0049714,-0.17095
3834,1.6428e+09,0,-0.98492,0.025951,-0.0049772,-0.17096
3878,1.6428e+09,0,-0.98492,0.025951,-0.0049877,-0.17096
3923,1.6428e+09,0,-0.98492,0.025945,-0.0049903,-0.17097
3968,1.6429e+09,0,-0.98492,0.025936,-0.0049849,-0.17098
4012,1.6429e+09,0,-0.98492,0.02593,-0.0049769,-0.17098
4057,1.6429e+09,0,-0.98492,0.025925,-0.0049638,-0.17099
4101,1.6429e+09,0,-0.98492,0.02593,-0.0049642,-0.17099
4146,1.6429e+09,0,-0.98492,0.025938,-0.0049681,-0.171
4191,1.6429e+09,0,-0.98492,0.025943,-0.0049555,-0.17099
4240,1.6429e+09,0,-0.98492,0.025945,-0.0049608,-0.17099
4285,1.6429e+09,0,-0.98492,0.025956,-0.0049706,-0.171
4329,1.6429e+09,0,-0.98492,0.02595,-0.0049783,-0.17099
4374,1.6429e+09,0,-0.98492,0.025951,-0.0049788,-0.17099
4416,1.643e+09,0,-0.98492,0.025952,-0.0049776,-0.17098
4459,1.643e+09,0,-0.98492,0.025947,-0.0049572,-0.17099
4503,1.643e+09,0,-0.98492,0.025943,-0.0049496,-0.17099
4545,1.643e+09,0,-0.98492,0.025944,-0.0049505,-0.17099
