LineNo,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
3695,1.6428e+09,0,6.821e-06,4.191e-06,4.5086e-06,0.00023023,0.012466,0.010491,0.0080289,0.049625,0.049601,0.14348,3.9699e-11,4.0108e-11
5822,1.6433e+09,0,6.8646e-06,4.3262e-06,4.7985e-06,0.00023039,0.014131,0.011366,0.0082626,0.052451,0.052299,0.15535,3.9937e-11,4.0592e-11
7881,1.6438e+09,0,6.9425e-06,4.2558e-06,5.05e-06,0.00023131,0.012843,0.010476,0.0082259,0.049522,0.049413,0.16572,3.9856e-11,4.1025e-11
10027,1.6443e+09,0,6.9861e-06,4.4352e-06,5.5096e-06,0.00023159,0.013756,0.011251,0.0084287,0.052645,0.052343,0.17746,4.0142e-11,4.1719e-11
12138,1.6448e+09,0,7.0167e-06,4.423e-06,5.9384e-06,0.00023176,0.012153,0.010335,0.0083189,0.049849,0.049633,0.1853,4.0111e-11,4.2349e-11
13983,1.6453e+09,0,7.0421e-06,4.6139e-06,6.473e-06,0.00023192,0.012574,0.010904,0.0084539,0.052479,0.052107,0.19485,4.0371e-11,4.3064e-11
16114,1.6458e+09,0,7.0751e-06,4.6461e-06,7.0011e-06,0.00023218,0.011193,0.01008,0.0083347,0.049929,0.049654,0.20159,4.0367e-11,4.374e-11
18179,1.6463e+09,0,7.1348e-06,4.8538e-06,7.5865e-06,0.00023238,0.011587,0.010622,0.0084278,0.052421,0.052038,0.20938,4.0515e-11,4.433e-11
20287,1.6468e+09,0,7.2072e-06,5.0734e-06,8.1958e-06,0.00023339,0.011979,0.011216,0.0085977,0.055209,0.054734,0.21968,4.0764e-11,4.5006e-11
22363,1.6472e+09,0,7.2517e-06,5.1109e-06,8.74e-06,0.00023362,0.010865,0.010428,0.0084581,0.052326,0.051986,0.22379,4.071e-11,4.5542e-11
24476,1.6477e+09,0,7.2791e-06,5.328e-06,9.3349e-06,0.00023373,0.011336,0.011031,0.0085634,0.054957,0.054587,0.22962,4.0914e-11,4.6096e-11
26561,1.6482e+09,0,7.3342e-06,5.3256e-06,9.7888e-06,0.00023382,0.010345,0.010203,0.0083924,0.051732,0.051476,0.23152,4.0726e-11,4.635e-11
28619,1.6487e+09,0,7.4446e-06,5.5415e-06,1.0323e-05,0.00023502,0.01097,0.010889,0.0085562,0.054597,0.054347,0.24027,4.0818e-11,4.6678e-11
30660,1.6492e+09,0,9.9566e-06,5.7438e-06,1.057e-05,0.00023248,0.010463,0.010438,0.0083825,0.051538,0.051368,0.24118,4.0472e-11,4.6567e-11
32742,1.6497e+09,0,1.473e-05,5.6476e-06,1.1501e-05,0.00022729,0.011233,0.011171,0.0083636,0.054294,0.054164,0.2343,4.0662e-11,4.682e-11
34825,1.6502e+09,0,6.8999e-06,5.7077e-06,1.1832e-05,0.00023567,0.010279,0.010265,0.0078251,0.051039,0.050956,0.2041,4.0202e-11,4.6337e-11
36876,1.6507e+09,0,3.5661e-06,6.0103e-06,1.2312e-05,0.00023888,0.010902,0.010872,0.0076382,0.053583,0.053533,0.17764,4.0209e-11,4.6266e-11
38945,1.6512e+09,0,3.8031e-06,5.7996e-06,1.2361e-05,0.00023872,0.010137,0.010086,0.0073617,0.050395,0.050362,0.15775,3.9759e-11,4.5612e-11
41001,1.6517e+09,0,3.9396e-06,6.2397e-06,1.2714e-05,0.00023886,0.010793,0.010698,0.0074626,0.052597,0.05258,0.14981,3.9753e-11,4.543e-11
42985,1.6522e+09,0,0.00018896,0.00024976,0.0009525,0.015087,0.029735,0.015709,0.0073074,0.049441,0.049424,0.13821,3.9457e-11,4.5014e-11
44995,1.6527e+09,0,0.00010985,0.00018108,0.00037768,0.012482,0.061749,0.035524,0.0074502,0.052891,0.052431,0.13118,4.016e-11,4.5921e-11
46982,1.6532e+09,0,0.00015485,7.5202e-05,9.8697e-05,0.01179,0.037862,0.0308,0.0074178,0.049618,0.049478,0.1284,4.1001e-11,4.6607e-11
49025,1.6537e+09,0,0.00016384,4.3907e-05,0.00010851,0.010992,0.035597,0.031105,0.0075399,0.053201,0.052898,0.12384,4.1895e-11,4.7393e-11
51003,1.6542e+09,0,0.00017382,2.3052e-05,6.1363e-05,0.010416,0.024386,0.022946,0.0075062,0.049371,0.049251,0.12275,4.285e-11,4.8266e-11
52963,1.6547e+09,0,0.00017774,1.5845e-05,8.6765e-05,0.0099,0.022129,0.022675,0.0075576,0.051977,0.051846,0.11929,4.3681e-11,4.9074e-11
54963,1.6552e+09,0,0.00017251,1.2096e-05,8.0117e-05,0.0093004,0.017266,0.01801,0.0074276,0.048666,0.048588,0.11606,4.461e-11,4.9984e-11
56965,1.6557e+09,0,0.000143,1.8718e-05,7.6027e-05,0.00871,0.01771,0.018053,0.0075926,0.051432,0.051368,0.11753,4.5555e-11,5.0918e-11
58962,1.6562e+09,0,0.00012612,2.2855e-05,0.00010861,0.0074907,0.017884,0.013698,0.0074455,0.047868,0.047822,0.11467,4.6508e-11,5.1858e-11
60994,1.6567e+09,0,0.00013246,1.4412e-05,4.9257e-05,0.0064775,0.019414,0.013253,0.007601,0.050578,0.050485,0.11684,4.7423e-11,5.2769e-11
62948,1.6572e+09,0,0.00011306,6.0488e-06,3.7654e-05,0.0054962,0.014841,0.011495,0.0074289,0.047199,0.047148,0.11451,4.8257e-11,5.3606e-11
64999,1.6577e+09,0,9.8853e-05,5.5939e-06,3.7048e-05,0.0049557,0.014822,0.013786,0.0074934,0.049921,0.049757,0.11378,4.9093e-11,5.4438e-11
66976,1.6582e+09,0,9.9982e-05,5.6233e-06,3.1258e-05,0.0043646,0.014972,0.014577,0.0076229,0.052671,0.052448,0.11616,4.9923e-11,5.5251e-11
68927,1.6586e+09,0,0.00010817,5.5177e-06,3.1241e-05,0.0036792,0.012573,0.012513,0.0074402,0.048733,0.048605,0.11376,5.0679e-11,5.5933e-11
70943,1.6591e+09,0,9.5803e-05,6.0809e-06,1.8664e-05,0.0033583,0.012299,0.013446,0.007555,0.051236,0.051134,0.11641,5.1307e-11,5.6466e-11
72921,1.6596e+09,0,7.5315e-05,1.363e-05,1.561e-05,0.0031043,0.010209,0.010845,0.0073809,0.047882,0.047848,0.11451,5.1736e-11,5.6598e-11
