LineNo,TimeUS,C,YC,YCS,Y0,Y1,Y2,Y3,Y4,W0,W1,W2,W3,W4
303,1.6419e+09,0,6.1287,13.723,216.41,288.92,0.21284,71.273,143.39,0.19057,0.20246,0.21116,0.20419,0.19161
531,1.6419e+09,0,6.1307,13.723,216.42,288.92,0.21486,71.275,143.39,0.19057,0.20246,0.21116,0.20419,0.19161
983,1.642e+09,0,333.31,13.607,217.25,289.21,359.58,70.593,143.61,0.18819,0.219,0.22339,0.19471,0.17471
1097,1.6421e+09,0,333.31,13.607,217.25,289.22,359.58,70.594,143.61,0.18819,0.219,0.22339,0.19471,0.17471
1204,1.6422e+09,0,333.31,13.607,217.11,289.25,359.75,70.666,143.5,0.18461,0.21959,0.22761,0.19622,0.17196
1315,1.6422e+09,0,337.93,13.291,217.11,289.25,359.75,70.668,143.5,0.18461,0.21959,0.22761,0.19622,0.17196
1494,1.6423e+09,0,337.93,13.291,217.11,289.25,359.75,70.668,143.5,0.18461,0.21959,0.22761,0.19622,0.17196
1676,1.6423e+09,0,337.93,13.291,217.11,289.25,359.74,70.662,143.49,0.18461,0.21959,0.22761,0.19622,0.17196
1720,1.6423e+09,0,337.92,13.291,217.1,289.24,359.74,70.66,143.49,0.18461,0.21959,0.22761,0.19622,0.17196
1765,1.6423e+09,0,337.92,13.291,217.1,289.24,359.74,70.66,143.49,0.18461,0.21959,0.22761,0.19622,0.17196
1809,1.6423e+09,0,337.92,13.291,217.1,289.24,359.74,70.659,143.49,0.18461,0.21959,0.22761,0.19622,0.17196
1854,1.6423e+09,0,337.92,13.291,217.1,289.24,359.74,70.657,143.49,0.18461,0.21959,0.22761,0.19622,0.17196
1901,1.6424e+09,0,337.92,13.291,217.1,289.24,359.74,70.655,143.48,0.18461,0.21959,0.22761,0.19622,0.17196
1946,1.6424e+09,0,337.92,13.291,217.53,289.49,359.46,70.227,143.49,0.17523,0.24049,0.24895,0.18635,0.14897
1988,1.6424e+09,0,331.73,12.781,217.53,289.48,359.46,70.225,143.49,0.17523,0.24049,0.24895,0.18635,0.14897
2036,1.6424e+09,0,331.73,12.781,217.53,289.48,359.46,70.223,143.48,0.17523,0.24049,0.24895,0.18635,0.14897
2079,1.6424e+09,0,331.73,12.781,217.52,289.48,359.46,70.221,143.48,0.17523,0.24049,0.24895,0.18635,0.14897
2121,1.6424e+09,0,331.72,12.781,217.52,289.48,359.46,70.22,143.48,0.17523,0.24049,0.24895,0.18635,0.14897
2167,1.6424e+09,0,331.72,12.781,217.52,289.48,359.45,70.219,143.48,0.17523,0.24049,0.24895,0.18635,0.14897
2211,1.6424e+09,0,331.72,12.781,217.52,289.47,359.45,70.216,143.48,0.17523,0.24049,0.24895,0.18635,0.14897
