LineNo,TimeUS,C,IVN0,IVN1,IVN2,IVN3,IVN4,IVE0,IVE1,IVE2,IVE3,IVE4
993,1.642e+09,1,0,0,0,0,0,0,0,0,0,0
1107,1.6421e+09,1,0,0,0,0,0,0,0,0,0,0
1214,1.6422e+09,1,0,0,0,0,0,0,0,0,0,0
1325,1.6422e+09,1,-1.2947,0.84021,1.7877,0.23838,-1.6666,-1.2999,-1.6025,0.3344,1.834,0.82397
1504,1.6423e+09,1,-1.2947,0.84021,1.7877,0.23838,-1.6666,-1.2999,-1.6025,0.3344,1.834,0.82397
1686,1.6423e+09,1,-1.2947,0.84021,1.7877,0.23838,-1.6666,-1.2999,-1.6025,0.3344,1.834,0.82397
1730,1.6423e+09,1,-1.2947,0.84021,1.7877,0.23838,-1.6666,-1.2999,-1.6025,0.3344,1.834,0.82397
1775,1.6423e+09,1,-1.2947,0.84021,1.7877,0.23838,-1.6666,-1.2999,-1.6025,0.3344,1.834,0.82397
1819,1.6423e+09,1,-1.2947,0.84021,1.7877,0.23838,-1.6666,-1.2999,-1.6025,0.3344,1.834,0.82397
1864,1.6423e+09,1,-1.2947,0.84021,1.7877,0.23838,-1.6666,-1.2999,-1.6025,0.3344,1.834,0.82397
1911,1.6424e+09,1,-1.2947,0.84021,1.7877,0.23838,-1.6666,-1.2999,-1.6025,0.3344,1.834,0.82397
2701,1.6426e+09,1,0,0,0,0,0,0,0,0,0,0
2746,1.6426e+09,1,0,0,0,0,0,0,0,0,0,0
2791,1.6426e+09,1,0,0,0,0,0,0,0,0,0,0
2836,1.6426e+09,1,0,0,0,0,0,0,0,0,0,0
2885,1.6426e+09,1,0,0,0,0,0,0,0,0,0,0
2929,1.6426e+09,1,0,0,0,0,0,0,0,0,0,0
2976,1.6426e+09,1,0,0,0,0,0,0,0,0,0,0
3020,1.6426e+09,1,0,0,0,0,0,0,0,0,0,0
3065,1.6426e+09,1,0,0,0,0,0,0,0,0,0,0
3109,1.6427e+09,1,0,0,0,0,0,0,0,0,0,0
3154,1.6427e+09,1,0,0,0,0,0,0,0,0,0,0
3199,1.6427e+09,1,0,0,0,0,0,0,0,0,0,0
3243,1.6427e+09,1,0,0,0,0,0,0,0,0,0,0
3290,1.6427e+09,1,0,0,0,0,0,0,0,0,0,0
3340,1.6427e+09,1,0,0,0,0,0,0,0,0,0,0
3386,1.6427e+09,1,0,0,0,0,0,0,0,0,0,0
3430,1.6427e+09,1,0,0,0,0,0,0,0,0,0,0
3475,1.6427e+09,1,0,0,0,0,0,0,0,0,0,0
3520,1.6427e+09,1,0,0,0,0,0,0,0,0,0,0
3567,1.6428e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
3609,1.6428e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
3653,1.6428e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
3699,1.6428e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
3744,1.6428e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
3792,1.6428e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
3837,1.6428e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
3881,1.6428e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
3926,1.6428e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
3971,1.6429e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
4015,1.6429e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
4060,1.6429e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
4104,1.6429e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
4149,1.6429e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
4194,1.6429e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
4243,1.6429e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
4288,1.6429e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
4332,1.6429e+09,1,-1.444,0.86053,1.9592,0.33378,-1.7695,-1.3687,-1.7752,0.29093,1.9743,0.94864
5239,1.6432e+09,1,0,0,0,0,0,0,0,0,0,0
5283,1.6432e+09,1,0,0,0,0,0,0,0,0,0,0
5328,1.6432e+09,1,0,0,0,0,0,0,0,0,0,0
5372,1.6432e+09,1,0,0,0,0,0,0,0,0,0,0
5417,1.6432e+09,1,0,0,0,0,0,0,0,0,0,0
5461,1.6432e+09,1,0,0,0,0,0,0,0,0,0,0
5506,1.6432e+09,1,0,0,0,0,0,0,0,0,0,0
5555,1.6432e+09,1,0,0,0,0,0,0,0,0,0,0
