LineNo,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
315,1.9492e+07,2.25,1.49,24.23,-0.8,43.601,13.482,0.97751,0.016532,0.016917,0.20956
659,1.9559e+07,2.25,1.49,24.22,-0.8,43.601,13.482,0.97753,0.016509,0.016921,0.20945
886,1.9604e+07,2.25,1.49,24.22,-0.8,43.601,13.482,0.97753,0.016477,0.016917,0.20946
1228,1.9765e+07,2.24,1.5,24.18,-0.9,43.601,13.482,0.97762,0.016414,0.016922,0.20907
1504,1.9836e+07,2.24,1.5,24.14,-0.9,43.601,13.482,0.97768,0.016419,0.016914,0.20878
1599,1.9858e+07,2.24,1.5,24.13,-0.74,43.601,13.482,0.97769,0.01644,0.01693,0.20871
1639,1.9868e+07,2.24,1.5,24.14,-0.74,43.601,13.482,0.97769,0.016453,0.016932,0.20873
1681,1.9878e+07,2.25,1.5,24.14,-0.74,43.601,13.482,0.97768,0.016468,0.016944,0.20876
1722,1.9888e+07,2.25,1.5,24.14,-0.74,43.601,13.482,0.97768,0.016473,0.016953,0.20879
1762,1.9901e+07,2.25,1.5,24.15,-0.74,43.601,13.482,0.97767,0.016461,0.016957,0.20882
1803,1.9912e+07,2.25,1.5,24.15,-0.74,43.601,13.482,0.97766,0.016463,0.016958,0.20884
1843,1.9922e+07,2.25,1.5,24.15,-0.74,43.601,13.482,0.97766,0.016465,0.016955,0.20888
1885,1.9932e+07,2.25,1.5,24.16,-0.74,43.601,13.482,0.97765,0.016463,0.01695,0.20891
1925,1.9942e+07,2.25,1.5,24.16,-0.74,43.601,13.482,0.97764,0.01645,0.016953,0.20893
1966,1.9952e+07,2.25,1.5,24.16,-0.74,43.601,13.482,0.97764,0.016451,0.01695,0.20896
2011,1.9962e+07,2.25,1.5,24.16,-0.45,43.601,13.482,0.97764,0.016451,0.016939,0.20898
2054,1.9972e+07,2.24,1.5,24.18,-0.45,43.601,13.482,0.97761,0.016448,0.016938,0.20908
2095,1.9983e+07,2.25,1.5,24.19,-0.45,43.601,13.482,0.97759,0.016449,0.016949,0.20918
2135,1.9993e+07,2.25,1.5,24.2,-0.45,43.601,13.482,0.97757,0.01646,0.016957,0.20926
2176,2.0004e+07,2.25,1.5,24.21,-0.45,43.601,13.482,0.97756,0.016474,0.016959,0.20932
2217,2.0013e+07,2.25,1.5,24.21,-0.45,43.601,13.482,0.97755,0.016486,0.016965,0.20938
2258,2.0024e+07,2.25,1.5,24.22,-0.45,43.601,13.482,0.97754,0.016499,0.016963,0.20944
2299,2.0034e+07,2.25,1.5,24.22,-0.45,43.601,13.482,0.97752,0.016512,0.016955,0.20949
2339,2.0044e+07,2.25,1.5,24.23,-0.45,43.601,13.482,0.97752,0.016524,0.01695,0.20953
2382,2.0054e+07,2.26,1.5,24.23,-0.45,43.601,13.482,0.97751,0.016531,0.016946,0.20957
2426,2.0064e+07,2.25,1.5,24.24,-0.63,43.601,13.482,0.9775,0.016526,0.016948,0.20961
2467,2.0074e+07,2.26,1.5,24.25,-0.63,43.601,13.482,0.97749,0.016531,0.016946,0.20967
2510,2.0084e+07,2.25,1.5,24.25,-0.63,43.601,13.482,0.97748,0.016527,0.016943,0.20972
2550,2.0095e+07,2.25,1.5,24.26,-0.63,43.601,13.482,0.97746,0.016521,0.016949,0.20977
2590,2.0105e+07,2.25,1.5,24.26,-0.63,43.601,13.482,0.97746,0.016521,0.016958,0.20981
2628,2.0115e+07,2.26,1.5,24.27,-0.63,43.601,13.482,0.97745,0.016527,0.016959,0.20984
2669,2.0125e+07,2.25,1.5,24.27,-0.63,43.601,13.482,0.97744,0.016519,0.016971,0.20987
2710,2.0135e+07,2.26,1.5,24.27,-0.63,43.601,13.482,0.97744,0.016528,0.016979,0.2099
2751,2.0145e+07,2.26,1.5,24.28,-0.63,43.601,13.482,0.97743,0.01653,0.01699,0.20993
2792,2.0155e+07,2.26,1.5,24.28,-0.63,43.601,13.482,0.97742,0.016537,0.016996,0.20995
2836,2.0165e+07,2.26,1.5,24.28,-0.75,43.601,13.482,0.97742,0.016542,0.017007,0.20997
2878,2.0175e+07,2.26,1.5,24.28,-0.75,43.601,13.482,0.97743,0.016552,0.017012,0.20993
2919,2.0186e+07,2.26,1.5,24.27,-0.75,43.601,13.482,0.97744,0.016561,0.017018,0.20989
2960,2.0195e+07,2.26,1.5,24.27,-0.75,43.601,13.482,0.97744,0.016567,0.017019,0.20987
3001,2.0205e+07,2.26,1.5,24.27,-0.75,43.601,13.482,0.97745,0.016571,0.017023,0.20985
3039,2.0215e+07,2.26,1.5,24.26,-0.75,43.601,13.482,0.97745,0.016576,0.017025,0.20982
3080,2.0226e+07,2.26,1.5,24.26,-0.75,43.601,13.482,0.97746,0.016582,0.017024,0.2098
