LineNo,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
3760,2.039e+07,732,3759,1.6241e+05,859,16294,8876
7774,2.1394e+07,732,4013,1.7201e+05,9801,16285,13158
11619,2.2394e+07,889,3844,1.6458e+05,1022,15923,12094
15648,2.34e+07,889,4028,1.7242e+05,9535,16030,12953
19634,2.4406e+07,889,3985,1.7099e+05,9403,16085,13074
23660,2.5408e+07,889,4025,1.7268e+05,9441,16275,13121
27699,2.6408e+07,889,4038,1.7293e+05,9286,16281,13112
31708,2.7411e+07,889,4008,1.7178e+05,9661,16215,13064
35711,2.8415e+07,889,4002,1.7144e+05,9425,16079,13097
39711,2.9417e+07,889,3999,1.7127e+05,8546,16216,12853
43755,3.0421e+07,889,4043,1.7313e+05,5536,16306,12731
47765,3.1426e+07,889,4009,1.7196e+05,9391,16006,13116
51756,3.2429e+07,889,3990,1.7128e+05,9517,16292,13186
55796,3.343e+07,889,4039,1.7305e+05,9527,16210,13122
59807,3.4434e+07,889,4010,1.719e+05,9873,16230,13084
63770,3.5435e+07,889,3962,1.7025e+05,10011,16226,13187
67716,3.6436e+07,897,3945,1.6905e+05,994,16163,12378
71670,3.7438e+07,897,3953,1.6965e+05,9116,16207,13100
75648,3.844e+07,897,3977,1.705e+05,9353,16233,13120
79670,3.9443e+07,897,4021,1.724e+05,9233,16276,13105
83657,4.0445e+07,897,3986,1.7081e+05,7892,16200,12871
87609,4.1447e+07,897,3951,1.6954e+05,10011,16317,13135
91601,4.245e+07,897,3991,1.7122e+05,9464,16284,13163
95551,4.3451e+07,897,3949,1.6947e+05,9515,16314,13215
99502,4.4453e+07,897,3950,1.6946e+05,9607,16198,13183
1.0349e+05,4.5456e+07,897,3984,1.7081e+05,9699,16286,13168
1.0742e+05,4.6456e+07,897,3930,1.6888e+05,9106,16324,13097
1.1139e+05,4.746e+07,897,3970,1.7055e+05,10414,16297,13255
1.1538e+05,4.8464e+07,897,3985,1.7093e+05,9421,16327,12859
1.1913e+05,1.0858e+08,897,3302,1.449e+05,8333,16369,12529
1.2345e+05,1.0958e+08,897,4319,1.9002e+05,3039,16319,12669
1.2784e+05,1.1058e+08,897,4392,1.9304e+05,6031,16135,12611
1.3207e+05,1.1159e+08,1013,4224,1.8588e+05,989,16262,12136
1.3642e+05,1.1259e+08,1013,4352,1.9154e+05,8590,16319,12569
1.4065e+05,1.1359e+08,1013,4225,1.8367e+05,7093,16175,12630
1.4462e+05,1.146e+08,1013,3977,1.7057e+05,9299,16180,13009
1.486e+05,1.156e+08,1013,3979,1.7049e+05,9484,16210,12936
1.5257e+05,1.166e+08,1013,3962,1.6971e+05,9190,16329,13024
1.5654e+05,1.176e+08,1013,3976,1.7044e+05,9165,16024,12990
1.6052e+05,1.1861e+08,1013,3972,1.7025e+05,8951,16312,12976
1.6448e+05,1.1961e+08,1013,3967,1.7e+05,9336,16161,13072
1.6844e+05,1.2061e+08,1013,3954,1.6962e+05,7852,16294,12869
1.7245e+05,1.2161e+08,1013,4006,1.7158e+05,7557,16329,12821
1.7645e+05,1.2261e+08,1013,4002,1.7143e+05,9059,16117,12857
1.8046e+05,1.2362e+08,1013,4014,1.7203e+05,9179,16258,12999
1.8447e+05,1.2462e+08,1013,4002,1.7143e+05,9543,16208,13054
1.8845e+05,1.2562e+08,1013,3978,1.7054e+05,8734,16152,12923
