LineNo,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
1.17e+05,1.0809e+08,0,1192,50,0,6,0,35677
1.2132e+05,1.091e+08,0,1253,51,0,6,0,35677
1.2571e+05,1.101e+08,0,1315,53,0,6,0,35677
1.2995e+05,1.111e+08,0,1376,54,0,6,0,35677
1.3429e+05,1.121e+08,0,1437,55,0,6,0,35677
1.3865e+05,1.131e+08,0,1498,56,0,6,0,35677
1.4268e+05,1.141e+08,0,1560,57,0,6,0,35677
1.4662e+05,1.1511e+08,0,1621,58,0,6,0,35677
1.5059e+05,1.1611e+08,0,1682,59,0,6,0,35677
1.5456e+05,1.1711e+08,0,1743,60,0,6,0,35677
1.5854e+05,1.1811e+08,0,1804,61,0,6,0,35677
1.6251e+05,1.1911e+08,0,1865,62,0,6,0,35677
1.6648e+05,1.2012e+08,0,1927,64,0,6,0,35677
1.7046e+05,1.2112e+08,0,1988,65,0,6,0,35677
1.7444e+05,1.2212e+08,0,2050,66,0,6,0,35677
1.7848e+05,1.2312e+08,0,2111,67,0,6,0,35677
1.8249e+05,1.2412e+08,0,2172,68,0,6,0,35677
1.8646e+05,1.2512e+08,0,2233,69,0,6,0,35677
1.9044e+05,1.2613e+08,0,2294,70,0,6,0,35677
1.9435e+05,1.2713e+08,0,2355,77,0,6,0,35677
1.9832e+05,1.2813e+08,0,2413,78,0,6,0,35736
1.9984e+05,1.7421e+08,0,2413,78,0,6,0,3509
2.0416e+05,1.7521e+08,0,2413,78,0,6,0,4229
2.0855e+05,1.7622e+08,0,2413,78,0,6,0,4952
2.128e+05,1.7722e+08,0,2413,78,0,6,0,5663
2.1716e+05,1.7822e+08,0,2413,78,0,6,0,6398
2.2151e+05,1.7922e+08,0,2413,78,0,6,0,7094
2.2586e+05,1.8023e+08,0,2413,78,0,6,0,7812
2.3014e+05,1.8123e+08,0,2413,78,0,6,0,8531
2.3442e+05,1.8223e+08,0,2413,78,0,6,0,9256
2.3876e+05,1.8323e+08,0,2413,78,0,6,0,9989
2.4305e+05,1.8423e+08,0,2413,78,0,6,0,10701
2.4728e+05,1.8524e+08,0,2413,78,0,6,0,11413
2.515e+05,1.8624e+08,0,2413,78,0,6,0,12135
2.5573e+05,1.8724e+08,0,2413,78,0,6,0,12835
2.6004e+05,1.8824e+08,0,2413,78,0,6,0,13560
2.6439e+05,1.8925e+08,0,2413,78,0,6,0,14284
2.6869e+05,1.9025e+08,0,2413,78,0,6,0,15008
2.7281e+05,1.9125e+08,0,2413,78,0,6,0,15735
2.7709e+05,1.9226e+08,0,2413,78,0,6,0,16450
2.813e+05,1.9326e+08,0,2413,78,0,6,0,17155
2.8551e+05,1.9426e+08,0,2414,78,0,6,0,17860
2.8967e+05,1.9526e+08,0,2414,78,0,6,0,18567
2.9386e+05,1.9626e+08,0,2414,78,0,6,0,19279
2.9798e+05,1.9726e+08,0,2414,78,0,6,0,19964
3.0202e+05,1.9827e+08,0,2414,78,0,6,0,20645
3.0605e+05,1.9927e+08,0,2414,78,0,6,0,21328
3.1009e+05,2.0027e+08,0,2414,78,0,6,0,22008
3.1419e+05,2.0127e+08,0,2414,78,0,6,0,22689
3.1825e+05,2.0227e+08,0,2414,78,0,6,0,23371
3.2231e+05,2.0327e+08,0,2414,78,0,6,0,24050
3.2641e+05,2.0428e+08,0,2414,78,0,6,0,24734
3.3042e+05,2.0528e+08,0,2414,78,0,6,0,25415
3.3398e+05,2.0628e+08,0,2414,78,0,6,0,26104
3.3804e+05,2.0729e+08,0,2414,78,0,6,0,26782
3.4206e+05,2.0829e+08,0,2414,78,0,6,0,27466
3.4617e+05,2.0929e+08,0,2414,78,0,6,0,28156
3.5021e+05,2.1029e+08,0,2414,78,0,6,0,28837
3.5429e+05,2.1129e+08,0,2414,78,0,6,0,29523
3.584e+05,2.1229e+08,0,2414,78,0,6,0,30211
3.6244e+05,2.133e+08,0,2414,78,0,6,0,30895
3.6654e+05,2.143e+08,0,2414,78,0,6,0,31581
3.7066e+05,2.153e+08,0,2414,78,0,6,0,32270
3.7473e+05,2.163e+08,0,2414,78,0,6,0,32954
