LineNo,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
317,1.9493e+07,0.88771,0.92917,1,0.022177,2
661,1.9559e+07,0.88761,0.9291,1,0.022177,2
888,1.9604e+07,0.88754,0.92906,1,0.022177,2
1230,1.9765e+07,0.88734,0.92893,1,0.022177,2
1506,1.9836e+07,0.8872,0.92884,1,0.022177,2
1601,1.9858e+07,0.88714,0.9288,1,0.022177,2
1641,1.9868e+07,0.88717,0.92882,1,0.022177,2
1683,1.9878e+07,0.8872,0.92884,1,0.022177,2
1724,1.9888e+07,0.88723,0.92886,1,0.022177,2
1764,1.9901e+07,0.88726,0.92888,1,0.022177,2
1805,1.9912e+07,0.88728,0.9289,1,0.022177,2
1845,1.9922e+07,0.88731,0.92891,1,0.022177,2
1887,1.9932e+07,0.88733,0.92893,1,0.022177,2
1927,1.9942e+07,0.88736,0.92894,1,0.022177,2
1968,1.9952e+07,0.88738,0.92896,1,0.022177,2
2013,1.9962e+07,0.8874,0.92897,1,0.022177,2
2056,1.9972e+07,0.88742,0.92898,1,0.022177,2
2097,1.9983e+07,0.88744,0.929,1,0.022177,2
2137,1.9993e+07,0.88746,0.92901,1,0.022177,2
2178,2.0004e+07,0.88748,0.92902,1,0.022177,2
2219,2.0013e+07,0.8875,0.92904,1,0.022177,2
2260,2.0024e+07,0.88752,0.92905,1,0.022177,2
2301,2.0034e+07,0.88754,0.92906,1,0.022177,2
2341,2.0044e+07,0.88756,0.92907,1,0.022177,2
2384,2.0054e+07,0.88757,0.92908,1,0.022177,2
2428,2.0064e+07,0.88758,0.92909,1,0.022177,2
2469,2.0074e+07,0.88758,0.92908,1,0.022177,2
2512,2.0085e+07,0.88757,0.92908,1,0.022177,2
2552,2.0095e+07,0.88756,0.92907,1,0.022177,2
2592,2.0105e+07,0.88755,0.92907,1,0.022177,2
2630,2.0115e+07,0.88754,0.92906,1,0.022177,2
2671,2.0125e+07,0.88754,0.92906,1,0.022177,2
2712,2.0135e+07,0.88753,0.92906,1,0.022177,2
2753,2.0146e+07,0.88752,0.92905,1,0.022177,2
2794,2.0155e+07,0.88752,0.92905,1,0.022177,2
2838,2.0165e+07,0.8875,0.92904,1,0.022177,2
2880,2.0175e+07,0.88747,0.92902,1,0.022177,2
2921,2.0186e+07,0.88744,0.929,1,0.022177,2
2962,2.0196e+07,0.88741,0.92898,1,0.022177,2
3003,2.0205e+07,0.88738,0.92896,1,0.022177,2
3041,2.0216e+07,0.88735,0.92894,1,0.022177,2
3082,2.0226e+07,0.88732,0.92892,1,0.022177,2
3122,2.0235e+07,0.88729,0.9289,1,0.022177,2
3163,2.0246e+07,0.88727,0.92888,1,0.022177,2
3206,2.0256e+07,0.88724,0.92887,1,0.022177,2
3251,2.0265e+07,0.88721,0.92885,1,0.022177,2
3292,2.0276e+07,0.88718,0.92883,1,0.022177,2
3333,2.0286e+07,0.88714,0.9288,1,0.022177,2
3374,2.0296e+07,0.88711,0.92878,1,0.022177,2
3416,2.0306e+07,0.88708,0.92876,1,0.022177,2
3456,2.0316e+07,0.88705,0.92874,1,0.022177,2
3496,2.0326e+07,0.88702,0.92872,1,0.022177,2
3537,2.0337e+07,0.88699,0.9287,1,0.022177,2
3577,2.0347e+07,0.88696,0.92868,1,0.022177,2
3619,2.0357e+07,0.88693,0.92867,1,0.022177,2
3667,2.0368e+07,0.88692,0.92866,1,0.022177,2
3707,2.0378e+07,0.88695,0.92868,1,0.022177,2
3750,2.0388e+07,0.88699,0.9287,1,0.022177,2
