LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
298,1.9492e+07,-0.15717,0.0018771,-0.15904,-0.021471,0,-0.00061028,0,1,0,1
642,1.9558e+07,-0.15729,0.0018936,-0.15919,-0.02149,0,-0.00049414,0,1,0,1
869,1.9603e+07,-0.15732,-8.0004e-05,-0.15724,-0.021227,0,6.2058e-05,0,1,0,1
1211,1.9764e+07,-0.15723,-0.0028081,-0.15442,-0.020847,0,0.00019367,0,1,0,1
1487,1.9835e+07,-0.15703,0.0027833,-0.15981,-0.021575,0,-0.00079099,0,1,0,1
1582,1.9857e+07,-0.15723,0.0019504,-0.15918,-0.02149,0,5.3867e-05,0,1,0,1
1622,1.9868e+07,-0.15731,0.0018069,-0.15912,-0.021481,0,-0.00016011,0,1,0,1
1664,1.9877e+07,-0.15742,0.0029843,-0.1604,-0.021654,0,-0.00028104,0,1,0,1
1705,1.9887e+07,-0.15752,0.00097627,-0.15849,-0.021397,0,0.00042656,0,1,0,1
1745,1.99e+07,-0.1575,-0.0026596,-0.15484,-0.020904,0,0.00074113,0,1,0,1
1786,1.9911e+07,-0.15745,-0.00069975,-0.15675,-0.021161,0,-0.00022667,0,1,0,1
1826,1.9921e+07,-0.15745,-0.00045839,-0.15699,-0.021193,0,0.00016424,0,1,0,1
1868,1.9931e+07,-0.15741,-0.0013262,-0.15609,-0.021072,0,0.0002367,0,1,0,1
1908,1.9941e+07,-0.15734,-0.0034692,-0.15388,-0.020773,0,0.00073305,0,1,0,1
1949,1.9951e+07,-0.15727,-0.00070802,-0.15656,-0.021136,0,-0.0003931,0,1,0,1
1994,1.9961e+07,-0.15717,-0.00098375,-0.15618,-0.021085,0,8.8148e-05,0,1,0,1
2037,1.9972e+07,-0.157,-0.0012905,-0.15571,-0.02102,0,0.00020113,0,1,0,1
2078,1.9982e+07,-0.15688,-0.00031805,-0.15657,-0.021136,0,-0.0004895,0,1,0,1
2118,1.9992e+07,-0.1569,0.0024087,-0.15931,-0.021507,0,-0.00078603,0,1,0,1
2159,2.0003e+07,-0.157,0.0019771,-0.15898,-0.021462,0,7.0164e-05,0,1,0,1
