LineNo,TimeUS,RSSI,RemRSSI,TxBuf,Noise,RemNoise,RxErrors,Fixed
2030,1.997e+07,0,0,100,84,0,0,0
5758,2.0894e+07,0,0,100,88,0,0,0
9468,2.1823e+07,0,0,100,87,0,0,0
13956,2.2974e+07,0,0,100,86,0,0,0
17610,2.3899e+07,0,0,100,88,0,0,0
21295,2.4822e+07,0,0,100,87,0,0,0
25977,2.5978e+07,0,0,100,88,0,0,0
29663,2.6903e+07,0,0,100,86,0,0,0
33363,2.7827e+07,0,0,100,87,0,0,0
37979,2.8983e+07,0,0,100,85,0,0,0
41681,2.9908e+07,0,0,100,92,0,0,0
45381,3.0831e+07,0,0,100,91,0,0,0
50012,3.1988e+07,0,0,100,88,0,0,0
53738,3.2913e+07,0,0,100,85,0,0,0
57414,3.3839e+07,0,0,100,86,0,0,0
61996,3.499e+07,0,0,100,87,0,0,0
65649,3.5915e+07,0,0,100,82,0,0,0
69314,3.684e+07,0,0,100,86,0,0,0
73865,3.7996e+07,0,0,100,86,0,0,0
77557,3.8919e+07,0,0,100,82,0,0,0
81256,3.9845e+07,0,0,100,86,0,0,0
85859,4.0999e+07,0,0,100,85,0,0,0
89497,4.1926e+07,0,0,100,82,0,0,0
93156,4.2848e+07,0,0,100,79,0,0,0
97715,4.4003e+07,0,0,100,79,0,0,0
1.0138e+05,4.4928e+07,0,0,100,80,0,0,0
1.0508e+05,4.5854e+07,0,0,100,84,0,0,0
1.096e+05,4.7008e+07,0,0,100,83,0,0,0
1.1326e+05,4.7933e+07,0,0,100,85,0,0,0
1.1678e+05,1.0803e+08,84,0,100,84,0,0,0
1.2064e+05,1.0894e+08,84,0,100,82,0,0,0
1.2471e+05,1.0987e+08,84,0,100,86,0,0,0
1.2963e+05,1.1102e+08,84,0,100,84,0,0,0
1.3361e+05,1.1195e+08,84,0,100,84,0,0,0
1.3764e+05,1.1287e+08,84,0,100,84,0,0,0
1.4236e+05,1.1403e+08,84,0,100,84,0,0,0
1.46e+05,1.1495e+08,84,0,100,83,0,0,0
1.4968e+05,1.1588e+08,84,0,100,88,0,0,0
1.5427e+05,1.1703e+08,84,0,100,89,0,0,0
