LineNo,TimeUS,C15,C16,C17,C18
319,1.9493e+07,0,0,0,0
663,1.9559e+07,0,0,0,0
890,1.9604e+07,0,0,0,0
1232,1.9765e+07,0,0,0,0
1508,1.9836e+07,0,0,0,0
1603,1.9858e+07,0,0,0,0
1643,1.9868e+07,0,0,0,0
1685,1.9878e+07,0,0,0,0
1726,1.9888e+07,0,0,0,0
1766,1.9901e+07,0,0,0,0
1807,1.9912e+07,0,0,0,0
1847,1.9922e+07,0,0,0,0
1889,1.9932e+07,0,0,0,0
1929,1.9942e+07,0,0,0,0
1970,1.9952e+07,0,0,0,0
2015,1.9962e+07,0,0,0,0
2058,1.9972e+07,0,0,0,0
2099,1.9983e+07,0,0,0,0
2139,1.9993e+07,0,0,0,0
2180,2.0004e+07,0,0,0,0
2221,2.0014e+07,0,0,0,0
2262,2.0024e+07,0,0,0,0
2303,2.0034e+07,0,0,0,0
2343,2.0044e+07,0,0,0,0
2386,2.0054e+07,0,0,0,0
2430,2.0064e+07,0,0,0,0
2471,2.0075e+07,0,0,0,0
2514,2.0085e+07,0,0,0,0
2554,2.0095e+07,0,0,0,0
2594,2.0105e+07,0,0,0,0
2632,2.0115e+07,0,0,0,0
2673,2.0125e+07,0,0,0,0
2714,2.0135e+07,0,0,0,0
2755,2.0146e+07,0,0,0,0
2796,2.0155e+07,0,0,0,0
2840,2.0165e+07,0,0,0,0
2882,2.0175e+07,0,0,0,0
2923,2.0186e+07,0,0,0,0
2964,2.0196e+07,0,0,0,0
3005,2.0205e+07,0,0,0,0
3043,2.0216e+07,0,0,0,0
3084,2.0226e+07,0,0,0,0
3124,2.0235e+07,0,0,0,0
3165,2.0246e+07,0,0,0,0
3208,2.0256e+07,0,0,0,0
3253,2.0265e+07,0,0,0,0
3294,2.0276e+07,0,0,0,0
3335,2.0286e+07,0,0,0,0
3376,2.0296e+07,0,0,0,0
3418,2.0306e+07,0,0,0,0
3458,2.0316e+07,0,0,0,0
3498,2.0326e+07,0,0,0,0
3539,2.0337e+07,0,0,0,0
3579,2.0347e+07,0,0,0,0
