LineNo,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
318,19492534,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
662,19558573,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
889,19603814,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1231,19764787,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1507,19835746,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1602,19858036,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1642,19867992,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1684,19877900,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1725,19887959,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1765,19900734,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1806,19911600,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1846,19921956,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1888,19931734,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1928,19941580,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1969,19951689,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2014,19961899,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2057,19972421,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2098,19982953,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2138,19992713,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2179,20003786,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2220,20013446,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2261,20023822,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2302,20034017,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2342,20044158,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2385,20054351,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2429,20063988,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2470,20074511,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2513,20084559,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2553,20094993,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2593,20104833,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2631,20115120,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2672,20125329,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2713,20135019,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2754,20145540,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2795,20155009,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2839,20164984,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2881,20175204,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2922,20185623,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
