LineNo,TimeUS,Active,NumPts,MaxPts,Action,N,E,D
1.0234e+05,4.5172e+07,0,1,300,0,-6.4304,-2.0768,-0.65325
1.1583e+05,1.0782e+08,1,1,300,0,-9.8529,-3.8795,-0.39391
1.1583e+05,1.0782e+08,1,1,300,0,-9.8529,-3.8795,-0.39391
1.984e+05,1.7388e+08,1,1,300,0,2.4537,-1.7366,0.59311
1.984e+05,1.7388e+08,1,1,300,0,2.4537,-1.7366,0.59311
2.5509e+05,1.8709e+08,1,1,300,0,2.1775,-1.974,0.64668
2.5509e+05,1.8709e+08,1,1,300,0,2.1775,-1.974,0.64668
2.9162e+05,1.9573e+08,1,2,300,0,1.9904,-1.7099,-1.3783
3.0914e+05,2.0003e+08,1,3,300,0,0.74022,-2.2822,-3.0339
3.1789e+05,2.0219e+08,1,4,300,0,-1.0016,-3.2793,-3.6986
3.3339e+05,2.0614e+08,1,5,300,0,-2.4156,-4.7748,-3.7749
3.421e+05,2.083e+08,1,6,300,0,-1.8121,-6.7641,-3.5994
3.4931e+05,2.1008e+08,1,7,300,0,-1.1199,-8.6671,-3.6682
3.5955e+05,2.1258e+08,1,8,300,0,-2.6835,-7.2457,-3.7621
3.6825e+05,2.1473e+08,1,9,300,0,-0.3134,-6.4984,-3.5446
3.7411e+05,2.1615e+08,1,10,300,0,1.6939,-6.5146,-3.5625
3.8582e+05,2.1901e+08,1,11,300,0,3.7291,-5.9269,-3.6979
3.9994e+05,2.2259e+08,1,12,300,0,3.998,-3.786,-3.7644
4.1301e+05,2.2579e+08,1,13,300,0,3.1997,-1.9515,-3.7419
4.4173e+05,2.3293e+08,1,14,300,0,1.9033,-0.43138,-3.5747
4.519e+05,2.3543e+08,1,15,300,0,0.085647,0.54465,-3.8575
4.5925e+05,2.3722e+08,1,16,300,0,-2.1498,0.58026,-3.8062
4.8395e+05,2.4331e+08,1,17,300,0,-3.1313,-1.1678,-3.6811
4.8973e+05,2.4474e+08,1,18,300,0,-2.4431,-3.5961,-3.5851
4.9411e+05,2.4581e+08,1,19,300,0,-1.841,-5.6489,-3.5389
5.3612e+05,2.5618e+08,1,20,300,0,-0.85489,-4.0679,-4.6061
5.4344e+05,2.5798e+08,1,21,300,0,-0.86507,-3.9526,-6.8919
5.5648e+05,2.6118e+08,1,22,300,0,0.9213,-2.9649,-7.3088
5.6078e+05,2.6225e+08,1,23,300,0,3.1248,-2.2497,-7.3873
5.6513e+05,2.6332e+08,1,24,300,0,5.9576,-1.4408,-7.5004
5.6946e+05,2.6438e+08,1,25,300,0,8.2705,-0.62206,-7.5053
5.7924e+05,2.6689e+08,1,26,300,0,6.3552,-1.6735,-7.4037
5.8357e+05,2.6795e+08,1,27,300,0,4.3315,-2.0484,-7.4912
5.8935e+05,2.6938e+08,1,28,300,0,2.0852,-1.5894,-7.4519
5.9654e+05,2.7116e+08,1,29,300,0,0.8566,0.77467,-7.3403
5.9938e+05,2.7188e+08,1,30,300,0,0.59252,2.7637,-7.355
6.0231e+05,2.7259e+08,1,31,300,0,0.27252,5.0918,-7.3652
6.0522e+05,2.7331e+08,1,32,300,0,-0.077061,7.6308,-7.3663
6.1104e+05,2.7474e+08,1,33,300,0,-0.052997,9.8256,-7.3518
6.1248e+05,2.751e+08,1,33,300,3,0.032268,9.838,-7.3311
6.1826e+05,2.7652e+08,1,34,300,0,0.75761,7.7011,-7.2791
6.2119e+05,2.7723e+08,1,35,300,0,1.4466,5.7461,-7.1672
6.241e+05,2.7795e+08,1,36,300,0,1.7845,3.7244,-6.9498
6.2847e+05,2.7903e+08,1,37,300,0,2.1026,1.3031,-5.2756
6.3281e+05,2.801e+08,1,38,300,0,1.8397,-0.50474,-3.2372
6.3715e+05,2.8116e+08,1,39,300,0,0.92686,-2.4565,-1.3484
6.4439e+05,2.8295e+08,1,40,300,0,-0.71568,-3.4589,-0.065716
