LineNo,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
4463,2.0568e+07,2,43.601,13.482,100,88.172,-88.731,0,224,0
8487,2.1578e+07,2,43.601,13.482,100,88.169,-88.7,0,224,0
12406,2.2591e+07,2,43.601,13.482,100,88.165,-88.43,0,224,0
16457,2.361e+07,2,43.601,13.482,100,88.159,-88.673,0,224,0
20512,2.4628e+07,2,43.601,13.482,100,88.155,-88.68,0,224,0
24660,2.5651e+07,2,43.601,13.482,100,88.153,-0.011939,0,224,0
28710,2.6667e+07,2,43.601,13.482,100,88.152,-0.15164,0,224,0
32784,2.7683e+07,2,43.601,13.482,100,88.148,-0.27215,0,224,0
36839,2.8702e+07,2,43.601,13.482,100,88.142,-0.22044,0,224,0
40911,2.9718e+07,2,43.601,13.482,100,88.14,-0.27441,0,224,0
45006,3.0734e+07,2,43.601,13.482,100,88.137,-0.38121,0,224,0
49063,3.1752e+07,2,43.601,13.482,100,88.133,-0.51339,0,224,0
53127,3.2767e+07,2,43.601,13.482,100,88.134,-0.55731,0,224,0
57205,3.3784e+07,2,43.601,13.482,100,88.131,-0.55955,0,224,0
61256,3.4803e+07,2,43.601,13.482,100,88.119,-0.61473,0,224,0
65285,3.5818e+07,2,43.601,13.482,100,88.095,-0.70002,0,224,0
69272,3.6829e+07,2,43.601,13.482,100,88.068,-0.68664,0,224,0
73260,3.7843e+07,2,43.601,13.482,100,88.04,-0.62356,0,224,0
77317,3.8859e+07,2,43.601,13.482,100,88.045,0.37565,0,224,0
81343,3.9866e+07,2,43.601,13.482,100,88.156,0.58726,0,224,0
85342,4.0872e+07,2,43.601,13.482,100,88.271,0.63069,0,224,0
89330,4.1881e+07,2,43.601,13.482,100,88.423,0.74133,0,224,0
93325,4.289e+07,2,43.601,13.482,100,88.573,0.6822,0,224,0
97316,4.3903e+07,2,43.601,13.482,100,88.709,0.50635,0,224,0
1.0133e+05,4.4915e+07,2,43.601,13.482,100,88.84,0.41661,0,224,0
1.0536e+05,4.5925e+07,2,43.601,13.482,100,88.981,0.28696,0,224,0
1.0931e+05,4.6938e+07,2,43.601,13.482,100,89.05,-0.12483,0,224,0
1.1334e+05,4.7948e+07,2,43.601,13.482,100,89.079,-0.29461,0,224,0
1.1709e+05,1.0811e+08,2,43.601,13.482,100,84.01,0.0073124,0,224,-5.2867
1.2146e+05,1.0913e+08,2,43.601,13.482,100,84.01,0.024243,0,224,-5.2867
1.2594e+05,1.1015e+08,2,43.601,13.482,100,84.011,0.072746,0,224,-5.2867
1.3027e+05,1.1118e+08,2,43.601,13.482,100,84.011,0.099333,0,224,-5.2867
1.3475e+05,1.1221e+08,2,43.601,13.482,100,84.012,0.14041,0,224,-5.2867
1.3917e+05,1.1323e+08,2,43.601,13.482,100,84.012,0.16616,0,224,-5.2867
1.4325e+05,1.1425e+08,2,43.601,13.482,100,84.013,0.15354,0,224,-5.2867
1.4728e+05,1.1527e+08,2,43.601,13.482,100,84.011,0.10611,0,224,-5.2867
1.5137e+05,1.163e+08,2,43.601,13.482,100,84.008,0.065793,0,224,-5.2867
1.5543e+05,1.1733e+08,2,43.601,13.482,100,84,0.056043,0,224,-5.2867
1.5949e+05,1.1835e+08,2,43.601,13.482,100,83.995,0.062557,0,224,-5.2867
1.6357e+05,1.1938e+08,2,43.601,13.482,100,83.99,0.04646,0,224,-5.2867
