LineNo,TimeUS,Instance,ofsI,magI,ofsQ,magQ
3427,2.0313e+07,0,4,153,2,143
23278,2.5314e+07,0,15,151,-5,139
43337,3.0316e+07,0,10,133,-14,131
63230,3.5302e+07,0,13,140,-7,131
83161,4.0322e+07,0,11,133,-7,125
1.029e+05,4.5309e+07,0,9,134,-6,125
1.2667e+05,1.1032e+08,0,9,150,-12,153
1.4745e+05,1.1531e+08,0,8,143,-5,136
1.6723e+05,1.2031e+08,0,13,142,-9,131
1.872e+05,1.2531e+08,0,9,136,-6,131
2.0457e+05,1.7531e+08,0,10,142,-10,137
2.2622e+05,1.8031e+08,0,1,151,-11,144
2.4756e+05,1.8531e+08,0,18,155,-2,142
2.69e+05,1.9032e+08,0,15,147,-6,134
2.899e+05,1.9532e+08,0,7,141,-12,140
3.1022e+05,2.003e+08,0,0,150,1,143
3.3055e+05,2.0531e+08,0,13,153,-5,142
3.5034e+05,2.1032e+08,0,6,146,-6,136
3.7074e+05,2.1532e+08,0,1,149,-3,146
3.9114e+05,2.2032e+08,0,14,148,-4,137
4.1104e+05,2.2531e+08,0,10,140,-13,141
4.3114e+05,2.3031e+08,0,2,147,2,142
4.5139e+05,2.3531e+08,0,12,152,-6,138
4.7184e+05,2.4033e+08,0,9,142,-6,136
4.9209e+05,2.4532e+08,0,0,149,-49,176
5.123e+05,2.5031e+08,0,13,146,1,141
5.326e+05,2.5532e+08,0,10,145,-6,138
5.529e+05,2.6031e+08,0,2,147,-12,138
5.7288e+05,2.6532e+08,0,5,148,1,139
5.9309e+05,2.7032e+08,0,12,142,-10,137
6.1337e+05,2.7532e+08,0,13,145,-11,142
6.337e+05,2.8031e+08,0,1,148,2,140
6.54e+05,2.8532e+08,0,10,149,-6,133
6.7482e+05,2.9032e+08,0,7,142,-12,143
6.9593e+05,2.9532e+08,0,6,151,-5,149
7.1705e+05,3.0033e+08,0,13,147,-4,138
