LineNo,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
320,1.9493e+07,0,0.01864,0.017894,0.036711,0
664,1.9559e+07,0,0.020007,0.018037,0.035433,0
891,1.9604e+07,0,0.019628,0.017704,0.032472,0
1233,1.9765e+07,0,0.019836,0.018976,0.03099,0
1509,1.9836e+07,0,0.021666,0.019594,0.03174,0
1604,1.9858e+07,0,0.021267,0.020637,0.031784,0
1644,1.9868e+07,0,0.02121,0.020407,0.031876,0
1686,1.9878e+07,0,0.020792,0.020009,0.031845,0
1727,1.9888e+07,0,0.021468,0.022631,0.030851,0
1767,1.9901e+07,0,0.021812,0.022334,0.03003,0
1808,1.9912e+07,0,0.021045,0.022037,0.029047,0
1848,1.9922e+07,0,0.021421,0.021539,0.030021,0
1890,1.9932e+07,0,0.021406,0.021109,0.029368,0
1930,1.9942e+07,0,0.021143,0.020587,0.029843,0
1971,1.9952e+07,0,0.021484,0.020407,0.030301,0
2016,1.9962e+07,0,0.021637,0.021891,0.032232,0
2059,1.9972e+07,0,0.021413,0.022557,0.031729,0
2100,1.9983e+07,0,0.02182,0.024001,0.031103,0
2140,1.9993e+07,0,0.021245,0.024014,0.030659,0
2181,2.0004e+07,0,0.020751,0.023793,0.029767,0
2222,2.0014e+07,0,0.019938,0.023723,0.029005,0
2263,2.0024e+07,0,0.02022,0.022992,0.028721,0
2304,2.0034e+07,0,0.020962,0.022577,0.028761,0
2344,2.0044e+07,0,0.022245,0.023464,0.029911,0
2387,2.0054e+07,0,0.022068,0.022669,0.029958,0
2431,2.0064e+07,0,0.022018,0.022307,0.029419,0
2472,2.0075e+07,0,0.021657,0.021677,0.029174,0
2515,2.0085e+07,0,0.022594,0.021013,0.028089,0
2555,2.0095e+07,0,0.021779,0.020444,0.028715,0
2595,2.0105e+07,0,0.020667,0.019664,0.031972,0
2633,2.0115e+07,0,0.020618,0.019835,0.030644,0
2674,2.0125e+07,0,0.02063,0.022132,0.029484,0
2715,2.0135e+07,0,0.020906,0.02225,0.02998,0
2756,2.0146e+07,0,0.021306,0.022235,0.029234,0
2797,2.0155e+07,0,0.022526,0.021512,0.02887,0
2841,2.0165e+07,0,0.021472,0.021858,0.029657,0
2883,2.0175e+07,0,0.021391,0.021871,0.029147,0
2924,2.0186e+07,0,0.020551,0.02178,0.028097,0
2965,2.0196e+07,0,0.020094,0.021739,0.027594,0
3006,2.0205e+07,0,0.019761,0.021462,0.028716,0
3044,2.0216e+07,0,0.019567,0.020781,0.028336,0
3085,2.0226e+07,0,0.019226,0.021777,0.028201,0
3125,2.0235e+07,0,0.019031,0.020983,0.027436,0
3166,2.0246e+07,0,0.021,0.020337,0.027351,0
3209,2.0256e+07,0,0.020701,0.020486,0.028029,0
3254,2.0265e+07,0,0.02003,0.019974,0.027636,0
3295,2.0276e+07,0,0.019671,0.021213,0.028617,0
3336,2.0286e+07,0,0.018934,0.020318,0.027725,0
3377,2.0296e+07,0,0.01909,0.021976,0.027251,0
3419,2.0306e+07,0,0.019297,0.021416,0.027214,0
3459,2.0316e+07,0,0.018909,0.020935,0.026553,0
3499,2.0326e+07,0,0.018732,0.020226,0.027366,0
3540,2.0337e+07,0,0.018006,0.02019,0.027082,0
3580,2.0347e+07,0,0.018208,0.021582,0.026761,0
3622,2.0357e+07,0,0.019039,0.020504,0.025962,0
3670,2.0368e+07,0,0.018461,0.019977,0.027772,0
3710,2.0378e+07,0,0.018948,0.019819,0.027788,0
3753,2.0388e+07,0,0.018632,0.019424,0.028438,0
3795,2.0398e+07,0,0.017965,0.01983,0.028483,0
3832,2.0408e+07,0,0.018849,0.019003,0.027669,0
3870,2.0419e+07,0,0.021713,0.017985,0.027336,0
3910,2.0429e+07,0,0.021466,0.018402,0.026106,0
3951,2.0439e+07,0,0.022689,0.017937,0.025582,0
3992,2.0449e+07,0,0.02225,0.018063,0.028815,0
4034,2.046e+07,0,0.02307,0.017462,0.029558,0
4080,2.047e+07,0,0.022883,0.017647,0.029565,0
4120,2.048e+07,0,0.022862,0.017946,0.029386,0
4162,2.049e+07,0,0.022873,0.017417,0.028912,0
4203,2.05e+07,0,0.021976,0.017195,0.028324,0
4240,2.051e+07,0,0.021178,0.017658,0.027812,0
4282,2.0521e+07,0,0.022468,0.017596,0.02729,0
4322,2.0531e+07,0,0.023018,0.017662,0.027295,0
4363,2.0541e+07,0,0.022007,0.017923,0.028142,0
4403,2.0551e+07,0,0.024772,0.01809,0.028175,0
4444,2.0561e+07,0,0.023507,0.017545,0.027556,0
4491,2.0572e+07,0,0.02245,0.016952,0.026446,0
