LineNo,TimeUS,C,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT,RErr,ErSc
312,1.9491e+07,1,0,0,0,0,0,-0.05,0,0,0,1.27,0,0,0
656,1.9556e+07,1,0,0,0,0,0,-0.05,0,0,0,1.27,0,0,0
883,1.9602e+07,1,0,0,0,0,0,-0.17,0,0,0,0.87,0,0,0
1225,1.9763e+07,1,0,0,0,0,0,-0.17,0,0,0,0.87,0,0,0
1501,1.9834e+07,1,0,0,0,0,0,-0.17,0,0,0,0.87,0,0,0
1596,1.9856e+07,1,0,0,0,0,0,-0.27,0,0,0,1.5,0,0,0
1636,1.9866e+07,1,0,0,0,0,0,-0.27,0,0,0,1.5,0,0,0
1678,1.9876e+07,1,0,0,0,0,0,-0.27,0,0,0,1.5,0,0,0
1719,1.9886e+07,1,0,0,0,0,0,-0.27,0,0,0,1.5,0,0,0
1759,1.9899e+07,1,0,0,0,0,0,-0.11,0,0,0,1.5,0,0,0
1800,1.9909e+07,1,0,0,0,0,0,-0.11,0,0,0,0.7,0,0,0
1840,1.992e+07,1,0,0,0,0,0,-0.11,0,0,0,0.7,0,0,0
1882,1.993e+07,1,0,0,0,0,0,-0.11,0,0,0,0.7,0,0,0
1922,1.994e+07,1,0,0,0,0,0,-0.11,0,0,0,0.7,0,0,0
1963,1.995e+07,1,0,0,0,0,0,-0.11,0,0,0,0.7,0,0,0
2008,1.996e+07,1,0,0,0,0,0,-0.11,0,0,0,0.7,0,0,0
2051,1.9971e+07,1,0,0,0,0,0,-0.11,0,0,0,0.7,0,0,0
2092,1.9981e+07,1,0,0,0,0,0,-0.11,0,0,0,0.7,0,0,0
2132,1.9991e+07,1,0,0,0,0,0,-0.11,0,0,0,0.7,0,0,0
2173,2.0002e+07,1,0,0,0,-0.01,0,0.13,0,0,0,0.06,0,0,0
2214,2.0012e+07,1,0,0,0,-0.01,0,0.13,0,0,0,0.06,0,0,0
2255,2.0022e+07,1,0,0,0,-0.01,0,0.13,0,0,0,0.06,0,0,0
2296,2.0032e+07,1,0,0,0,-0.01,0,0.13,0,0,0,0.06,0,0,0
2336,2.0042e+07,1,0,0,0,-0.01,0,0.13,0,0,0,0.06,0,0,0
2379,2.0052e+07,1,0,0,0,-0.01,0,0.13,0,0,0,0.06,0,0,0
2423,2.0062e+07,1,0,0,0,-0.01,0,0.13,0,0,0,0.06,0,0,0
2464,2.0072e+07,1,0,0,0,-0.01,0,0.13,0,0,0,0.06,0,0,0
2507,2.0082e+07,1,0,0,0,-0.01,0,0.13,0,0,0,0.06,0,0,0
2547,2.0093e+07,1,0,0,0,-0.01,0,0.13,0,0,0,0.06,0,0,0
2587,2.0103e+07,1,0,0,0,-0.01,0,-0.11,0,0,0,0.06,0,0,0
2625,2.0113e+07,1,0,0,0,-0.01,0,-0.11,0,0,0,0.52,0,0,0
2666,2.0123e+07,1,0,0,0,-0.01,0,-0.11,0,0,0,0.52,0,0,0
2707,2.0134e+07,1,0,0,0,-0.01,0,-0.11,0,0,0,0.52,0,0,0
2748,2.0144e+07,1,0,0,0,-0.01,0,-0.11,0,0,0,0.52,0,0,0
2789,2.0153e+07,1,0,0,0,-0.01,0,-0.11,0,0,0,0.52,0,0,0
2833,2.0164e+07,1,0,0,0,-0.01,0,-0.11,0,0,0,0.52,0,0,0
2875,2.0174e+07,1,0,0,0,-0.01,0,-0.11,0,0,0,0.52,0,0,0
2916,2.0183e+07,1,0,0,0,-0.01,0,-0.11,0,0,0,0.52,0,0,0
2957,2.0193e+07,1,0,0,0,-0.01,0,-0.11,0,0,0,0.52,0,0,0
2998,2.0203e+07,1,0,0,0,-0.01,0,-0.26,0,0,0,0.52,0,0,0
3036,2.0214e+07,1,0,0,0,-0.01,0,-0.26,0,0,0,1.4,0,0,0
3077,2.0224e+07,1,0,0,0,-0.01,0,-0.26,0,0,0,1.4,0,0,0
3117,2.0234e+07,1,0,0,0,-0.01,0,-0.26,0,0,0,1.4,0,0,0
3158,2.0244e+07,1,0,0,0,-0.01,0,-0.26,0,0,0,1.4,0,0,0
3201,2.0254e+07,1,0,0,0,-0.01,0,-0.26,0,0,0,1.4,0,0,0
3246,2.0264e+07,1,0,0,0,-0.01,0,-0.26,0,0,0,1.4,0,0,0
3287,2.0274e+07,1,0,0,0,-0.01,0,-0.26,0,0,0,1.4,0,0,0
3328,2.0284e+07,1,0,0,0,-0.01,0,-0.26,0,0,0,1.4,0,0,0
3369,2.0294e+07,1,0,0,0,-0.01,0,-0.26,0,0,0,1.4,0,0,0
3411,2.0304e+07,1,0,0,0,-0.01,0,-0.26,0,0,0,1.4,0,0,0
3451,2.0314e+07,1,0,0,0,-0.01,0,0.02,0,0,0,1.4,0,0,0
3491,2.0324e+07,1,0,0,0,-0.01,0,0.02,0,0,0,0.62,0,0,0
3532,2.0334e+07,1,0,0,0,-0.01,0,0.02,0,0,0,0.62,0,0,0
3572,2.0344e+07,1,0,0,0,-0.01,0,0.02,0,0,0,0.62,0,0,0
3614,2.0355e+07,1,0,0,0,-0.01,0,0.02,0,0,0,0.62,0,0,0
3662,2.0365e+07,1,0,0,0,-0.01,0,0.02,0,0,0,0.62,0,0,0
3702,2.0376e+07,1,0,0,0,-0.01,0,0.02,0,0,0,0.62,0,0,0
3744,2.0386e+07,1,0,0,0,-0.01,0,0.02,0,0,0,0.62,0,0,0
3787,2.0396e+07,1,0,0,0,-0.01,0,0.02,0,0,0,0.62,0,0,0
3824,2.0406e+07,1,0,0,0,-0.01,0,0.02,0,0,0,0.62,0,0,0
3862,2.0417e+07,1,0,0,0,-0.01,0,-0.4,0,0,0,0.72,0,0,0
3902,2.0427e+07,1,0,0,0,-0.01,0,-0.4,0,0,0,0.72,0,0,0
3943,2.0437e+07,1,0,0,0,-0.01,0,-0.4,0,0,0,0.72,0,0,0
3984,2.0447e+07,1,0,0,0,-0.01,0,-0.4,0,0,0,0.72,0,0,0
4026,2.0458e+07,1,0,0,0,-0.01,0,-0.4,0,0,0,0.72,0,0,0
4072,2.0468e+07,1,0,0,0,-0.01,0,-0.4,0,0,0,0.72,0,0,0
4112,2.0478e+07,1,0,0,0,-0.01,0,-0.4,0,0,0,0.72,0,0,0
4154,2.0488e+07,1,0,0,0,-0.01,0,-0.4,0,0,0,0.72,0,0,0
4195,2.0499e+07,1,0,0,0,-0.01,0,-0.4,0,0,0,0.72,0,0,0
4232,2.0509e+07,1,0,0,0,-0.01,0,-0.4,0,0,0,0.72,0,0,0
4274,2.0518e+07,1,0,0,0,-0.01,0,0,0,0,0,0.72,0,0,0
4314,2.0529e+07,1,0,0,0,-0.01,0,0,0,0,0,1.42,0,0,0
4355,2.0539e+07,1,0,0,0,-0.01,0,0,0,0,0,1.42,0,0,0
4395,2.0549e+07,1,0,0,0,-0.01,0,0,0,0,0,1.42,0,0,0
4436,2.0559e+07,1,0,0,0,-0.01,0,0,0,0,0,1.42,0,0,0
4483,2.057e+07,1,0,0,0,-0.01,0,0,0,0,0,1.42,0,0,0
4523,2.058e+07,1,0,0,0,-0.01,0,0,0,0,0,1.42,0,0,0
4565,2.059e+07,1,0,0,0,-0.01,0,0,0,0,0,1.42,0,0,0
4608,2.0602e+07,1,0,0,0,-0.01,0,0,0,0,0,1.42,0,0,0
4652,2.0615e+07,1,0,0,0,-0.01,0,-0.19,0,0,0,1.42,0,0,0
4693,2.0625e+07,1,0,0,0,-0.01,0,-0.19,0,0,0,1.42,0,0,0
4733,2.0635e+07,1,0,0,0,-0.01,0,-0.19,0,0,0,1.42,0,0,0
4776,2.0645e+07,1,0,0,0,-0.01,0,-0.19,0,0,0,1.63,0,0,0
4817,2.0655e+07,1,0,0,0,-0.01,0,-0.19,0,0,0,1.63,0,0,0
4858,2.0665e+07,1,0,0,0,-0.01,0,-0.19,0,0,0,1.63,0,0,0
4903,2.0676e+07,1,0,0,0,-0.01,0,-0.19,0,0,0,1.63,0,0,0
4944,2.0686e+07,1,0,0,0,-0.01,0,-0.19,0,0,0,1.63,0,0,0
4985,2.0696e+07,1,0,0,0,-0.01,0,-0.19,0,0,0,1.63,0,0,0
5026,2.0706e+07,1,0,0,0,-0.01,0,-0.19,0,0,0,1.63,0,0,0
5067,2.0719e+07,1,0,0,0,-0.01,0,0.17,0,0,0,1.63,0,0,0
5107,2.0729e+07,1,0,0,0,-0.01,0,0.17,0,0,0,1.63,0,0,0
5149,2.0739e+07,1,0,0,0,-0.01,0,0.17,0,0,0,-0.12,0,0,0
5190,2.0749e+07,1,0,0,0,-0.01,0,0.17,0,0,0,-0.12,0,0,0
5230,2.0759e+07,1,0,0,0,-0.01,0,0.17,0,0,0,-0.12,0,0,0
5275,2.0769e+07,1,0,0,0,-0.01,0,0.17,0,0,0,-0.12,0,0,0
5316,2.078e+07,1,0,0,0,-0.01,0,0.17,0,0,0,-0.12,0,0,0
5360,2.079e+07,1,0,0,0,-0.01,0,0.17,0,0,0,-0.12,0,0,0
5403,2.08e+07,1,0,0,0,-0.01,0,0.17,0,0,0,-0.12,0,0,0
5443,2.081e+07,1,0,0,0,-0.01,0,0.17,0,0,0,-0.12,0,0,0
5481,2.0822e+07,1,0,0,0,-0.01,0,-0.16,0,0,0,-0.07,0,0,0
5522,2.0832e+07,1,0,0,0,-0.01,0,-0.16,0,0,0,-0.07,0,0,0
5566,2.0842e+07,1,0,0,0,-0.01,0,-0.16,0,0,0,-0.07,0,0,0
5607,2.0853e+07,1,0,0,0,-0.01,0,-0.16,0,0,0,-0.07,0,0,0
5647,2.0863e+07,1,0,0,0,-0.01,0,-0.16,0,0,0,-0.07,0,0,0
5692,2.0873e+07,1,0,0,0,-0.01,0,-0.16,0,0,0,-0.07,0,0,0
5732,2.0883e+07,1,0,0,0,-0.01,0,-0.16,0,0,0,-0.07,0,0,0
5775,2.0893e+07,1,0,0,0,-0.01,0,-0.16,0,0,0,-0.07,0,0,0
5815,2.0903e+07,1,0,0,0,-0.01,0,-0.16,0,0,0,-0.07,0,0,0
5853,2.0914e+07,1,0,0,0,-0.01,0,-0.16,0,0,0,-0.07,0,0,0
5892,2.0924e+07,1,0,0,0,-0.01,0,-0.04,0,0,0,-0.07,0,0,0
5932,2.0934e+07,1,0,0,0,-0.01,0,-0.04,0,0,0,0.6,0,0,0
5974,2.0944e+07,1,0,0,0,-0.01,0,-0.04,0,0,0,0.6,0,0,0
6015,2.0954e+07,1,0,0,0,-0.01,0,-0.04,0,0,0,0.6,0,0,0
6055,2.0964e+07,1,0,0,0,-0.01,0,-0.04,0,0,0,0.6,0,0,0
6100,2.0974e+07,1,0,0,0,-0.01,0,-0.04,0,0,0,0.6,0,0,0
6140,2.0984e+07,1,0,0,0,-0.01,0,-0.04,0,0,0,0.6,0,0,0
6182,2.0994e+07,1,0,0,0,-0.01,0,-0.04,0,0,0,0.6,0,0,0
6223,2.1004e+07,1,0,0,0,-0.01,0,-0.04,0,0,0,0.6,0,0,0
