LineNo,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
309,1.9491e+07,1,0,0,0,0.01,0,0.037953,0,0,0,50,65703,0,0
653,1.9556e+07,1,0,0,0,0.01,0,0.038296,0,0,0,50,65703,0,0
880,1.9602e+07,1,0,0,0.01,0,0,0.036485,0,0,0,50,65703,0,0
1222,1.9763e+07,1,0,0,0.01,0,0,0.037034,0,0,0,50,65703,0,0
1498,1.9834e+07,1,0,0,0.01,0,0,0.037366,0,0,0,50,65703,0,0
1593,1.9856e+07,1,0,0,0.02,0.01,0,0.035207,0,0,0,50,65703,0,0
1633,1.9866e+07,1,0,0,0.02,0.01,0,0.03531,0,0,0,50,65703,0,0
1675,1.9876e+07,1,0,0,0.02,0.01,0,0.035418,0,0,0,50,65703,0,0
1716,1.9886e+07,1,0,0,0.02,0.01,0,0.035522,0,0,0,50,65703,0,0
1756,1.9899e+07,1,0,0,0.01,0.01,0,0.035629,0,0,0,50,65703,0,0
1797,1.9909e+07,1,0,0,0.01,0,0,0.033516,0,0,0,50,65703,0,0
1837,1.992e+07,1,0,0,0.01,0,0,0.033516,0,0,0,50,65703,0,0
1879,1.993e+07,1,0,0,0.01,0,0,0.033612,0,0,0,50,65703,0,0
1919,1.994e+07,1,0,0,0.01,0,0,0.03371,0,0,0,50,65703,0,0
1960,1.995e+07,1,0,0,0.01,0,0,0.033808,0,0,0,50,65703,0,0
2005,1.996e+07,1,0,0,0.01,0,0,0.033906,0,0,0,50,65703,0,0
2048,1.9971e+07,1,0,0,0.01,0,0,0.033906,0,0,0,50,65703,0,0
2089,1.9981e+07,1,0,0,0.01,0,0,0.034004,0,0,0,50,65703,0,0
2129,1.9991e+07,1,0,0,0.01,0,0,0.034102,0,0,0,50,65703,0,0
2170,2.0002e+07,1,0,0,0.01,0,0,0.0342,0,0,0,50,65703,0,0
2211,2.0012e+07,1,0,0,0.01,0,0,0.03225,0,0,0,50,65703,0,0
2252,2.0022e+07,1,0,0,0.01,0,0,0.032343,0,0,0,50,65703,0,0
2293,2.0032e+07,1,0,0,0.01,0,0,0.032437,0,0,0,50,65703,0,0
2333,2.0042e+07,1,0,0,0.01,0,0,0.032437,0,0,0,50,65703,0,0
2376,2.0052e+07,1,0,0,0.01,0,0,0.03253,0,0,0,50,65703,0,0
2420,2.0062e+07,1,0,0,0.01,0,0,0.032623,0,0,0,50,65703,0,0
2461,2.0072e+07,1,0,0,0.01,0,0,0.032716,0,0,0,50,65703,0,0
2504,2.0082e+07,1,0,0,0.01,0,0,0.032716,0,0,0,50,65703,0,0
2544,2.0093e+07,1,0,0,0.01,0,0,0.032808,0,0,0,50,65703,0,0
2584,2.0103e+07,1,0,0,0.01,0,0,0.032902,0,0,0,50,65703,0,0
2622,2.0113e+07,1,0,0,0.01,0,0,0.031117,0,0,0,50,65703,0,0
2663,2.0123e+07,1,0,0,0.01,0,0,0.031203,0,0,0,50,65703,0,0
2704,2.0134e+07,1,0,0,0.01,0,0,0.031203,0,0,0,50,65703,0,0
2745,2.0144e+07,1,0,0,0.01,0,0,0.031292,0,0,0,50,65703,0,0
2786,2.0153e+07,1,0,0,0.01,0,0,0.031381,0,0,0,50,65703,0,0
2830,2.0164e+07,1,0,0,0.01,0,0,0.03147,0,0,0,50,65703,0,0
2872,2.0174e+07,1,0,0,0.01,0,0,0.031559,0,0,0,50,65703,0,0
2913,2.0183e+07,1,0,0,0.01,0,0,0.031648,0,0,0,50,65703,0,0
2954,2.0193e+07,1,0,0,0.01,0,0,0.031648,0,0,0,50,65703,0,0
2995,2.0203e+07,1,0,0,0.02,0,0,0.031737,0,0,0,50,65703,0,0
3033,2.0214e+07,1,0,0,0.02,0.01,0,0.030079,0,0,0,50,65703,0,0
3074,2.0224e+07,1,0,0,0.02,0.01,0,0.030079,0,0,0,50,65703,0,0
3114,2.0234e+07,1,0,0,0.02,0.01,0,0.030162,0,0,0,50,65703,0,0
3155,2.0244e+07,1,0,0,0.02,0.01,0,0.030247,0,0,0,50,65703,0,0
3198,2.0254e+07,1,0,0,0.02,0.01,0,0.030331,0,0,0,50,65703,0,0
3243,2.0264e+07,1,0,0,0.02,0.01,0,0.030331,0,0,0,50,65703,0,0
3284,2.0274e+07,1,0,0,0.02,0.01,0,0.030416,0,0,0,50,65703,0,0
3325,2.0284e+07,1,0,0,0.02,0.01,0,0.030501,0,0,0,50,65703,0,0
3366,2.0294e+07,1,0,0,0.02,0.01,0,0.030501,0,0,0,50,65703,0,0
3408,2.0304e+07,1,0,0,0.02,0.01,0,0.030585,0,0,0,50,65703,0,0
3448,2.0314e+07,1,0,0,0,0.01,0,0.03067,0,0,0,50,65703,0,0
3488,2.0324e+07,1,0,0,0,0,0,0.029136,0,0,0,50,65703,0,0
3529,2.0334e+07,1,0,0,0,0,0,0.029216,0,0,0,50,65703,0,0
3569,2.0344e+07,1,0,0,0,0,0,0.029216,0,0,0,50,65703,0,0
3611,2.0355e+07,1,0,0,0,0,0,0.029297,0,0,0,50,65703,0,0
3659,2.0365e+07,1,0,0,0,0,0,0.029379,0,0,0,50,65703,0,0
3699,2.0376e+07,1,0,0,0,0,0,0.02946,0,0,0,50,65703,0,0
3741,2.0386e+07,1,0,0,0,0,0,0.02946,0,0,0,50,65703,0,0
3784,2.0396e+07,1,0,0,0,0,0,0.029542,0,0,0,50,65703,0,0
3821,2.0406e+07,1,0,0,0,0,0,0.029623,0,0,0,50,65703,0,0
3859,2.0417e+07,1,0,0,0.03,0,0,0.029705,0,0,0,50,65703,0,0
3899,2.0427e+07,1,0,0,0.03,0,0,0.029705,0,0,0,50,65703,0,0
3940,2.0437e+07,1,0,0,0.03,0,0,0.028225,0,0,0,50,65703,0,0
3981,2.0447e+07,1,0,0,0.03,0,0,0.028303,0,0,0,50,65703,0,0
4023,2.0458e+07,1,0,0,0.03,0,0,0.028303,0,0,0,50,65703,0,0
4069,2.0468e+07,1,0,0,0.03,0,0,0.028381,0,0,0,50,65703,0,0
4109,2.0478e+07,1,0,0,0.03,0,0,0.028458,0,0,0,50,65703,0,0
4151,2.0488e+07,1,0,0,0.03,0,0,0.028537,0,0,0,50,65703,0,0
4192,2.0499e+07,1,0,0,0.03,0,0,0.028537,0,0,0,50,65703,0,0
