LineNo,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
207,1.5038e+07,0.24,-0.28,12.34,-0.1,43.601,13.482,0.9942,0.0024225,-0.002222,0.10747
310,1.5072e+07,0.25,-0.28,12.35,-0.1,43.601,13.482,0.9942,0.0024427,-0.0022566,0.10754
652,1.5134e+07,0.25,-0.28,12.36,-0.1,43.601,13.482,0.99418,0.0024894,-0.0022378,0.10766
765,1.515e+07,0.25,-0.28,12.36,-0.22,43.601,13.482,0.99418,0.0024805,-0.0022345,0.10766
878,1.5165e+07,0.25,-0.28,12.37,-0.22,43.601,13.482,0.99418,0.0024844,-0.0022336,0.10767
991,1.5183e+07,0.25,-0.28,12.37,-0.22,43.601,13.482,0.99418,0.0024831,-0.0022407,0.10769
1222,1.5261e+07,0.25,-0.29,12.38,-0.22,43.601,13.482,0.99416,0.0025114,-0.0023301,0.10782
1606,1.5416e+07,0.25,-0.3,12.39,-0.13,43.601,13.482,0.99416,0.0025363,-0.0024113,0.1079
1684,1.5427e+07,0.25,-0.3,12.39,-0.13,43.601,13.482,0.99415,0.0025298,-0.0024281,0.10791
1726,1.5437e+07,0.25,-0.3,12.39,-0.13,43.601,13.482,0.99415,0.0025186,-0.0024476,0.10791
1766,1.5447e+07,0.25,-0.31,12.39,-0.13,43.601,13.482,0.99415,0.0025097,-0.0024741,0.10793
1807,1.5461e+07,0.25,-0.31,12.4,-0.13,43.601,13.482,0.99415,0.0025076,-0.002502,0.10794
1850,1.5473e+07,0.25,-0.31,12.4,-0.13,43.601,13.482,0.99415,0.0025281,-0.0025346,0.10795
1892,1.5483e+07,0.25,-0.32,12.4,-0.13,43.601,13.482,0.99415,0.0025304,-0.0025536,0.10797
1937,1.5493e+07,0.25,-0.32,12.4,-0.23,43.601,13.482,0.99415,0.0025369,-0.002577,0.10798
1977,1.5503e+07,0.25,-0.32,12.4,-0.23,43.601,13.482,0.99414,0.0025448,-0.0025891,0.108
2018,1.5513e+07,0.25,-0.32,12.4,-0.23,43.601,13.482,0.99414,0.0025618,-0.0025994,0.10799
2061,1.5524e+07,0.26,-0.32,12.4,-0.23,43.601,13.482,0.99414,0.0025697,-0.0026138,0.108
2105,1.5539e+07,0.26,-0.33,12.4,-0.23,43.601,13.482,0.99414,0.0025726,-0.0026534,0.108
2149,1.5549e+07,0.25,-0.33,12.4,-0.23,43.601,13.482,0.99414,0.0025728,-0.0026697,0.108
2189,1.5559e+07,0.25,-0.33,12.4,-0.23,43.601,13.482,0.99414,0.0025616,-0.0026702,0.108
2230,1.5569e+07,0.25,-0.33,12.4,-0.23,43.601,13.482,0.99414,0.0025511,-0.002678,0.10801
2271,1.5579e+07,0.25,-0.33,12.4,-0.23,43.601,13.482,0.99414,0.0025297,-0.0026832,0.10801
2315,1.5589e+07,0.25,-0.33,12.41,-0.23,43.601,13.482,0.99414,0.0025259,-0.0026731,0.10803
2357,1.5599e+07,0.25,-0.33,12.41,-0.22,43.601,13.482,0.99414,0.002519,-0.0026825,0.10803
2398,1.5609e+07,0.25,-0.33,12.41,-0.22,43.601,13.482,0.99414,0.0025166,-0.0026735,0.10804
