LineNo,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
215,1.5038e+07,0.0057811,0.00067104,0.0057062,0.00045374,0.64158
318,1.5072e+07,0.0057773,0.00064827,0.0057364,0.00044605,0.6438
660,1.5134e+07,0.0057713,0.00062761,0.0057223,0.00042728,0.65242
773,1.515e+07,0.0057792,0.00062678,0.0057163,0.00042015,0.65565
886,1.5166e+07,0.0057786,0.00061585,0.0057105,0.00042301,0.65929
999,1.5183e+07,0.0057801,0.00060456,0.0057091,0.00041614,0.66333
1230,1.5261e+07,0.0057909,0.00058379,0.0057386,0.00043632,0.68004
1614,1.5416e+07,0.0058136,0.0005834,0.005728,0.00045423,0.71814
1692,1.5427e+07,0.0058244,0.00057309,0.0057245,0.00044884,0.72348
1734,1.5437e+07,0.005837,0.0005653,0.005723,0.00044236,0.72873
1774,1.5447e+07,0.0058473,0.00055575,0.0057219,0.00044287,0.73387
1815,1.5461e+07,0.0058588,0.00054637,0.0057256,0.00043775,0.74013
1858,1.5473e+07,0.0058487,0.00056069,0.0057376,0.0004379,0.7462
1900,1.5484e+07,0.0058478,0.00055581,0.0057385,0.00043428,0.7509
1945,1.5494e+07,0.0058415,0.00054809,0.005743,0.0004306,0.75546
1985,1.5503e+07,0.0058358,0.00053967,0.0057412,0.00042831,0.75988
2026,1.5514e+07,0.0058222,0.0005431,0.0057331,0.00042743,0.76416
2069,1.5524e+07,0.0058182,0.00054001,0.0057305,0.00042072,0.76831
2113,1.5539e+07,0.0058158,0.00052949,0.0057387,0.000421,0.77427
2157,1.5549e+07,0.0058202,0.00052376,0.0057465,0.00041449,0.77807
2197,1.5559e+07,0.0058309,0.00052319,0.0057521,0.00040696,0.78174
2238,1.5569e+07,0.0058416,0.00051529,0.0057586,0.00040194,0.78528
2279,1.5579e+07,0.0058589,0.00051766,0.0057645,0.00039482,0.78869
2323,1.5589e+07,0.0058653,0.0005234,0.0057598,0.00040826,0.79197
2365,1.5599e+07,0.005871,0.00051405,0.0057622,0.00041234,0.79513
2406,1.5609e+07,0.0058761,0.00050761,0.0057616,0.00042314,0.79816
2450,1.5619e+07,0.0058798,0.00050069,0.0057656,0.0004246,0.80105
2490,1.5629e+07,0.0058678,0.00051899,0.0057595,0.00042595,0.80376
2528,1.564e+07,0.0058504,0.00052201,0.0057501,0.00042297,0.80626
2571,1.565e+07,0.0058306,0.00052791,0.0057431,0.00042571,0.80854
2611,1.566e+07,0.005809,0.0005297,0.0057349,0.00042263,0.81058
2652,1.567e+07,0.0057874,0.00051949,0.0057256,0.00041595,0.81236
2692,1.568e+07,0.00576,0.0005167,0.0057267,0.00042544,0.81388
2737,1.569e+07,0.0057345,0.00051027,0.0057383,0.00043957,0.81512
2778,1.57e+07,0.0057138,0.00050137,0.0057335,0.00044684,0.81609
2819,1.571e+07,0.005682,0.00051253,0.0057425,0.0004578,0.81678
2860,1.572e+07,0.0056516,0.00050656,0.0057454,0.00044991,0.81719
2900,1.573e+07,0.0056331,0.00051126,0.0057512,0.00044234,0.81732
2942,1.574e+07,0.0056233,0.00052041,0.0057587,0.0004362,0.81718
2984,1.575e+07,0.0056085,0.00051276,0.0057728,0.00043401,0.81676
3023,1.576e+07,0.0055914,0.00050574,0.0057853,0.00042712,0.81609
3065,1.577e+07,0.0055722,0.0004973,0.0057988,0.00041986,0.81515
3105,1.578e+07,0.0055508,0.00049085,0.0058069,0.00041624,0.81396
3151,1.5791e+07,0.0055152,0.00051328,0.0058046,0.00042107,0.81252
3193,1.58e+07,0.0054817,0.00050574,0.0057993,0.00041772,0.81084
3234,1.581e+07,0.0054454,0.00049969,0.0057951,0.0004131,0.80893
3275,1.5821e+07,0.0054055,0.0005021,0.0057909,0.00041048,0.80679
3317,1.5834e+07,0.0053552,0.00049522,0.0057934,0.00040578,0.80381
3354,1.5844e+07,0.0053035,0.00052789,0.0057975,0.00040023,0.80119
3396,1.5854e+07,0.0052565,0.0005227,0.0058015,0.00039369,0.79837
3437,1.5864e+07,0.0052205,0.00053695,0.0058155,0.00039896,0.79536
3477,1.5874e+07,0.0051838,0.00053314,0.0058367,0.00040334,0.79217
3518,1.5884e+07,0.0051383,0.00053527,0.0058468,0.00040672,0.7888
3562,1.5894e+07,0.0050961,0.00052515,0.0058567,0.00040481,0.78526
3603,1.5904e+07,0.0050645,0.00053337,0.0058627,0.0003979,0.78155
3645,1.5914e+07,0.0050262,0.00052798,0.0058619,0.00040619,0.77769
3687,1.5924e+07,0.004988,0.00052129,0.0058551,0.00041606,0.77367
3725,1.5934e+07,0.0049556,0.00051372,0.0058566,0.00041515,0.7695
3762,1.5945e+07,0.00492,0.00050712,0.0058554,0.00040768,0.76519
3804,1.5955e+07,0.0048725,0.00052957,0.0058583,0.00040546,0.76075
3845,1.5965e+07,0.0048248,0.00052477,0.0058614,0.00040164,0.75618
3885,1.5975e+07,0.0047708,0.00053746,0.0058687,0.00040136,0.75149
3926,1.5985e+07,0.004717,0.00053165,0.005889,0.00042085,0.74667
3970,1.5995e+07,0.0046601,0.00052887,0.0058974,0.00041869,0.74174
4011,1.6005e+07,0.0045957,0.00055458,0.005909,0.00041268,0.7367
4054,1.6015e+07,0.0045373,0.00055175,0.005917,0.0004071,0.73154
4095,1.6025e+07,0.0044795,0.0005459,0.0059204,0.00040322,0.72628
4136,1.6035e+07,0.0044231,0.00053695,0.0059143,0.00041603,0.72092
4173,1.6045e+07,0.0043597,0.00055202,0.0059178,0.00041522,0.71547
4215,1.6055e+07,0.0043043,0.00054801,0.0059203,0.00041952,0.70992
4259,1.6068e+07,0.0042461,0.00054974,0.0059158,0.00041372,0.70286
4301,1.6078e+07,0.0042061,0.00055758,0.0059135,0.00041133,0.69713
4341,1.6088e+07,0.0041617,0.00054825,0.0059261,0.00043828,0.69132
4386,1.6098e+07,0.0041211,0.00053845,0.0059344,0.00043233,0.68544
4427,1.6108e+07,0.0040824,0.00052966,0.005946,0.0004261,0.67949
4467,1.6118e+07,0.0040351,0.00054025,0.0059614,0.00042692,0.67347
4513,1.6133e+07,0.0039582,0.000546,0.0059773,0.00041791,0.66431
4556,1.6146e+07,0.0038975,0.00053414,0.0059821,0.00041224,0.65656
4596,1.6156e+07,0.0038489,0.00052715,0.0059853,0.00040857,0.6503
4637,1.6166e+07,0.003794,0.00054797,0.0059839,0.00040517,0.64398
4679,1.6176e+07,0.0037359,0.00055159,0.0059817,0.00040595,0.63759
4719,1.6186e+07,0.003678,0.00054282,0.0059904,0.00040858,0.63116
4764,1.6196e+07,0.0036234,0.0005352,0.005989,0.00041099,0.62467
4804,1.6206e+07,0.0035616,0.00056175,0.0059952,0.00041273,0.61813
4846,1.6216e+07,0.0035013,0.00056348,0.0060037,0.00041161,0.61155
4886,1.6226e+07,0.0034486,0.00056731,0.0059999,0.0004176,0.60492
4927,1.6236e+07,0.0033911,0.00056415,0.0060026,0.000411,0.59826
4965,1.6246e+07,0.0033376,0.00056157,0.0060035,0.00040499,0.59155
5002,1.6256e+07,0.0032929,0.00056942,0.0060034,0.00039827,0.58481
5044,1.6266e+07,0.0032455,0.00056123,0.0059999,0.00039489,0.57804
5086,1.6276e+07,0.0031926,0.0005706,0.0060048,0.00039686,0.57123
5126,1.6286e+07,0.0031472,0.00056594,0.0060108,0.00039339,0.56439
5171,1.6296e+07,0.0031028,0.00056374,0.00601,0.00039279,0.55752
5212,1.6306e+07,0.0030564,0.000561,0.0060219,0.00039898,0.55062
5253,1.6316e+07,0.0030054,0.00056605,0.0060392,0.00040193,0.54369
5293,1.6326e+07,0.0029537,0.00056389,0.0060557,0.00039472,0.53675
5336,1.6338e+07,0.0028859,0.00056811,0.0060765,0.00038531,0.52803
5373,1.6348e+07,0.0028332,0.00056914,0.0060834,0.00039576,0.52105
5418,1.6361e+07,0.0027672,0.00057964,0.0060881,0.00038988,0.51232
5459,1.6371e+07,0.0027171,0.00057475,0.0060883,0.00038536,0.50537
5499,1.6381e+07,0.0026643,0.0005817,0.0060921,0.00038446,0.49847
5541,1.6391e+07,0.0026138,0.0005755,0.0060851,0.00039321,0.49163
5585,1.6401e+07,0.0025677,0.00057628,0.0060918,0.00039814,0.48486
5627,1.6411e+07,0.0025193,0.00057322,0.0060942,0.00039066,0.47818
5668,1.6421e+07,0.0024753,0.00057462,0.0060941,0.00039698,0.47159
5708,1.6431e+07,0.0024349,0.00057276,0.0061031,0.00040042,0.46509
5743,1.6441e+07,0.0023955,0.00056388,0.0061129,0.00039591,0.45871
5784,1.6452e+07,0.0023565,0.00055294,0.0061242,0.00038889,0.45243
5825,1.6462e+07,0.0023246,0.00056119,0.0061348,0.00038276,0.44626
5865,1.6472e+07,0.0022939,0.00055298,0.0061375,0.00039263,0.44021
5907,1.6482e+07,0.0022654,0.00054508,0.006139,0.000395,0.43428
5949,1.6492e+07,0.002233,0.00054483,0.0061434,0.00039222,0.42846
5993,1.6502e+07,0.0021967,0.00054826,0.0061397,0.00039035,0.42277
6036,1.6512e+07,0.0021582,0.00054733,0.0061315,0.00039131,0.4172
6076,1.6522e+07,0.0021196,0.00053989,0.0061163,0.00039421,0.41175
6120,1.6533e+07,0.002078,0.00056486,0.0061046,0.00039016,0.40642
6157,1.6543e+07,0.0020373,0.0005556,0.0061021,0.00039222,0.40122
6197,1.6553e+07,0.0019971,0.00054824,0.0061046,0.00040782,0.39614
6237,1.6563e+07,0.0019575,0.00054561,0.0061261,0.00044144,0.39119
6278,1.6573e+07,0.0019201,0.00054991,0.0061509,0.00044781,0.38635
6319,1.6583e+07,0.0018886,0.00057821,0.0061639,0.00044579,0.38163
6360,1.6594e+07,0.0018645,0.00060549,0.0061725,0.00044187,0.37703
6408,1.6603e+07,0.0018446,0.00060893,0.0061699,0.00045219,0.37255
6450,1.6614e+07,0.0018406,0.00065109,0.0061661,0.00044833,0.36818
6491,1.6624e+07,0.0018611,0.00069863,0.006156,0.0004473,0.36393
6532,1.6634e+07,0.001868,0.00069963,0.0061386,0.00044983,0.35979
6570,1.6646e+07,0.0018555,0.00070224,0.0061266,0.00044672,0.35476
6611,1.6656e+07,0.0018402,0.00069779,0.0061299,0.00046892,0.35087
6651,1.6666e+07,0.0018183,0.00069664,0.0061421,0.00047569,0.34708
6693,1.6676e+07,0.0017868,0.00072294,0.0061561,0.00047249,0.3434
6733,1.6686e+07,0.0017516,0.00074705,0.0061785,0.00047322,0.33982
6778,1.6696e+07,0.0017168,0.00074135,0.0062053,0.00047194,0.33635
6820,1.6706e+07,0.0016836,0.00074681,0.0062189,0.00047434,0.33297
6861,1.6716e+07,0.0016502,0.00073366,0.0062311,0.00046567,0.32969
6902,1.6726e+07,0.0016178,0.00072912,0.0062384,0.00046011,0.32651
6944,1.6736e+07,0.0015862,0.00071938,0.006229,0.00048651,0.32342
6979,1.6746e+07,0.0015637,0.00075348,0.0062171,0.00048934,0.32042
7019,1.6756e+07,0.0015533,0.00077796,0.0061971,0.00049116,0.31751
7060,1.6766e+07,0.0015497,0.00077673,0.0061773,0.0004921,0.31468
7101,1.6776e+07,0.0015401,0.0007655,0.0061539,0.00048598,0.31194
7142,1.6786e+07,0.0015451,0.00076387,0.0061424,0.00048828,0.30929
7189,1.6797e+07,0.0015536,0.00075298,0.0061387,0.00049017,0.30671
7230,1.6806e+07,0.0015547,0.00073937,0.0061443,0.00049559,0.30422
7272,1.6816e+07,0.001549,0.0007296,0.006159,0.00050761,0.3018
7313,1.6826e+07,0.0015359,0.0007257,0.0061801,0.0005065,0.29946
7353,1.6837e+07,0.0015183,0.0007267,0.0061876,0.00051995,0.2972
7394,1.6846e+07,0.0014901,0.00075739,0.0061791,0.00054313,0.29501
7431,1.6857e+07,0.0014612,0.00075181,0.0061711,0.00054622,0.29288
7472,1.6867e+07,0.0014334,0.0007392,0.0061565,0.00054085,0.29083
7514,1.6877e+07,0.0014051,0.00073895,0.0061447,0.00053019,0.28884
7554,1.6887e+07,0.0013782,0.00073162,0.0061323,0.00052202,0.28692
7598,1.6897e+07,0.0013571,0.00075395,0.0061307,0.00052799,0.28506
7640,1.6907e+07,0.0013373,0.00074477,0.0061283,0.0005203,0.28327
7682,1.6917e+07,0.0013249,0.00074186,0.0061338,0.00052164,0.28153
7723,1.6927e+07,0.0013253,0.00074676,0.0061429,0.00051843,0.27985
7765,1.694e+07,0.0013556,0.0007713,0.0061733,0.00054084,0.27783
7806,1.695e+07,0.0013692,0.00076307,0.0061828,0.00053684,0.27628
7843,1.696e+07,0.0013763,0.00075078,0.006191,0.00052926,0.27478
7885,1.697e+07,0.0013773,0.00073815,0.006189,0.00053043,0.27333
7925,1.698e+07,0.0013822,0.00072401,0.0061873,0.00052347,0.27193
7966,1.699e+07,0.0013722,0.00073125,0.0061837,0.00051478,0.27057
8012,1.7e+07,0.0013514,0.00074771,0.0061804,0.00051385,0.26926
8056,1.7011e+07,0.0013332,0.00073298,0.0061719,0.00051372,0.268
8097,1.702e+07,0.0013134,0.00072098,0.0061654,0.00050373,0.26652
8137,1.7031e+07,0.0012884,0.00076483,0.0061585,0.00049535,0.26445
8175,1.704e+07,0.0012647,0.00077878,0.0061583,0.00057491,0.26178
8212,1.7051e+07,0.0012452,0.0008386,0.0061689,0.00089229,0.25862
8253,1.7061e+07,0.0012354,0.0010397,0.0061479,0.0010927,0.25511
8293,1.7071e+07,0.001221,0.0010923,0.0061547,0.0012055,0.25132
8335,1.7081e+07,0.0012098,0.0011309,0.0061584,0.0016105,0.24734
8377,1.7091e+07,0.0013107,0.0018807,0.0061452,0.001844,0.24322
8421,1.7101e+07,0.0014641,0.002685,0.0061626,0.002018,0.23902
8462,1.7111e+07,0.0015175,0.0031269,0.0061461,0.0025934,0.23476
8504,1.7121e+07,0.0015574,0.003417,0.0061769,0.0032081,0.23048
8545,1.7131e+07,0.0016906,0.0040498,0.0062285,0.0039165,0.22621
8585,1.7141e+07,0.0019232,0.0051072,0.0062865,0.0043512,0.22196
8625,1.7154e+07,0.00224,0.0063109,0.0062613,0.0044099,0.21669
8666,1.7164e+07,0.0023244,0.0066529,0.006266,0.0047538,0.21253
8706,1.7174e+07,0.0023647,0.0067092,0.0062715,0.0049369,0.20842
8747,1.7183e+07,0.0023546,0.0066832,0.0062507,0.0050265,0.20437
8788,1.7194e+07,0.002332,0.006557,0.0062671,0.0050785,0.20037
8832,1.7204e+07,0.0022953,0.0064381,0.0063083,0.0050685,0.19645
8873,1.7214e+07,0.0022511,0.0063304,0.0063419,0.0050758,0.19258
8913,1.7224e+07,0.0022087,0.0062121,0.0063646,0.0050002,0.18879
8955,1.7234e+07,0.002218,0.0061713,0.0063599,0.004924,0.18506
8992,1.7244e+07,0.0022269,0.0061081,0.0063741,0.0050028,0.1814
9030,1.7254e+07,0.0022347,0.0062063,0.0063757,0.0051251,0.1778
9071,1.7264e+07,0.002258,0.0063131,0.0063788,0.0051433,0.17428
9111,1.7274e+07,0.0023097,0.0065129,0.0063388,0.0051396,0.17082
9152,1.7284e+07,0.0023804,0.0065027,0.0062993,0.0050796,0.16743
9192,1.7294e+07,0.0023424,0.0064146,0.0062949,0.0050559,0.1641
9272,1.7334e+07,0.0023052,0.0063122,0.0062904,0.0048881,0.15143
9315,1.7344e+07,0.0022661,0.0062015,0.0062803,0.0048171,0.14842
9352,1.7354e+07,0.0022325,0.006127,0.0063748,0.0048364,0.14547
9390,1.7364e+07,0.0023185,0.0064452,0.0063273,0.0051776,0.14258
9431,1.7374e+07,0.0026181,0.0074927,0.0064223,0.0052274,0.13974
9471,1.7384e+07,0.0028134,0.0081689,0.0064351,0.0051408,0.13696
9513,1.7394e+07,0.0028153,0.0081949,0.0064587,0.0056533,0.13423
9557,1.7404e+07,0.0028688,0.0083665,0.0065427,0.005769,0.13156
9598,1.7414e+07,0.0031114,0.0091076,0.0064786,0.0064755,0.12895
9638,1.7424e+07,0.0032777,0.0094516,0.0066026,0.0066577,0.12638
9681,1.7434e+07,0.0034425,0.010323,0.0065572,0.0071344,0.12386
9722,1.7444e+07,0.0035831,0.010821,0.0066101,0.007188,0.1214
9759,1.7454e+07,0.0037176,0.011319,0.0066328,0.0076538,0.11898
9801,1.7466e+07,0.0038719,0.011816,0.0067396,0.0080905,0.11603
9842,1.7477e+07,0.0040501,0.012486,0.0068263,0.0093216,0.11372
9882,1.7487e+07,0.0043162,0.013347,0.0068753,0.0097324,0.11146
9923,1.7497e+07,0.0046608,0.014461,0.0070494,0.010828,0.10924
9969,1.7507e+07,0.0049124,0.015337,0.0070008,0.010894,0.10707
10011,1.7517e+07,0.0051619,0.016159,0.0072514,0.012059,0.10494
10051,1.7527e+07,0.0053801,0.0168,0.0071571,0.011921,0.10285
10092,1.7537e+07,0.0055032,0.017222,0.0076022,0.013739,0.1008
10131,1.7547e+07,0.0056527,0.017774,0.0074896,0.013728,0.098796
10170,1.7557e+07,0.0057725,0.018197,0.00791,0.015589,0.09683
10211,1.7567e+07,0.005883,0.018527,0.0078045,0.015434,0.094903
10251,1.7577e+07,0.0058901,0.018609,0.0082074,0.01735,0.093015
10293,1.7587e+07,0.0060966,0.019271,0.0080783,0.017115,0.091164
10333,1.7597e+07,0.0060795,0.019224,0.0084058,0.018508,0.08935
10379,1.7607e+07,0.006199,0.019546,0.0082908,0.018282,0.087572
10420,1.7617e+07,0.006149,0.019389,0.0085015,0.019034,0.08583
10460,1.7627e+07,0.0062928,0.019906,0.0084171,0.018934,0.084122
10502,1.7637e+07,0.0062457,0.019719,0.0085799,0.019263,0.082449
10539,1.765e+07,0.0062963,0.019891,0.0084885,0.019057,0.080403
10581,1.766e+07,0.0064308,0.020296,0.0087385,0.019948,0.078803
10623,1.767e+07,0.0064295,0.020312,0.0086324,0.019653,0.077235
10664,1.768e+07,0.0064887,0.020505,0.0088452,0.020464,0.075698
10705,1.769e+07,0.0065889,0.020847,0.0087339,0.020251,0.074192
10748,1.7701e+07,0.0069371,0.021932,0.0089928,0.021203,0.072716
10791,1.7711e+07,0.0070341,0.022228,0.0090287,0.021524,0.071269
10831,1.7721e+07,0.0072458,0.022898,0.0092062,0.022221,0.069851
10872,1.7731e+07,0.0074129,0.023547,0.0093116,0.02266,0.068461
10915,1.7741e+07,0.0077534,0.024572,0.0094922,0.023262,0.067099
10955,1.7754e+07,0.0079085,0.025184,0.0097868,0.023896,0.065435
10998,1.7764e+07,0.0081523,0.02594,0.0096168,0.023802,0.064133
11038,1.7774e+07,0.0084928,0.027096,0.010029,0.024425,0.062858
11079,1.7784e+07,0.0089587,0.028575,0.0098401,0.024503,0.061608
11119,1.7794e+07,0.0090671,0.028951,0.010136,0.02492,0.060382
11167,1.7804e+07,0.0093824,0.029993,0.0099474,0.024945,0.059181
11208,1.7814e+07,0.0096206,0.030691,0.010243,0.025577,0.058004
11248,1.7824e+07,0.009941,0.031786,0.010057,0.025571,0.05685
