LineNo,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
2369,1.5601e+07,667,2368,1.0265e+05,859,16294,5984
6409,1.6603e+07,667,4039,1.7298e+05,9360,16328,13066
10348,1.7604e+07,752,3938,1.6842e+05,1019,16248,12433
14389,1.8607e+07,752,4040,1.7312e+05,9406,16267,13301
18390,1.9611e+07,752,4000,1.7147e+05,9326,16150,13183
22427,2.0613e+07,752,4036,1.7285e+05,9641,16237,13134
26476,2.1614e+07,752,4048,1.7343e+05,9321,16180,13015
30657,2.2615e+07,752,4180,1.813e+05,7741,16325,12914
34964,2.3621e+07,752,4306,1.8943e+05,8987,16131,12694
39337,2.4624e+07,752,4372,1.9214e+05,7220,16086,12650
43581,2.5625e+07,752,4243,1.8636e+05,7056,16274,12603
47738,2.6627e+07,752,4156,1.8264e+05,7197,16285,12740
51936,2.7628e+07,752,4197,1.8435e+05,8103,16245,12388
56157,2.8631e+07,752,4220,1.8528e+05,7239,16310,12597
60343,2.9633e+07,752,4185,1.8378e+05,8698,16186,12640
64545,3.0639e+07,752,4201,1.845e+05,8814,16279,12764
68751,3.1642e+07,752,4205,1.8482e+05,7517,16132,12734
72978,3.2646e+07,752,4226,1.856e+05,8439,16220,12559
77106,3.3646e+07,752,4127,1.8149e+05,6838,16209,12607
81291,3.4647e+07,752,4184,1.8374e+05,3022,16271,12102
85451,3.5649e+07,752,4159,1.8277e+05,8817,16140,12823
89607,3.6652e+07,752,4155,1.8263e+05,7012,16224,12833
93837,3.7653e+07,752,4229,1.8573e+05,8596,16322,12792
98024,3.8659e+07,752,4186,1.8383e+05,8504,16265,12775
1.0222e+05,3.966e+07,752,4200,1.8455e+05,8634,16166,12637
1.0637e+05,4.0662e+07,752,4143,1.8145e+05,6595,16256,12794
1.1058e+05,4.1663e+07,752,4212,1.843e+05,8835,16321,12866
1.1473e+05,4.2666e+07,752,4148,1.8171e+05,7050,16058,12578
1.1892e+05,4.3669e+07,752,4188,1.834e+05,7365,16191,12529
1.2313e+05,4.4671e+07,752,4206,1.84e+05,8506,16222,12530
1.2732e+05,4.5673e+07,752,4194,1.8368e+05,7452,16278,12511
1.3146e+05,4.6675e+07,752,4140,1.8132e+05,8753,16280,12717
1.3557e+05,4.7676e+07,851,4109,1.7994e+05,986,16214,11961
1.3974e+05,4.8682e+07,851,4170,1.8251e+05,7436,16245,12445
1.4389e+05,4.9683e+07,851,4145,1.8155e+05,7064,16298,12749
1.4807e+05,5.0689e+07,851,4179,1.8292e+05,8100,16161,12683
1.5226e+05,5.1691e+07,851,4184,1.8317e+05,7423,15925,12733
1.5643e+05,5.2692e+07,851,4171,1.8255e+05,8956,16142,12868
1.6064e+05,5.3695e+07,851,4217,1.8453e+05,8443,16157,12592
1.6479e+05,5.4697e+07,851,4144,1.8154e+05,8581,16229,12821
1.6898e+05,5.57e+07,851,4184,1.8312e+05,7458,16284,12453
1.7322e+05,5.67e+07,851,4241,1.8542e+05,7908,16276,12547
1.7744e+05,5.7701e+07,851,4227,1.8506e+05,8624,16118,12797
1.8161e+05,5.8703e+07,851,4167,1.8235e+05,6711,16121,12424
1.8576e+05,5.9705e+07,851,4151,1.8182e+05,8651,16320,12744
1.8994e+05,6.0711e+07,851,4175,1.8278e+05,8625,16265,12942
1.9412e+05,6.1717e+07,851,4182,1.8303e+05,8927,16291,12800
1.9824e+05,6.2719e+07,851,4113,1.803e+05,8240,16274,12922
2.0238e+05,6.3721e+07,851,4144,1.8147e+05,8559,16054,12565
2.0658e+05,6.4724e+07,851,4196,1.8385e+05,8629,16292,12457
2.1082e+05,6.5728e+07,851,4237,1.8516e+05,8470,16042,12856
2.1502e+05,6.6731e+07,851,4204,1.8383e+05,7604,16184,12590
2.1921e+05,6.7732e+07,851,4183,1.8275e+05,7316,16317,12677
2.2344e+05,6.8741e+07,851,4232,1.8494e+05,9132,15934,12793
2.2763e+05,6.9741e+07,851,4186,1.8283e+05,8027,16106,12680
2.3179e+05,7.0743e+07,851,4161,1.8187e+05,8783,16132,12763
2.3599e+05,7.1743e+07,851,4199,1.8358e+05,7471,16064,12455
2.4025e+05,7.2747e+07,851,4264,1.8662e+05,8366,16215,12669
2.4454e+05,7.3749e+07,851,4281,1.8755e+05,8651,16294,12905
2.4882e+05,7.4751e+07,851,4286,1.8782e+05,8389,16177,12888
2.5307e+05,7.5753e+07,851,4249,1.8624e+05,3111,16122,12293
2.5739e+05,7.6754e+07,851,4319,1.8918e+05,8584,16097,12722
2.6168e+05,7.7755e+07,851,4286,1.8788e+05,8755,16225,12904
2.6601e+05,7.8761e+07,851,4328,1.8966e+05,8888,16107,12845
2.703e+05,7.9762e+07,851,4287,1.8787e+05,8799,16225,12700
2.7458e+05,8.0764e+07,851,4279,1.8743e+05,8945,16246,12883
2.7887e+05,8.1765e+07,851,4290,1.8802e+05,9218,16041,12955
2.8315e+05,8.2769e+07,851,4277,1.8738e+05,8949,16142,12936
2.8743e+05,8.3771e+07,851,4281,1.876e+05,5344,16267,12330
2.9172e+05,8.4774e+07,851,4286,1.878e+05,8482,16084,12635
2.9596e+05,8.5777e+07,851,4244,1.8605e+05,7398,16040,12677
3.0025e+05,8.6779e+07,851,4286,1.8786e+05,8790,16113,12731
