LineNo,TimeUS,Id,Value
3122,1.579e+07,7,6.3503e+06
7160,1.6796e+07,7,6.3503e+06
11134,1.7801e+07,7,4.2531e+06
15179,1.8808e+07,7,4.2531e+06
19217,1.9815e+07,7,4.2531e+06
23250,2.0817e+07,7,4.2531e+06
27308,2.1821e+07,7,4.2204e+06
31608,2.2834e+07,7,4.2204e+06
36008,2.386e+07,7,4.2039e+06
40463,2.4885e+07,7,4.2039e+06
44883,2.5939e+07,7,4.2039e+06
49278,2.6995e+07,7,4.2039e+06
53692,2.8047e+07,7,4.2039e+06
58140,2.9109e+07,7,4.2039e+06
62563,3.0165e+07,7,4.2039e+06
66950,3.1215e+07,7,4.2039e+06
71401,3.227e+07,7,4.2039e+06
75819,3.3325e+07,7,4.2039e+06
80169,3.438e+07,7,4.2039e+06
84587,3.5438e+07,7,4.2039e+06
88932,3.649e+07,7,4.2039e+06
93384,3.7543e+07,7,4.2039e+06
97758,3.8594e+07,7,4.2039e+06
1.0217e+05,3.9648e+07,7,4.2039e+06
1.0652e+05,4.0701e+07,7,4.2039e+06
1.1095e+05,4.1756e+07,7,4.2039e+06
1.1532e+05,4.2808e+07,7,4.2039e+06
1.1972e+05,4.3859e+07,7,4.2039e+06
1.2412e+05,4.4904e+07,7,4.2039e+06
1.285e+05,4.5957e+07,7,4.2039e+06
1.3279e+05,4.7009e+07,7,4.2039e+06
1.3719e+05,4.8063e+07,7,4.2039e+06
1.4159e+05,4.9123e+07,7,4.2039e+06
1.4596e+05,5.0182e+07,7,4.2039e+06
1.5033e+05,5.1236e+07,7,4.2039e+06
1.5476e+05,5.229e+07,7,4.2039e+06
1.5917e+05,5.3348e+07,7,4.2039e+06
1.6357e+05,5.44e+07,7,4.2039e+06
1.6794e+05,5.5456e+07,7,4.2039e+06
1.7238e+05,5.6506e+07,7,4.2039e+06
1.7682e+05,5.7555e+07,7,4.2039e+06
1.8121e+05,5.8605e+07,7,4.2039e+06
1.8558e+05,5.966e+07,7,4.2039e+06
1.8996e+05,6.0719e+07,7,4.2039e+06
1.9432e+05,6.1775e+07,7,4.2039e+06
1.9869e+05,6.2827e+07,7,4.2039e+06
2.0303e+05,6.3879e+07,7,4.2039e+06
2.0743e+05,6.4924e+07,7,4.2039e+06
2.1184e+05,6.5971e+07,7,4.2039e+06
2.1622e+05,6.7013e+07,7,4.2039e+06
2.2055e+05,6.806e+07,7,4.2039e+06
2.2496e+05,6.9105e+07,7,4.2039e+06
2.2933e+05,7.015e+07,7,4.2532e+06
2.3368e+05,7.1194e+07,7,4.2532e+06
2.3809e+05,7.2239e+07,7,4.2531e+06
2.4252e+05,7.3275e+07,7,4.2531e+06
2.4698e+05,7.4321e+07,7,4.2531e+06
2.5144e+05,7.5367e+07,7,4.2531e+06
2.559e+05,7.6405e+07,7,4.2531e+06
2.6037e+05,7.7446e+07,7,4.2531e+06
2.648e+05,7.8485e+07,7,4.2531e+06
2.6926e+05,7.9521e+07,7,4.2531e+06
2.7372e+05,8.0566e+07,7,4.2531e+06
2.7819e+05,8.1606e+07,7,4.2531e+06
2.8265e+05,8.2654e+07,7,4.2531e+06
2.8711e+05,8.3693e+07,7,4.2531e+06
2.9154e+05,8.4739e+07,7,4.2531e+06
2.9601e+05,8.579e+07,7,4.2531e+06
3.0047e+05,8.6829e+07,7,4.2531e+06
