LineNo,TimeUS,I,VDop,HAcc,VAcc,SAcc,YAcc,VV,SMS,Delta,Und
2116,1.554e+07,0,1.12,1.49,2.09,0.18,0,1,15510,200,-43.043
2944,1.5741e+07,0,1.12,1.47,2.07,0.2,0,1,15710,200,-43.044
3656,1.5923e+07,0,1.12,1.46,2.05,0.12,0,1,15910,200,-43.043
4479,1.613e+07,0,1.12,1.44,2.04,0.2,0,1,16110,200,-43.044
5298,1.633e+07,0,1.12,1.43,2.02,0.14,0,1,16310,200,-43.043
6089,1.6532e+07,0,1.12,1.42,2.01,0.19,0,1,16510,200,-43.044
6910,1.6733e+07,0,1.12,1.41,1.99,0.18,0,1,16710,200,-43.043
7731,1.6934e+07,0,1.12,1.39,1.97,0.15,0,1,16910,200,-43.044
8550,1.7135e+07,0,1.12,1.38,1.96,0.18,0,1,17110,200,-43.043
9278,1.7339e+07,0,1.12,1.37,1.95,0.19,0,1,17310,200,-43.043
10094,1.7539e+07,0,1.12,1.36,1.93,0.16,0,1,17510,200,-43.043
10884,1.774e+07,0,1.12,1.35,1.92,0.15,0,1,17710,200,-43.043
11708,1.7941e+07,0,1.12,1.34,1.9,0.2,0,1,17910,200,-43.043
12424,1.8123e+07,0,1.12,1.33,1.89,0.13,0,1,18110,200,-43.043
13241,1.8324e+07,0,1.12,1.32,1.88,0.19,0,1,18310,200,-43.043
14061,1.8528e+07,0,1.12,1.31,1.87,0.19,0,1,18510,200,-43.043
14884,1.873e+07,0,1.12,1.3,1.85,0.18,0,1,18710,200,-43.043
15707,1.8937e+07,0,1.12,1.29,1.84,0.14,0,1,18910,200,-43.043
16526,1.9138e+07,0,1.12,1.28,1.83,0.2,0,1,19110,200,-43.043
17239,1.9325e+07,0,1.12,1.27,1.82,0.14,0,1,19310,200,-43.043
18031,1.9526e+07,0,1.12,1.27,1.81,0.16,0,1,19510,200,-43.043
18848,1.9727e+07,0,1.12,1.26,1.8,0.19,0,1,19710,200,-43.043
19675,1.993e+07,0,1.12,1.25,1.79,0.19,0,1,19910,200,-43.043
20580,2.0152e+07,0,1.12,1.24,1.78,0.15,0,1,20110,200,-43.043
21313,2.0333e+07,0,1.12,1.23,1.77,0.17,0,1,20310,200,-43.043
22101,2.0533e+07,0,1.12,1.23,1.76,0.15,0,1,20510,200,-43.044
22919,2.0734e+07,0,1.12,1.22,1.75,0.18,0,1,20710,200,-43.043
23741,2.0934e+07,0,1.12,1.21,1.74,0.2,0,1,20910,200,-43.043
24542,2.114e+07,0,1.12,1.21,1.73,0.19,0,1,21110,200,-43.043
25363,2.1341e+07,0,1.12,1.2,1.72,0.15,0,1,21310,200,-43.043
26104,2.1522e+07,0,1.12,1.19,1.71,0.2,0,1,21510,200,-43.043
26895,2.1723e+07,0,1.12,1.19,1.7,0.14,0,1,21710,200,-43.044
27720,2.1923e+07,0,1.12,1.18,1.69,0.18,0,1,21910,200,-43.043
28546,2.213e+07,0,1.12,1.17,1.69,0.19,0,1,22108,198,-43.043
29447,2.2339e+07,0,1.12,1.17,1.68,0.18,0,1,22308,200,-43.043
30252,2.2524e+07,0,1.12,1.16,1.67,0.14,0,1,22508,200,-43.043
