LineNo,TimeUS,Temp,Targ,P,I,Out
184,1.5036e+07,44.831,45,33.719,0.1183,33.837
4267,1.6073e+07,44.819,45,36.229,0.17188,36.401
8304,1.7078e+07,44.822,45,35.634,0.2244,35.858
12286,1.8083e+07,44.816,45,36.784,0.27865,37.063
16321,1.9091e+07,44.903,45,19.35,0.32078,19.67
20361,2.0096e+07,44.883,45,23.412,0.35324,23.766
24371,2.1097e+07,44.915,45,16.969,0.38317,17.352
28451,2.2103e+07,44.947,45,10.517,0.40356,10.921
32817,2.3113e+07,44.981,45,3.8879,0.41326,4.3012
37137,2.4121e+07,44.996,45,0.73776,0.41682,1.1546
41513,2.513e+07,44.984,45,3.1395,0.42131,3.5608
45705,2.6138e+07,44.983,45,3.3829,0.42742,3.8103
49913,2.7149e+07,44.968,45,6.3667,0.43599,6.8027
54177,2.8157e+07,44.937,45,12.566,0.44947,13.016
58362,2.9164e+07,44.78,45,43.97,0.48887,44.459
62607,3.0174e+07,44.747,45,50.552,0.5659,51.117
66806,3.1181e+07,44.752,45,49.573,0.64589,50.219
71086,3.2194e+07,44.833,45,33.409,0.70687,34.116
75275,3.3198e+07,44.833,45,33.321,0.75417,34.076
79451,3.4207e+07,44.888,45,22.327,0.79624,23.123
83637,3.5214e+07,44.911,45,17.82,0.82371,18.644
87842,3.6226e+07,44.901,45,19.847,0.85069,20.698
92081,3.7235e+07,44.91,45,17.931,0.88279,18.813
96269,3.8241e+07,44.921,45,15.801,0.90872,16.71
1.0051e+05,3.9252e+07,44.926,45,14.842,0.93254,15.775
1.047e+05,4.0259e+07,44.928,45,14.443,0.95464,15.398
1.0889e+05,4.1267e+07,44.929,45,14.139,0.97707,15.116
1.1314e+05,4.2278e+07,44.93,45,13.921,1.0002,14.922
1.173e+05,4.3287e+07,44.916,45,16.766,1.0236,17.789
1.2156e+05,4.4295e+07,44.904,45,19.124,1.0486,20.172
1.2579e+05,4.5305e+07,44.897,45,20.642,1.0789,21.721
1.2998e+05,4.6316e+07,44.903,45,19.375,1.1088,20.484
1.3409e+05,4.7324e+07,44.889,45,22.238,1.1427,23.381
1.383e+05,4.8331e+07,44.875,45,24.934,1.1785,26.113
1.4249e+05,4.9342e+07,44.817,45,36.505,1.226,37.731
1.4664e+05,5.035e+07,44.804,45,39.17,1.2861,40.456
1.5087e+05,5.1362e+07,44.812,45,37.591,1.3446,38.935
1.5508e+05,5.2371e+07,44.805,45,38.988,1.4024,40.39
1.5931e+05,5.3379e+07,44.782,45,43.679,1.4658,45.145
1.6352e+05,5.4385e+07,44.691,45,61.887,1.5404,63.427
1.6771e+05,5.5395e+07,44.636,45,72.833,1.6478,74.481
1.7196e+05,5.64e+07,44.632,45,73.601,1.7599,75.361
1.7622e+05,5.7404e+07,44.549,45,90.164,1.8795,92.044
1.804e+05,5.8412e+07,44.503,45,99.361,2.0361,100
1.8459e+05,5.9423e+07,44.717,45,56.57,2.1488,58.719
1.8882e+05,6.0433e+07,44.842,45,31.583,2.2117,33.795
1.9295e+05,6.144e+07,44.919,45,16.277,2.2434,18.521
1.9712e+05,6.2447e+07,44.941,45,11.839,2.2645,14.104
2.013e+05,6.3458e+07,44.941,45,11.8,2.2836,14.083
2.0549e+05,6.4461e+07,44.871,45,25.745,2.3103,28.056
2.097e+05,6.5467e+07,44.858,45,28.384,2.3517,30.735
2.1394e+05,6.6478e+07,44.864,45,27.116,2.393,29.509
2.1821e+05,6.7487e+07,44.874,45,25.224,2.4309,27.655
2.2241e+05,6.8491e+07,44.835,45,32.918,2.4744,35.392
2.2664e+05,6.9503e+07,44.862,45,27.606,2.5189,30.125
2.3085e+05,7.0512e+07,44.885,45,22.967,2.5578,25.525
2.3506e+05,7.1518e+07,44.784,45,43.197,2.6067,45.804
2.3932e+05,7.2531e+07,44.758,45,48.481,2.6796,51.161
2.4368e+05,7.3539e+07,44.725,45,54.987,2.7614,57.748
2.4793e+05,7.4546e+07,44.763,45,47.461,2.8357,50.297
2.5222e+05,7.5556e+07,44.754,45,49.158,2.9175,52.076
2.5658e+05,7.6566e+07,44.885,45,23.071,2.9692,26.04
2.6091e+05,7.7576e+07,44.948,45,10.357,2.995,13.352
2.6528e+05,7.8592e+07,44.973,45,5.3482,3.0061,8.3543
2.6962e+05,7.9601e+07,44.983,45,3.3966,3.0122,6.4088
2.7394e+05,8.0612e+07,44.976,45,4.8279,3.0181,7.846
2.7828e+05,8.1625e+07,44.973,45,5.4832,3.0258,8.509
2.8256e+05,8.2631e+07,44.969,45,6.237,3.034,9.271
2.8688e+05,8.364e+07,44.958,45,8.3542,3.0443,11.399
2.9117e+05,8.4647e+07,44.957,45,8.6632,3.0558,11.719
2.9543e+05,8.5655e+07,44.933,45,13.319,3.0712,16.391
2.9975e+05,8.6658e+07,44.939,45,12.128,3.09,15.218
