LineNo,TimeUS,RSErr,Mem,TS,NPkt,Nerr,Nerr2,NDel
2413,1.5613e+07,0,608,15514,5155,0,0,0
6419,1.6612e+07,0,608,16513,5640,0,0,0
10582,1.7661e+07,0,608,17563,6151,0,0,0
14599,1.8664e+07,0,608,18565,6634,0,0,0
18595,1.9664e+07,0,608,19565,7119,0,0,0
22835,2.0716e+07,0,608,20617,7636,0,0,0
27094,2.1767e+07,0,608,21668,8149,0,0,0
31473,2.2809e+07,0,608,22710,8654,0,0,0
36001,2.3858e+07,0,608,23760,9154,0,0,0
40517,2.4901e+07,0,608,24803,9654,0,0,0
44929,2.5948e+07,0,608,25850,10145,0,0,0
49271,2.6994e+07,0,608,26896,10633,0,0,0
53678,2.8041e+07,0,608,27942,11123,0,0,0
57998,2.9076e+07,0,608,28977,11607,0,0,0
62374,3.0119e+07,0,608,30021,12096,0,0,0
66724,3.1169e+07,0,608,31071,12587,0,0,0
71177,3.2219e+07,0,608,32121,13079,0,0,0
75590,3.3268e+07,0,608,33170,13573,0,0,0
79861,3.4308e+07,0,608,34210,14062,0,0,0
84226,3.5351e+07,0,608,35253,14550,0,0,0
88571,3.6402e+07,0,608,36304,15042,0,0,0
92978,3.7448e+07,0,608,37350,15535,0,0,0
97312,3.8491e+07,0,608,38393,16024,0,0,0
1.0172e+05,3.9541e+07,0,608,39443,16514,0,0,0
1.0606e+05,4.0589e+07,0,608,40491,17006,0,0,0
1.1044e+05,4.1633e+07,0,608,41535,17494,0,0,0
1.1477e+05,4.2676e+07,0,608,42578,17983,0,0,0
1.1914e+05,4.3722e+07,0,608,43624,18472,0,0,0
1.2357e+05,4.4769e+07,0,608,44671,18965,0,0,0
1.279e+05,4.5809e+07,0,608,45711,19454,0,0,0
1.3194e+05,4.6809e+07,0,608,46711,19923,0,0,0
1.3633e+05,4.7857e+07,0,608,47759,20415,0,0,0
1.4065e+05,4.8905e+07,0,608,48808,20906,0,0,0
1.4501e+05,4.9956e+07,0,608,49858,21397,0,0,0
1.4933e+05,5.0993e+07,0,608,50895,21884,0,0,0
1.5365e+05,5.2033e+07,0,608,51935,22365,0,0,0
1.5805e+05,5.3083e+07,0,608,52985,22857,0,0,0
1.6244e+05,5.4133e+07,0,608,54035,23346,0,0,0
1.6677e+05,5.5174e+07,0,608,55076,23834,0,0,0
1.7117e+05,5.6219e+07,0,608,56121,24324,0,0,0
1.7564e+05,5.7265e+07,0,608,57168,24814,0,0,0
1.7999e+05,5.831e+07,0,608,58213,25304,0,0,0
1.8432e+05,5.9358e+07,0,608,59260,25795,0,0,0
1.8868e+05,6.0405e+07,0,608,60308,26287,0,0,0
1.9301e+05,6.1457e+07,0,608,61359,26780,0,0,0
1.973e+05,6.2496e+07,0,608,62398,27269,0,0,0
2.0162e+05,6.3533e+07,0,608,63436,27756,0,0,0
2.0599e+05,6.4581e+07,0,608,64484,28246,0,0,0
2.1033e+05,6.5622e+07,0,608,65525,28737,0,0,0
2.1475e+05,6.6674e+07,0,608,66576,29236,0,0,0
2.1912e+05,6.7716e+07,0,608,67618,29728,0,0,0
2.2352e+05,6.8764e+07,0,608,68666,30223,0,0,0
2.279e+05,6.9811e+07,0,608,69714,30718,0,0,0
2.3228e+05,7.0857e+07,0,608,70759,31213,0,0,0
2.3666e+05,7.1903e+07,0,608,71806,31710,0,0,0
2.4111e+05,7.2948e+07,0,608,72851,32203,0,0,0
2.4557e+05,7.3992e+07,0,608,73895,32700,0,0,0
2.5004e+05,7.5035e+07,0,608,74938,33193,0,0,0
2.5447e+05,7.6079e+07,0,608,75982,33689,0,0,0
2.5898e+05,7.7125e+07,0,608,77028,34186,0,0,0
2.6344e+05,7.8166e+07,0,608,78069,34680,0,0,0
2.6791e+05,7.9212e+07,0,608,79115,35180,0,0,0
2.7241e+05,8.0258e+07,0,608,80161,35677,0,0,0
2.7688e+05,8.1301e+07,0,608,81204,36169,0,0,0
2.8134e+05,8.2348e+07,0,608,82251,36666,0,0,0
2.8581e+05,8.3395e+07,0,608,83298,37163,0,0,0
2.9027e+05,8.4436e+07,0,608,84339,37656,0,0,0
2.9471e+05,8.5483e+07,0,608,85386,38148,0,0,0
2.9916e+05,8.6526e+07,0,608,86429,38639,0,0,0
