LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1905,1.5487e+07,0,185,-36,352,43,-7,144,0,0,0,1,1.5487e+07
2290,1.5588e+07,0,186,-34,352,43,-7,144,0,0,0,1,1.5588e+07
2704,1.5689e+07,0,189,-39,355,43,-7,144,0,0,0,1,1.5689e+07
3116,1.5789e+07,0,188,-36,352,43,-7,144,0,0,0,1,1.5789e+07
3525,1.5891e+07,0,184,-42,350,43,-7,144,0,0,0,1,1.5891e+07
3933,1.5992e+07,0,186,-36,355,43,-7,144,0,0,0,1,1.5992e+07
4346,1.6092e+07,0,187,-36,350,43,-7,144,0,0,0,1,1.6092e+07
4727,1.6193e+07,0,188,-35,348,43,-7,144,0,0,0,1,1.6193e+07
5133,1.6293e+07,0,181,-36,352,43,-7,144,0,0,0,1,1.6292e+07
5542,1.6393e+07,0,190,-40,346,43,-7,144,0,0,0,1,1.6393e+07
5950,1.6494e+07,0,185,-34,348,43,-7,144,0,0,0,1,1.6494e+07
6361,1.6595e+07,0,184,-35,352,43,-7,144,0,0,0,1,1.6595e+07
6745,1.6695e+07,0,192,-31,349,43,-7,144,0,0,0,1,1.6695e+07
7154,1.6796e+07,0,187,-37,354,43,-7,144,0,0,0,1,1.6796e+07
7565,1.6896e+07,0,187,-37,349,43,-7,144,0,0,0,1,1.6896e+07
7975,1.6997e+07,0,185,-41,351,43,-7,144,0,0,0,1,1.6996e+07
8384,1.7097e+07,0,190,-35,349,43,-7,144,0,0,0,1,1.7097e+07
8792,1.7198e+07,0,185,-36,355,43,-7,144,0,0,0,1,1.7197e+07
9196,1.7299e+07,0,189,-36,346,43,-7,144,0,0,0,1,1.7299e+07
9517,1.7398e+07,0,180,-35,353,43,-7,144,0,0,0,1,1.7398e+07
9924,1.7498e+07,0,186,-39,344,43,-7,144,0,0,0,1,1.7498e+07
10334,1.7599e+07,0,190,-37,355,43,-7,144,0,0,0,1,1.7599e+07
10715,1.7699e+07,0,188,-38,354,43,-7,144,0,0,0,1,1.7699e+07
11128,1.78e+07,0,187,-37,351,43,-7,144,0,0,0,1,1.78e+07
11541,1.7901e+07,0,187,-38,349,43,-7,144,0,0,0,1,1.7901e+07
11955,1.8002e+07,0,189,-37,347,43,-7,144,0,0,0,1,1.8002e+07
12337,1.8102e+07,0,191,-37,349,43,-7,144,0,0,0,1,1.8102e+07
12749,1.8203e+07,0,190,-37,351,43,-7,144,0,0,0,1,1.8203e+07
13155,1.8304e+07,0,187,-38,348,43,-7,144,0,0,0,1,1.8304e+07
13564,1.8404e+07,0,191,-34,350,43,-7,144,0,0,0,1,1.8404e+07
13971,1.8505e+07,0,192,-37,349,43,-7,144,0,0,0,1,1.8505e+07
14355,1.8606e+07,0,188,-35,354,43,-7,144,0,0,0,1,1.8606e+07
14766,1.8707e+07,0,184,-34,354,43,-7,144,0,0,0,1,1.8707e+07
15173,1.8808e+07,0,188,-41,350,43,-7,144,0,0,0,1,1.8808e+07
15583,1.8909e+07,0,192,-38,347,43,-7,144,0,0,0,1,1.8909e+07
15994,1.901e+07,0,182,-39,352,43,-7,144,0,0,0,1,1.901e+07
16402,1.911e+07,0,187,-35,356,43,-7,144,0,0,0,1,1.911e+07
16782,1.9212e+07,0,192,-42,346,43,-7,144,0,0,0,1,1.9211e+07
17189,1.9312e+07,0,186,-36,351,43,-7,144,0,0,0,1,1.9312e+07
17570,1.9413e+07,0,191,-31,351,43,-7,144,0,0,0,1,1.9413e+07
17981,1.9513e+07,0,186,-37,345,43,-7,144,0,0,0,1,1.9513e+07
18392,1.9614e+07,0,189,-40,352,43,-7,144,0,0,0,1,1.9614e+07
18800,1.9715e+07,0,189,-39,349,43,-7,144,0,0,0,1,1.9715e+07
19211,1.9815e+07,0,188,-38,352,43,-7,144,0,0,0,1,1.9815e+07
19595,1.9914e+07,0,183,-32,352,43,-7,144,0,0,0,1,1.9914e+07
20006,2.0014e+07,0,186,-40,351,43,-7,144,0,0,0,1,2.0014e+07
20414,2.0114e+07,0,185,-36,348,43,-7,144,0,0,0,1,2.0114e+07
20820,2.0214e+07,0,188,-31,351,43,-7,144,0,0,0,1,2.0214e+07
21230,2.0314e+07,0,191,-36,343,43,-7,144,0,0,0,1,2.0314e+07
21638,2.0415e+07,0,191,-38,347,43,-7,144,0,0,0,1,2.0415e+07
22045,2.0516e+07,0,188,-38,351,43,-7,144,0,0,0,1,2.0516e+07
22428,2.0616e+07,0,185,-39,352,43,-7,144,0,0,0,1,2.0616e+07
22836,2.0716e+07,0,187,-37,350,43,-7,144,0,0,0,1,2.0716e+07
23244,2.0817e+07,0,185,-37,352,43,-7,144,0,0,0,1,2.0817e+07
23658,2.0916e+07,0,187,-36,354,43,-7,144,0,0,0,1,2.0916e+07
24072,2.1017e+07,0,186,-37,349,43,-7,144,0,0,0,1,2.1017e+07
24452,2.1117e+07,0,186,-36,350,43,-7,144,0,0,0,1,2.1117e+07
24863,2.1218e+07,0,190,-38,348,43,-7,144,0,0,0,1,2.1218e+07
25273,2.1318e+07,0,188,-36,345,43,-7,144,0,0,0,1,2.1318e+07
25684,2.1419e+07,0,190,-32,349,43,-7,144,0,0,0,1,2.1419e+07
26069,2.1519e+07,0,186,-35,352,43,-7,144,0,0,0,1,2.1519e+07
26480,2.162e+07,0,188,-37,353,43,-7,144,0,0,0,1,2.162e+07
26888,2.172e+07,0,187,-36,346,43,-7,144,0,0,0,1,2.172e+07
27302,2.182e+07,0,185,-37,349,43,-7,144,0,0,0,1,2.182e+07
27712,2.192e+07,0,185,-33,351,43,-7,144,0,0,0,1,2.192e+07
28123,2.2021e+07,0,187,-36,353,43,-7,144,0,0,0,1,2.2021e+07
28529,2.2122e+07,0,184,-35,351,43,-7,144,0,0,0,1,2.2122e+07
28948,2.2224e+07,0,190,-38,350,43,-7,144,0,0,0,1,2.2224e+07
29393,2.2326e+07,0,189,-40,348,43,-7,144,0,0,0,1,2.2326e+07
29841,2.2427e+07,0,182,-32,351,43,-7,144,0,0,0,1,2.2427e+07
30259,2.2528e+07,0,190,-32,351,43,-7,144,0,0,0,1,2.2528e+07
30708,2.2631e+07,0,183,-36,350,43,-7,144,0,0,0,1,2.2631e+07
31156,2.2732e+07,0,184,-36,352,43,-7,144,0,0,0,1,2.2732e+07
31602,2.2834e+07,0,185,-41,352,43,-7,144,0,0,0,1,2.2834e+07
32053,2.2937e+07,0,182,-36,353,43,-7,144,0,0,0,1,2.2937e+07
32502,2.3039e+07,0,186,-37,356,43,-7,144,0,0,0,1,2.3039e+07
32920,2.3143e+07,0,179,-34,358,43,-7,144,0,0,0,1,2.3143e+07
33367,2.3244e+07,0,180,-30,354,43,-7,144,0,0,0,1,2.3244e+07
33815,2.3347e+07,0,183,-37,355,43,-7,144,0,0,0,1,2.3347e+07
34236,2.3448e+07,0,178,-42,352,43,-7,144,0,0,0,1,2.3448e+07
34654,2.3553e+07,0,177,-55,355,43,-7,144,0,0,0,1,2.3553e+07
35105,2.3656e+07,0,170,-67,356,43,-7,144,0,0,0,1,2.3656e+07
35552,2.3758e+07,0,172,-78,354,43,-7,144,0,0,0,1,2.3758e+07
36002,2.386e+07,0,173,-81,351,43,-7,144,0,0,0,1,2.386e+07
36452,2.396e+07,0,173,-74,354,43,-7,144,0,0,0,1,2.396e+07
36898,2.4063e+07,0,176,-62,354,43,-7,144,0,0,0,1,2.4063e+07
37316,2.4163e+07,0,174,-53,355,43,-7,144,0,0,0,1,2.4163e+07
37762,2.4265e+07,0,175,-50,362,43,-7,144,0,0,0,1,2.4265e+07
38216,2.4368e+07,0,177,-52,354,43,-7,144,0,0,0,1,2.4368e+07
38664,2.4471e+07,0,170,-56,357,43,-7,144,0,0,0,1,2.4471e+07
39112,2.4573e+07,0,171,-55,357,43,-7,144,0,0,0,1,2.4573e+07
39559,2.4677e+07,0,172,-66,359,43,-7,144,0,0,0,1,2.4677e+07
40010,2.478e+07,0,172,-59,357,43,-7,144,0,0,0,1,2.478e+07
40457,2.4884e+07,0,175,-59,351,43,-7,144,0,0,0,1,2.4884e+07
40885,2.4987e+07,0,184,-51,354,43,-7,144,0,0,0,1,2.4987e+07
41331,2.5094e+07,0,190,-48,352,43,-7,144,0,0,0,1,2.5094e+07
41777,2.5197e+07,0,194,-41,348,43,-7,144,0,0,0,1,2.5197e+07
42222,2.5303e+07,0,196,-41,340,43,-7,144,0,0,0,1,2.5303e+07
42671,2.5408e+07,0,190,-41,343,43,-7,144,0,0,0,1,2.5408e+07
43121,2.5515e+07,0,197,-51,342,43,-7,144,0,0,0,1,2.5515e+07
43536,2.562e+07,0,203,-53,335,43,-7,144,0,0,0,1,2.562e+07
43984,2.5725e+07,0,207,-58,335,43,-7,144,0,0,0,1,2.5725e+07
44430,2.5833e+07,0,195,-68,340,43,-7,144,0,0,0,1,2.5833e+07
44877,2.5938e+07,0,186,-88,346,43,-7,144,0,0,0,1,2.5938e+07
45299,2.6042e+07,0,178,-104,342,43,-7,144,0,0,0,1,2.6042e+07
45748,2.6147e+07,0,175,-102,340,43,-7,144,0,0,0,1,2.6147e+07
46195,2.6253e+07,0,183,-94,342,43,-7,144,0,0,0,1,2.6253e+07
46643,2.636e+07,0,188,-65,339,43,-7,144,0,0,0,1,2.636e+07
47059,2.6466e+07,0,200,-41,339,43,-7,144,0,0,0,1,2.6466e+07
47509,2.6574e+07,0,204,-34,337,43,-7,144,0,0,0,1,2.6574e+07
47957,2.6679e+07,0,205,-36,337,43,-7,144,0,0,0,1,2.6679e+07
48407,2.6783e+07,0,203,-30,340,43,-7,144,0,0,0,1,2.6783e+07
48819,2.6888e+07,0,202,-42,344,43,-7,144,0,0,0,1,2.6888e+07
49272,2.6995e+07,0,195,-66,344,43,-7,144,0,0,0,1,2.6995e+07
49721,2.7101e+07,0,191,-82,345,43,-7,144,0,0,0,1,2.7101e+07
50170,2.7205e+07,0,181,-96,343,43,-7,144,0,0,0,1,2.7205e+07
50616,2.731e+07,0,182,-100,340,43,-7,144,0,0,0,1,2.731e+07
51032,2.7416e+07,0,200,-88,332,43,-7,144,0,0,0,1,2.7416e+07
51480,2.752e+07,0,204,-84,329,43,-7,144,0,0,0,1,2.752e+07
51925,2.7625e+07,0,201,-97,333,43,-7,144,0,0,0,1,2.7625e+07
52375,2.773e+07,0,198,-99,330,43,-7,144,0,0,0,1,2.773e+07
52819,2.7836e+07,0,191,-93,336,43,-7,144,0,0,0,1,2.7836e+07
53270,2.7942e+07,0,194,-93,337,43,-7,144,0,0,0,1,2.7942e+07
53686,2.8047e+07,0,194,-92,339,43,-7,144,0,0,0,1,2.8047e+07
54134,2.8154e+07,0,181,-93,341,43,-7,144,0,0,0,1,2.8154e+07
54581,2.8261e+07,0,180,-94,347,43,-7,144,0,0,0,1,2.8261e+07
55031,2.8369e+07,0,179,-90,348,43,-7,144,0,0,0,1,2.8369e+07
55477,2.8476e+07,0,178,-77,353,43,-7,144,0,0,0,1,2.8476e+07
55926,2.8581e+07,0,182,-54,356,43,-7,144,0,0,0,1,2.8581e+07
56374,2.8685e+07,0,189,-43,352,43,-7,144,0,0,0,1,2.8685e+07
56820,2.879e+07,0,182,-23,355,43,-7,144,0,0,0,1,2.879e+07
57236,2.8895e+07,0,187,-9,353,43,-7,144,0,0,0,1,2.8895e+07
57687,2.9001e+07,0,191,-2,353,43,-7,144,0,0,0,1,2.9001e+07
58134,2.9108e+07,0,186,-8,353,43,-7,144,0,0,0,1,2.9108e+07
58585,2.9215e+07,0,184,-7,356,43,-7,144,0,0,0,1,2.9215e+07
59032,2.932e+07,0,181,-7,359,43,-7,144,0,0,0,1,2.932e+07
59483,2.9427e+07,0,186,-12,352,43,-7,144,0,0,0,1,2.9427e+07
59931,2.9533e+07,0,178,-46,353,43,-7,144,0,0,0,1,2.9533e+07
60347,2.9638e+07,0,178,-50,349,43,-7,144,0,0,0,1,2.9638e+07
60796,2.9744e+07,0,176,-50,354,43,-7,144,0,0,0,1,2.9744e+07
61242,2.9851e+07,0,180,-47,358,43,-7,144,0,0,0,1,2.9851e+07
61694,2.9955e+07,0,173,-44,355,43,-7,144,0,0,0,1,2.9955e+07
62139,3.006e+07,0,177,-29,354,43,-7,144,0,0,0,1,3.006e+07
62557,3.0165e+07,0,179,-21,355,43,-7,144,0,0,0,1,3.0165e+07
63008,3.0269e+07,0,186,-10,358,43,-7,144,0,0,0,1,3.0269e+07
63423,3.0375e+07,0,181,-11,352,43,-7,144,0,0,0,1,3.0374e+07
63872,3.0479e+07,0,180,-15,360,43,-7,144,0,0,0,1,3.0479e+07
64321,3.0585e+07,0,195,-14,343,43,-7,144,0,0,0,1,3.0585e+07
64736,3.0689e+07,0,205,-11,339,43,-7,144,0,0,0,1,3.0689e+07
65185,3.0793e+07,0,212,-10,339,43,-7,144,0,0,0,1,3.0793e+07
65633,3.0898e+07,0,210,-11,337,43,-7,144,0,0,0,1,3.0898e+07
66079,3.1005e+07,0,203,-16,347,43,-7,144,0,0,0,1,3.1005e+07
66493,3.111e+07,0,205,-18,341,43,-7,144,0,0,0,1,3.111e+07
66944,3.1215e+07,0,211,-29,332,43,-7,144,0,0,0,1,3.1215e+07
67360,3.132e+07,0,211,-45,327,43,-7,144,0,0,0,1,3.132e+07
67812,3.1426e+07,0,227,-43,320,43,-7,144,0,0,0,1,3.1426e+07
68258,3.153e+07,0,226,-43,324,43,-7,144,0,0,0,1,3.153e+07
68706,3.1636e+07,0,225,-41,319,43,-7,144,0,0,0,1,3.1636e+07
69155,3.1741e+07,0,218,-52,321,43,-7,144,0,0,0,1,3.1741e+07
69602,3.1847e+07,0,217,-51,330,43,-7,144,0,0,0,1,3.1847e+07
70052,3.1953e+07,0,217,-69,329,43,-7,144,0,0,0,1,3.1953e+07
70499,3.2059e+07,0,213,-70,330,43,-7,144,0,0,0,1,3.2059e+07
70947,3.2165e+07,0,207,-71,330,43,-7,144,0,0,0,1,3.2165e+07
71395,3.2269e+07,0,209,-69,333,43,-7,144,0,0,0,1,3.2269e+07
71846,3.2375e+07,0,206,-68,335,43,-7,144,0,0,0,1,3.2375e+07
72263,3.248e+07,0,207,-63,337,43,-7,144,0,0,0,1,3.248e+07
72711,3.2587e+07,0,210,-61,333,43,-7,144,0,0,0,1,3.2587e+07
73159,3.2693e+07,0,206,-60,337,43,-7,144,0,0,0,1,3.2693e+07
73606,3.2799e+07,0,210,-58,331,43,-7,144,0,0,0,1,3.2799e+07
74053,3.2905e+07,0,212,-56,332,43,-7,144,0,0,0,1,3.2905e+07
74471,3.301e+07,0,217,-54,325,43,-7,144,0,0,0,1,3.301e+07
74917,3.3115e+07,0,216,-50,332,43,-7,144,0,0,0,1,3.3115e+07
75365,3.322e+07,0,209,-48,334,43,-7,144,0,0,0,1,3.322e+07
75813,3.3325e+07,0,215,-41,331,43,-7,144,0,0,0,1,3.3325e+07
76232,3.3432e+07,0,230,-32,321,43,-7,144,0,0,0,1,3.3432e+07
76682,3.3539e+07,0,232,-23,320,43,-7,144,0,0,0,1,3.3539e+07
77096,3.3643e+07,0,223,-30,328,43,-7,144,0,0,0,1,3.3643e+07
77543,3.3749e+07,0,222,-27,328,43,-7,144,0,0,0,1,3.3749e+07
77957,3.3852e+07,0,217,-29,333,43,-7,144,0,0,0,1,3.3852e+07
78405,3.3956e+07,0,217,-35,335,43,-7,144,0,0,0,1,3.3956e+07
78819,3.4063e+07,0,201,-61,340,43,-7,144,0,0,0,1,3.4063e+07
79268,3.4168e+07,0,191,-79,340,43,-7,144,0,0,0,1,3.4168e+07
79716,3.4274e+07,0,199,-85,335,43,-7,144,0,0,0,1,3.4274e+07
80163,3.438e+07,0,189,-94,341,43,-7,144,0,0,0,1,3.4379e+07
80614,3.4484e+07,0,178,-93,349,43,-7,144,0,0,0,1,3.4484e+07
81063,3.459e+07,0,169,-72,356,43,-7,144,0,0,0,1,3.459e+07
