LineNo,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
209,1.5038e+07,0.90123,0.93792,1,0.020911,2
312,1.5072e+07,0.90124,0.93792,1,0.020911,2
654,1.5134e+07,0.90124,0.93792,1,0.020911,2
767,1.515e+07,0.90123,0.93791,1,0.020911,2
880,1.5165e+07,0.9012,0.93789,1,0.020911,2
993,1.5183e+07,0.90117,0.93788,1,0.020911,2
1224,1.5261e+07,0.90107,0.93782,1,0.020911,2
1608,1.5416e+07,0.9009,0.93771,1,0.020911,2
1686,1.5427e+07,0.90088,0.93769,1,0.020911,2
1728,1.5437e+07,0.90086,0.93768,1,0.020911,2
1768,1.5447e+07,0.90084,0.93766,1,0.020911,2
1809,1.5461e+07,0.90081,0.93764,1,0.020911,2
1852,1.5473e+07,0.90079,0.93763,1,0.020911,2
1894,1.5484e+07,0.90077,0.93762,1,0.020911,2
1939,1.5493e+07,0.90075,0.9376,1,0.020911,2
1979,1.5503e+07,0.90073,0.93759,1,0.020911,2
2020,1.5513e+07,0.90072,0.93758,1,0.020911,2
2063,1.5524e+07,0.9007,0.93757,1,0.020911,2
2107,1.5539e+07,0.90068,0.93756,1,0.020911,2
2151,1.5549e+07,0.90066,0.93755,1,0.020911,2
2191,1.5559e+07,0.90065,0.93754,1,0.020911,2
2232,1.5569e+07,0.90064,0.93753,1,0.020911,2
2273,1.5579e+07,0.90062,0.93752,1,0.020911,2
2317,1.5589e+07,0.90061,0.93752,1,0.020911,2
2359,1.5599e+07,0.90058,0.9375,1,0.020911,2
2400,1.5609e+07,0.90055,0.93748,1,0.020911,2
2444,1.5619e+07,0.90052,0.93746,1,0.020911,2
2484,1.5629e+07,0.90049,0.93744,1,0.020911,2
2522,1.564e+07,0.90046,0.93742,1,0.020911,2
2565,1.565e+07,0.90044,0.9374,1,0.020911,2
2605,1.566e+07,0.90041,0.93739,1,0.020911,2
2646,1.567e+07,0.90038,0.93737,1,0.020911,2
2686,1.568e+07,0.90036,0.93735,1,0.020911,2
2731,1.569e+07,0.90034,0.93734,1,0.020911,2
2772,1.57e+07,0.90033,0.93733,1,0.020911,2
2813,1.571e+07,0.90032,0.93733,1,0.020911,2
2854,1.572e+07,0.90032,0.93733,1,0.020911,2
2894,1.573e+07,0.90031,0.93732,1,0.020911,2
2936,1.574e+07,0.9003,0.93732,1,0.020911,2
2978,1.575e+07,0.9003,0.93731,1,0.020911,2
3017,1.576e+07,0.90029,0.93731,1,0.020911,2
3059,1.577e+07,0.90029,0.93731,1,0.020911,2
3099,1.578e+07,0.90028,0.9373,1,0.020911,2
3145,1.579e+07,0.90028,0.9373,1,0.020911,2
3187,1.58e+07,0.90027,0.9373,1,0.020911,2
3228,1.581e+07,0.90027,0.93729,1,0.020911,2
3269,1.5821e+07,0.90026,0.93729,1,0.020911,2
3311,1.5834e+07,0.90026,0.93729,1,0.020911,2
3348,1.5844e+07,0.90025,0.93728,1,0.020911,2
3390,1.5854e+07,0.90025,0.93728,1,0.020911,2
3431,1.5864e+07,0.90024,0.93728,1,0.020911,2
3471,1.5874e+07,0.90024,0.93728,1,0.020911,2
3512,1.5884e+07,0.90024,0.93727,1,0.020911,2
3556,1.5894e+07,0.90023,0.93727,1,0.020911,2
3597,1.5904e+07,0.90021,0.93726,1,0.020911,2
3639,1.5914e+07,0.90019,0.93724,1,0.020911,2
3681,1.5924e+07,0.90017,0.93723,1,0.020911,2
3719,1.5934e+07,0.90015,0.93722,1,0.020911,2
3756,1.5945e+07,0.90013,0.93721,1,0.020911,2
3798,1.5955e+07,0.90012,0.9372,1,0.020911,2
3839,1.5965e+07,0.9001,0.93719,1,0.020911,2
3879,1.5975e+07,0.90008,0.93718,1,0.020911,2
3920,1.5985e+07,0.90007,0.93717,1,0.020911,2
3964,1.5995e+07,0.90006,0.93716,1,0.020911,2
4005,1.6005e+07,0.90005,0.93716,1,0.020911,2
4048,1.6015e+07,0.90005,0.93716,1,0.020911,2
4089,1.6025e+07,0.90005,0.93715,1,0.020911,2
4130,1.6035e+07,0.90005,0.93715,1,0.020911,2
4167,1.6045e+07,0.90005,0.93715,1,0.020911,2
4209,1.6055e+07,0.90004,0.93715,1,0.020911,2
4253,1.6068e+07,0.90004,0.93715,1,0.020911,2
4295,1.6078e+07,0.90004,0.93715,1,0.020911,2
4335,1.6088e+07,0.90004,0.93715,1,0.020911,2
4380,1.6097e+07,0.90004,0.93714,1,0.020911,2
4421,1.6108e+07,0.90003,0.93714,1,0.020911,2
4461,1.6118e+07,0.90003,0.93714,1,0.020911,2
4507,1.6133e+07,0.90002,0.93714,1,0.020911,2
4550,1.6145e+07,0.90002,0.93714,1,0.020911,2
4590,1.6156e+07,0.90002,0.93713,1,0.020911,2
4631,1.6166e+07,0.90002,0.93713,1,0.020911,2
4673,1.6176e+07,0.90001,0.93713,1,0.020911,2
4713,1.6186e+07,0.90001,0.93713,1,0.020911,2
4758,1.6196e+07,0.90001,0.93713,1,0.020911,2
4798,1.6206e+07,0.90001,0.93713,1,0.020911,2
4840,1.6216e+07,0.90001,0.93713,1,0.020911,2
4880,1.6226e+07,0.90001,0.93713,1,0.020911,2
4921,1.6236e+07,0.90001,0.93713,1,0.020911,2
4959,1.6246e+07,0.90001,0.93713,1,0.020911,2
4996,1.6256e+07,0.90001,0.93713,1,0.020911,2
5038,1.6266e+07,0.90001,0.93713,1,0.020911,2
5080,1.6276e+07,0.90001,0.93713,1,0.020911,2
5120,1.6286e+07,0.90001,0.93713,1,0.020911,2
5165,1.6296e+07,0.90001,0.93713,1,0.020911,2
5206,1.6306e+07,0.9,0.93712,1,0.020911,2
5247,1.6316e+07,0.9,0.93712,1,0.020911,2
5287,1.6326e+07,0.89999,0.93712,1,0.020911,2
5330,1.6338e+07,0.89998,0.93711,1,0.020911,2
5367,1.6348e+07,0.89998,0.93711,1,0.020911,2
5412,1.636e+07,0.89997,0.9371,1,0.020911,2
5453,1.6371e+07,0.89996,0.9371,1,0.020911,2
5493,1.6381e+07,0.89996,0.9371,1,0.020911,2
5535,1.6391e+07,0.89995,0.93709,1,0.020911,2
5579,1.6401e+07,0.89996,0.93709,1,0.020911,2
5621,1.6411e+07,0.89997,0.9371,1,0.020911,2
5662,1.6421e+07,0.89997,0.9371,1,0.020911,2
5702,1.6431e+07,0.89998,0.93711,1,0.020911,2
5737,1.6441e+07,0.89999,0.93711,1,0.020911,2
5778,1.6452e+07,0.89999,0.93712,1,0.020911,2
5819,1.6462e+07,0.9,0.93712,1,0.020911,2
5859,1.6472e+07,0.90001,0.93713,1,0.020911,2
5901,1.6481e+07,0.90001,0.93713,1,0.020911,2
5943,1.6492e+07,0.90002,0.93713,1,0.020911,2
5987,1.6502e+07,0.90002,0.93714,1,0.020911,2
6030,1.6512e+07,0.90002,0.93714,1,0.020911,2
6070,1.6522e+07,0.90003,0.93714,1,0.020911,2
6114,1.6533e+07,0.90003,0.93714,1,0.020911,2
6151,1.6543e+07,0.90003,0.93714,1,0.020911,2
6191,1.6553e+07,0.90003,0.93714,1,0.020911,2
6231,1.6563e+07,0.90004,0.93715,1,0.020911,2
6272,1.6573e+07,0.90004,0.93715,1,0.020911,2
6313,1.6583e+07,0.90004,0.93715,1,0.020911,2
6354,1.6593e+07,0.90004,0.93715,1,0.020911,2
6402,1.6603e+07,0.90004,0.93715,1,0.020911,2
6444,1.6614e+07,0.90003,0.93714,1,0.020911,2
6485,1.6623e+07,0.90003,0.93714,1,0.020911,2
6526,1.6634e+07,0.90002,0.93714,1,0.020911,2
6564,1.6646e+07,0.90002,0.93713,1,0.020911,2
6605,1.6656e+07,0.90001,0.93713,1,0.020911,2
6645,1.6666e+07,0.9,0.93713,1,0.020911,2
6687,1.6676e+07,0.9,0.93712,1,0.020911,2
6727,1.6685e+07,0.9,0.93712,1,0.020911,2
6772,1.6696e+07,0.89999,0.93712,1,0.020911,2
6814,1.6705e+07,0.9,0.93712,1,0.020911,2
6855,1.6716e+07,0.9,0.93712,1,0.020911,2
6896,1.6726e+07,0.90001,0.93713,1,0.020911,2
6938,1.6735e+07,0.90001,0.93713,1,0.020911,2
6973,1.6746e+07,0.90002,0.93713,1,0.020911,2
7013,1.6756e+07,0.90002,0.93714,1,0.020911,2
7054,1.6766e+07,0.90003,0.93714,1,0.020911,2
7095,1.6776e+07,0.90003,0.93714,1,0.020911,2
7136,1.6786e+07,0.90004,0.93715,1,0.020911,2
7183,1.6797e+07,0.90004,0.93715,1,0.020911,2
7224,1.6806e+07,0.90003,0.93714,1,0.020911,2
7266,1.6816e+07,0.90002,0.93713,1,0.020911,2
7307,1.6826e+07,0.90001,0.93713,1,0.020911,2
7347,1.6836e+07,0.9,0.93712,1,0.020911,2
7388,1.6846e+07,0.89999,0.93711,1,0.020911,2
7425,1.6856e+07,0.89998,0.93711,1,0.020911,2
7466,1.6866e+07,0.89997,0.9371,1,0.020911,2
7508,1.6877e+07,0.89996,0.9371,1,0.020911,2
7548,1.6887e+07,0.89995,0.93709,1,0.020911,2
7592,1.6897e+07,0.89994,0.93708,1,0.020911,2
7634,1.6907e+07,0.89995,0.93709,1,0.020911,2
7676,1.6917e+07,0.89996,0.9371,1,0.020911,2
7717,1.6927e+07,0.89997,0.9371,1,0.020911,2
7759,1.694e+07,0.89998,0.93711,1,0.020911,2
7800,1.695e+07,0.89999,0.93712,1,0.020911,2
7837,1.696e+07,0.9,0.93712,1,0.020911,2
7879,1.697e+07,0.90001,0.93713,1,0.020911,2
7919,1.698e+07,0.90002,0.93714,1,0.020911,2
7960,1.699e+07,0.90003,0.93714,1,0.020911,2
8006,1.7e+07,0.90003,0.93714,1,0.020911,2
8050,1.701e+07,0.90001,0.93713,1,0.020911,2
8091,1.702e+07,0.9,0.93712,1,0.020911,2
8131,1.703e+07,0.89998,0.93711,1,0.020911,2
8169,1.704e+07,0.89997,0.9371,1,0.020911,2
8206,1.7051e+07,0.89995,0.93709,1,0.020911,2
8247,1.7061e+07,0.89994,0.93708,1,0.020911,2
8287,1.7071e+07,0.89992,0.93707,1,0.020911,2
8329,1.7081e+07,0.89991,0.93706,1,0.020911,2
8371,1.7091e+07,0.8999,0.93706,1,0.020911,2
8415,1.7101e+07,0.89988,0.93704,1,0.020911,2
8456,1.7111e+07,0.89984,0.93702,1,0.020911,2
8498,1.7121e+07,0.89981,0.937,1,0.020911,2
8539,1.7131e+07,0.89977,0.93698,1,0.020911,2
8579,1.7141e+07,0.89974,0.93695,1,0.020911,2
8619,1.7153e+07,0.8997,0.93693,1,0.020911,2
8660,1.7164e+07,0.89967,0.93691,1,0.020911,2
8700,1.7173e+07,0.89964,0.93689,1,0.020911,2
