LineNo,TimeUS,Message
1644,1.5419e+07,'ArduCopter V4.4.0-dev (232083c4)'
1647,1.5419e+07,'CubeBlack 00190033 30385110 30343937'
1650,1.5419e+07,'New mission'
1651,1.5419e+07,'New rally'
1652,1.5419e+07,'New fence'
28578,2.2132e+07,'EKF3 IMU1 origin set'
28583,2.2134e+07,'EKF3 IMU0 origin set'
40653,2.4933e+07,'EKF3 IMU0 MAG0 in-flight yaw alignment complete'
40740,2.4951e+07,'EKF3 IMU1 MAG0 in-flight yaw alignment complete'
1.2849e+05,4.5956e+07,'Battery 1 is low 14.27V used 0 mAh'
1.2849e+05,4.5956e+07,'Battery Failsafe'
2.0667e+05,6.4746e+07,'EKF3 IMU1 is using GPS'
2.134e+05,6.6348e+07,'EKF3 IMU0 is using GPS'
3.0186e+05,1.59e+08,'ArduCopter V4.4.0-dev (232083c4)'
3.0186e+05,1.59e+08,'CubeBlack 00190033 30385110 30343937'
3.0187e+05,1.5939e+08,'ArduCopter V4.4.0-dev (232083c4)'
3.0187e+05,1.5939e+08,'CubeBlack 00190033 30385110 30343937'
3.0188e+05,1.594e+08,'ArduCopter V4.4.0-dev (232083c4)'
3.0188e+05,1.594e+08,'CubeBlack 00190033 30385110 30343937'
3.0188e+05,1.7916e+08,'GPS Glitch or Compass error'
