LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
193,1.5037e+07,1.8473,1.8473,0,0,-209.11,0,0,1,0,1
296,1.5071e+07,5.3655,5.3655,0,0,-209.11,0,0,1,0,1
638,1.5133e+07,-1.2229,-1.2229,0,0,-209.11,0,0,1,0,1
751,1.5149e+07,-0.93632,-0.93632,0,0,-209.11,0,0,1,0,1
864,1.5165e+07,0.32701,0.32701,0,0,-209.11,0,0,1,0,1
977,1.5182e+07,3.0453,3.0453,0,0,-209.11,0,0,1,0,1
1208,1.526e+07,1.4705,1.4705,0,0,-209.11,0,0,1,0,1
1592,1.5416e+07,2.1519,2.1519,0,0,-209.11,0,0,1,0,1
1670,1.5426e+07,1.5159,1.5159,0,0,-209.11,0,0,1,0,1
1712,1.5437e+07,1.9758,1.9758,0,0,-209.11,0,0,1,0,1
1752,1.5447e+07,2.0931,2.0931,0,0,-209.11,0,0,1,0,1
1793,1.546e+07,3.4665,3.4665,0,0,-209.11,0,0,1,0,1
1836,1.5473e+07,2.1848,2.1848,0,0,-209.11,0,0,1,0,1
1878,1.5483e+07,1.2883,1.2883,0,0,-209.11,0,0,1,0,1
1923,1.5493e+07,-0.17452,-0.17452,0,0,-209.11,0,0,1,0,1
1963,1.5503e+07,0.51165,0.51165,0,0,-209.11,0,0,1,0,1
2004,1.5513e+07,0.37842,0.37842,0,0,-209.11,0,0,1,0,1
2045,1.5523e+07,0.35048,0.35048,0,0,-209.11,0,0,1,0,1
2091,1.5538e+07,3.6656,3.6656,0,0,-209.11,0,0,1,0,1
2135,1.5548e+07,3.1476,3.1476,0,0,-209.11,0,0,1,0,1
2175,1.5558e+07,3.3527,3.3527,0,0,-209.11,0,0,1,0,1
2216,1.5568e+07,4.5156,4.5156,0,0,-209.11,0,0,1,0,1
2257,1.5578e+07,4.2187,4.2187,0,0,-209.11,0,0,1,0,1
2301,1.5588e+07,1.9633,1.9633,0,0,-209.11,0,0,1,0,1
2343,1.5599e+07,1.964,1.964,0,0,-209.11,0,0,1,0,1
2384,1.5609e+07,0.3561,0.3561,0,0,-209.11,0,0,1,0,1
2428,1.5619e+07,-0.2038,-0.2038,0,0,-209.11,0,0,1,0,1
2468,1.5628e+07,0.074291,0.074291,0,0,-209.11,0,0,1,0,1
2506,1.5639e+07,0.21763,0.21763,0,0,-209.11,0,0,1,0,1
2549,1.5649e+07,-0.45071,-0.45071,0,0,-209.11,0,0,1,0,1
2589,1.5659e+07,1.1158,1.1158,0,0,-209.11,0,0,1,0,1
2630,1.5669e+07,1.3211,1.3211,0,0,-209.11,0,0,1,0,1
2670,1.5679e+07,1.2593,1.2593,0,0,-209.11,0,0,1,0,1
2715,1.5689e+07,1.386,1.386,0,0,-209.11,0,0,1,0,1
2756,1.5699e+07,-0.38128,-0.38128,0,0,-209.11,0,0,1,0,1
2797,1.571e+07,-0.87032,-0.87032,0,0,-209.11,0,0,1,0,1
2838,1.5719e+07,-0.3047,-0.3047,0,0,-209.11,0,0,1,0,1
2878,1.5729e+07,0.88673,0.88673,0,0,-209.11,0,0,1,0,1
2920,1.5739e+07,1.6354,1.6354,0,0,-209.11,0,0,1,0,1
2962,1.5749e+07,0.49973,0.49973,0,0,-209.11,0,0,1,0,1
3001,1.5759e+07,1.0907,1.0907,0,0,-209.11,0,0,1,0,1
3043,1.577e+07,2.6165,2.6165,0,0,-209.11,0,0,1,0,1
3083,1.578e+07,4.3929,4.3929,0,0,-209.11,0,0,1,0,1
3129,1.579e+07,5.6791,5.6791,0,0,-209.11,0,0,1,0,1
3171,1.58e+07,3.4384,3.4384,0,0,-209.11,0,0,1,0,1
3212,1.581e+07,2.1333,2.1333,0,0,-209.11,0,0,1,0,1
3253,1.582e+07,0.12712,0.12712,0,0,-209.11,0,0,1,0,1
3295,1.5833e+07,0.62914,0.62914,0,0,-209.11,0,0,1,0,1
3332,1.5843e+07,0.96169,0.96169,0,0,-209.11,0,0,1,0,1
3374,1.5854e+07,2.0432,2.0432,0,0,-209.11,0,0,1,0,1
3415,1.5864e+07,2.6184,2.6184,0,0,-209.11,0,0,1,0,1
3455,1.5873e+07,2.0593,2.0593,0,0,-209.11,0,0,1,0,1
3496,1.5884e+07,3.3381,3.3381,0,0,-209.11,0,0,1,0,1
3540,1.5893e+07,4.7442,4.7442,0,0,-209.11,0,0,1,0,1
3581,1.5904e+07,4.1593,4.1593,0,0,-209.11,0,0,1,0,1
3623,1.5914e+07,4.156,4.156,0,0,-209.11,0,0,1,0,1
3665,1.5924e+07,3.0175,3.0175,0,0,-209.11,0,0,1,0,1
3703,1.5934e+07,0.37117,0.37117,0,0,-209.11,0,0,1,0,1
3740,1.5944e+07,-0.61302,-0.61302,0,0,-209.11,0,0,1,0,1
3782,1.5954e+07,-0.50621,-0.50621,0,0,-209.11,0,0,1,0,1
3823,1.5964e+07,-1.2621,-1.2621,0,0,-209.11,0,0,1,0,1
3863,1.5974e+07,-0.99621,-0.99621,0,0,-209.11,0,0,1,0,1
3904,1.5984e+07,1.9961,1.9961,0,0,-209.11,0,0,1,0,1
3948,1.5994e+07,3.255,3.255,0,0,-209.11,0,0,1,0,1
3989,1.6004e+07,1.9787,1.9787,0,0,-209.11,0,0,1,0,1
4030,1.6014e+07,1.9482,1.9482,0,0,-209.11,0,0,1,0,1
4073,1.6024e+07,2.599,2.599,0,0,-209.11,0,0,1,0,1
4114,1.6034e+07,1.4916,1.4916,0,0,-209.11,0,0,1,0,1
4151,1.6044e+07,-0.35229,-0.35229,0,0,-209.11,0,0,1,0,1
4193,1.6054e+07,-0.53654,-0.53654,0,0,-209.11,0,0,1,0,1
4237,1.6067e+07,-0.57545,-0.57545,0,0,-209.11,0,0,1,0,1
4279,1.6077e+07,-1.2889,-1.2889,0,0,-209.11,0,0,1,0,1
4319,1.6087e+07,0.081921,0.081921,0,0,-209.11,0,0,1,0,1
4364,1.6097e+07,2.0466,2.0466,0,0,-209.11,0,0,1,0,1
4405,1.6107e+07,3.7549,3.7549,0,0,-209.11,0,0,1,0,1
4445,1.6117e+07,2.9752,2.9752,0,0,-209.11,0,0,1,0,1
4491,1.6133e+07,0.92487,0.92487,0,0,-209.11,0,0,1,0,1
4534,1.6145e+07,1.4312,1.4312,0,0,-209.11,0,0,1,0,1
4574,1.6156e+07,0.58804,0.58804,0,0,-209.11,0,0,1,0,1
4615,1.6166e+07,2.5296,2.5296,0,0,-209.11,0,0,1,0,1
4657,1.6175e+07,1.333,1.333,0,0,-209.11,0,0,1,0,1
4697,1.6185e+07,1.3811,1.3811,0,0,-209.11,0,0,1,0,1
4742,1.6196e+07,0.96884,0.96884,0,0,-209.11,0,0,1,0,1
4782,1.6205e+07,2.0047,2.0047,0,0,-209.11,0,0,1,0,1
4824,1.6216e+07,3.7459,3.7459,0,0,-209.11,0,0,1,0,1
