LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
191,1.5037e+07,0.042315,-0.0032615,0.045576,0.0061528,0,0.00057171,0,1,0,1
294,1.5071e+07,0.042682,0.00047146,0.042211,0.0056985,0,-0.00068647,0,1,0,1
636,1.5133e+07,0.042705,0.0010556,0.04165,0.0056227,0,-3.7784e-05,0,1,0,1
749,1.5149e+07,0.042606,0.0017536,0.040852,0.005515,0,-0.00023953,0,1,0,1
862,1.5165e+07,0.042473,-0.00038304,0.042857,0.0057856,0,0.00069818,0,1,0,1
975,1.5182e+07,0.042402,0.00038806,0.042014,0.0056718,0,8.2059e-05,0,1,0,1
1206,1.526e+07,0.042869,-0.00012377,0.042993,0.0058041,0,6.4546e-08,0,1,0,1
1590,1.5416e+07,0.042705,0.0015765,0.041129,0.0055524,0,-0.00028782,0,1,0,1
1668,1.5426e+07,0.042585,0.001006,0.041579,0.0056131,0,-0.00011592,0,1,0,1
1710,1.5437e+07,0.042481,0.00038502,0.042096,0.005683,0,7.789e-06,0,1,0,1
1750,1.5447e+07,0.042379,-0.0013228,0.043701,0.0058997,0,0.00068485,0,1,0,1
1791,1.546e+07,0.042299,-0.00084954,0.043149,0.0058251,0,0.00020573,0,1,0,1
1834,1.5473e+07,0.042387,-0.0012547,0.043642,0.0058917,0,-3.9261e-05,0,1,0,1
1876,1.5483e+07,0.042426,-0.00047456,0.0429,0.0057915,0,-2.8313e-05,0,1,0,1
1921,1.5493e+07,0.042484,-0.0019034,0.044387,0.0059923,0,0.00052296,0,1,0,1
1961,1.5503e+07,0.042522,0.00065269,0.041869,0.0056524,0,-0.00030087,0,1,0,1
2002,1.5513e+07,0.042543,0.0013129,0.04123,0.005566,0,-9.4457e-05,0,1,0,1
2043,1.5523e+07,0.04255,0.00091098,0.041639,0.0056213,0,-6.5468e-05,0,1,0,1
2089,1.5538e+07,0.042595,-0.00099239,0.043588,0.0058844,0,0.0001064,0,1,0,1
2133,1.5548e+07,0.042624,-0.0018532,0.044477,0.0060044,0,0.00031945,0,1,0,1
2173,1.5558e+07,0.042619,-0.00071021,0.04333,0.0058495,0,-0.00015552,0,1,0,1
2214,1.5568e+07,0.042608,-0.001886,0.044494,0.0060067,0,0.00031265,0,1,0,1
2255,1.5578e+07,0.042573,-0.00097064,0.043543,0.0058784,0,-9.7952e-05,0,1,0,1
2299,1.5588e+07,0.0425,0.0016444,0.040855,0.0055155,0,-0.00066459,0,1,0,1
2341,1.5599e+07,0.042461,-0.002303,0.044764,0.0060432,0,0.00088012,0,1,0,1
2382,1.5609e+07,0.042461,0.0016416,0.040819,0.0055106,0,-0.00080225,0,1,0,1
2426,1.5619e+07,0.042508,0.00038163,0.042126,0.005687,0,-0.00044656,0,1,0,1
2466,1.5628e+07,0.042564,0.00037777,0.042187,0.0056952,0,6.1598e-05,0,1,0,1
2504,1.5639e+07,0.042617,0.0022974,0.04032,0.0054431,0,-0.00042263,0,1,0,1
2547,1.5649e+07,0.042681,-0.00025915,0.04294,0.0057969,0,0.00075895,0,1,0,1
2587,1.5659e+07,0.042723,0.0023337,0.040389,0.0054526,0,-0.00029682,0,1,0,1
2628,1.5669e+07,0.042751,0.0016777,0.041073,0.0055449,0,0.0001561,0,1,0,1
2668,1.5679e+07,0.042824,-0.0013199,0.044144,0.0059594,0,0.00095886,0,1,0,1
2713,1.5689e+07,0.042979,-0.00034813,0.043327,0.0058492,0,-0.00022232,0,1,0,1
2754,1.5699e+07,0.043017,0.0014319,0.041585,0.005614,0,-0.00030142,0,1,0,1
2795,1.571e+07,0.043149,-0.00041421,0.043564,0.0058811,0,-1.8792e-05,0,1,0,1
2836,1.5719e+07,0.043241,-2.0755e-05,0.043261,0.0058403,0,1.7717e-05,0,1,0,1
2876,1.5729e+07,0.043297,-0.00026803,0.043565,0.0058812,0,4.0745e-05,0,1,0,1
2918,1.5739e+07,0.043309,-0.001531,0.04484,0.0060534,0,0.00046426,0,1,0,1
2960,1.5749e+07,0.043345,-0.0014026,0.044748,0.006041,0,-3.2818e-05,0,1,0,1
2999,1.5759e+07,0.04339,-0.0023426,0.045733,0.0061739,0,0.00033616,0,1,0,1
3041,1.577e+07,0.043457,-0.0015415,0.044999,0.0060749,0,-8.9742e-05,0,1,0,1
3081,1.578e+07,0.043516,5.5018e-05,0.043461,0.0058672,0,-0.00055424,0,1,0,1
3127,1.579e+07,0.043562,0.0010747,0.042487,0.0057357,0,-0.00033296,0,1,0,1
3169,1.58e+07,0.043563,0.0013273,0.042236,0.0057018,0,-6.7885e-05,0,1,0,1
3210,1.581e+07,0.043577,0.0023579,0.041219,0.0055646,0,-0.0004469,0,1,0,1
3251,1.582e+07,0.043578,0.00037881,0.043199,0.0058319,0,0.00046968,0,1,0,1
3293,1.5833e+07,0.043635,0.00086236,0.042773,0.0057743,0,-9.2742e-05,0,1,0,1
3330,1.5843e+07,0.043712,-0.00040961,0.044121,0.0059564,0,0.00030211,0,1,0,1
3372,1.5854e+07,0.043809,-0.00014677,0.043955,0.005934,0,0.00015499,0,1,0,1
3413,1.5864e+07,0.043922,-0.0017954,0.045717,0.0061718,0,0.00034953,0,1,0,1
3453,1.5873e+07,0.044056,-0.0030257,0.047081,0.006356,0,0.00035503,0,1,0,1
3494,1.5884e+07,0.044177,-0.0007773,0.044955,0.0060689,0,-0.0002097,0,1,0,1
3538,1.5893e+07,0.044292,-5.8969e-05,0.044351,0.0059873,0,-0.00034307,0,1,0,1
3579,1.5904e+07,0.044346,-0.00016775,0.044513,0.0060093,0,-7.1383e-05,0,1,0,1
3621,1.5914e+07,0.044381,0.0028106,0.041571,0.0056121,0,-0.00095451,0,1,0,1
3663,1.5924e+07,0.044329,0.00040132,0.043927,0.0059302,0,0.00062593,0,1,0,1
3701,1.5934e+07,0.044301,0.0012938,0.043007,0.0058059,0,-0.0001274,0,1,0,1
3738,1.5944e+07,0.044264,0.0011073,0.043156,0.0058261,0,-2.7155e-05,0,1,0,1
