LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
190,1.5037e+07,0.043628,0.0014504,0.042177,0.0056939,0,-0.00093917,0,1,0,1
293,1.5071e+07,0.043808,0.0011075,0.042701,0.0057646,0,0.00031698,0,1,0,1
635,1.5133e+07,0.04329,0.0013153,0.041975,0.0056666,0,-0.00012656,0,1,0,1
748,1.5149e+07,0.043222,-0.00057257,0.043795,0.0059123,0,0.00014254,0,1,0,1
861,1.5165e+07,0.043148,0.00051436,0.042634,0.0057556,0,-0.00014934,0,1,0,1
974,1.5182e+07,0.043127,-0.00044576,0.043573,0.0058823,0,0.00025706,0,1,0,1
1205,1.526e+07,0.043406,-0.00096722,0.044374,0.0059904,0,0.00014729,0,1,0,1
1589,1.5416e+07,0.043185,-0.00096711,0.044153,0.0059606,0,-0.00017479,0,1,0,1
1667,1.5426e+07,0.043224,-0.0015086,0.044733,0.006039,0,-7.2649e-05,0,1,0,1
1709,1.5437e+07,0.043296,-0.0027512,0.046047,0.0062164,0,0.00032436,0,1,0,1
1749,1.5447e+07,0.043362,-0.0023088,0.04567,0.0061655,0,0.00021889,0,1,0,1
1790,1.546e+07,0.043476,-0.001055,0.044531,0.0060117,0,-0.00017319,0,1,0,1
1833,1.5473e+07,0.043529,0.0029059,0.040623,0.0054841,0,-0.00080666,0,1,0,1
1875,1.5483e+07,0.043529,0.00069817,0.042831,0.0057821,0,-2.9663e-05,0,1,0,1
1920,1.5493e+07,0.043504,0.00062962,0.042874,0.005788,0,0.00022561,0,1,0,1
1960,1.5503e+07,0.043463,0.001135,0.042328,0.0057143,0,6.4239e-05,0,1,0,1
2001,1.5513e+07,0.043336,0.0032057,0.040131,0.0054176,0,-0.00037893,0,1,0,1
2042,1.5523e+07,0.043252,0.0014209,0.041831,0.0056472,0,-1.2399e-05,0,1,0,1
2088,1.5538e+07,0.043217,0.00040767,0.042809,0.0057792,0,8.8954e-05,0,1,0,1
2132,1.5548e+07,0.043273,-0.00024315,0.043517,0.0058747,0,1.4545e-05,0,1,0,1
2172,1.5558e+07,0.043373,-0.0014877,0.04486,0.0060562,0,9.568e-05,0,1,0,1
2213,1.5568e+07,0.043486,-0.0018043,0.04529,0.0061142,0,0.00010283,0,1,0,1
2254,1.5578e+07,0.043633,-0.0037603,0.047393,0.0063981,0,0.00059208,0,1,0,1
2298,1.5588e+07,0.043707,0.00026847,0.043439,0.0058643,0,-0.00071396,0,1,0,1
2340,1.5598e+07,0.043767,-0.0012082,0.044975,0.0060717,0,0.00015905,0,1,0,1
2381,1.5609e+07,0.043565,0.00032851,0.043237,0.005837,0,-0.00057723,0,1,0,1
2425,1.5619e+07,0.043192,-0.00040048,0.043592,0.005885,0,-0.00033665,0,1,0,1
2465,1.5628e+07,0.042647,0.0010325,0.041615,0.005618,0,-0.00023935,0,1,0,1
2503,1.5639e+07,0.042033,0.0029172,0.039116,0.0052806,0,-0.00070975,0,1,0,1
2546,1.5649e+07,0.041365,0.00017956,0.041185,0.00556,0,0.00059522,0,1,0,1
2586,1.5659e+07,0.040708,0.0024215,0.038286,0.0051687,0,-0.00038474,0,1,0,1
2627,1.5669e+07,0.040061,0.0014772,0.038583,0.0052088,0,-0.00012238,0,1,0,1
2667,1.5679e+07,0.039428,0.0025459,0.036882,0.0049791,0,-0.0004113,0,1,0,1
2712,1.5689e+07,0.038867,0.00028555,0.038581,0.0052085,0,0.00042347,0,1,0,1
2753,1.5699e+07,0.03831,-0.0001023,0.038412,0.0051857,0,9.0666e-05,0,1,0,1
2794,1.571e+07,0.037749,0.0011231,0.036626,0.0049445,0,3.5755e-05,0,1,0,1
2835,1.5719e+07,0.037168,0.00056883,0.036599,0.0049409,0,0.00024318,0,1,0,1
2875,1.5729e+07,0.03669,-0.00095167,0.037642,0.0050816,0,6.442e-05,0,1,0,1
2917,1.5739e+07,0.036305,-0.0040277,0.040332,0.0054449,0,0.00052607,0,1,0,1
2959,1.5749e+07,0.035952,-0.0035058,0.039457,0.0053268,0,0.00023808,0,1,0,1
2998,1.5759e+07,0.035608,-0.0024089,0.038017,0.0051323,0,-0.0001759,0,1,0,1
3040,1.577e+07,0.035258,-0.0024686,0.037727,0.0050931,0,-6.5004e-05,0,1,0,1
3080,1.578e+07,0.03489,-0.0013201,0.03621,0.0048883,0,-0.00049511,0,1,0,1
3126,1.579e+07,0.034396,0.00087329,0.033522,0.0045255,0,-0.00061611,0,1,0,1
3168,1.58e+07,0.033862,-5.2811e-05,0.033914,0.0045784,0,-0.00016932,0,1,0,1
3209,1.581e+07,0.033313,0.00056357,0.03275,0.0044212,0,-0.00032327,0,1,0,1
3250,1.582e+07,0.032742,0.0022881,0.030454,0.0041113,0,-0.00087277,0,1,0,1
3292,1.5833e+07,0.032044,0.0011799,0.030864,0.0041667,0,-0.00035278,0,1,0,1
3329,1.5843e+07,0.031501,0.0048188,0.026682,0.0036021,0,-0.0011602,0,1,0,1
3371,1.5854e+07,0.030936,0.0021541,0.028781,0.0038855,0,-0.0001802,0,1,0,1
3412,1.5864e+07,0.030437,-0.002987,0.033424,0.0045122,0,0.001207,0,1,0,1
3452,1.5873e+07,0.030016,0.00017048,0.029846,0.0040292,0,-0.0005102,0,1,0,1
3493,1.5884e+07,0.029523,0.0011249,0.028398,0.0038338,0,-0.00042965,0,1,0,1
3537,1.5893e+07,0.029025,0.00033581,0.02869,0.0038731,0,-0.00019883,0,1,0,1
3578,1.5904e+07,0.028595,-0.0025084,0.031103,0.0041989,0,0.00019958,0,1,0,1
3620,1.5914e+07,0.02814,-0.0016644,0.029804,0.0040235,0,-1.7321e-05,0,1,0,1
3662,1.5924e+07,0.027654,-0.0020248,0.029679,0.0040066,0,0.0001503,0,1,0,1
3700,1.5934e+07,0.027235,-0.0034792,0.030714,0.0041464,0,0.00033675,0,1,0,1
3737,1.5944e+07,0.026902,-0.0018373,0.028739,0.0038798,0,-0.00034068,0,1,0,1
3779,1.5954e+07,0.026444,0.0008387,0.025606,0.0034568,0,-0.00067175,0,1,0,1
3820,1.5964e+07,0.025936,-0.00039631,0.026332,0.0035548,0,0.00012515,0,1,0,1
3860,1.5974e+07,0.025383,0.0029868,0.022396,0.0030235,0,-0.00086833,0,1,0,1
3901,1.5984e+07,0.024833,0.0011591,0.023674,0.003196,0,6.1764e-05,0,1,0,1
3945,1.5994e+07,0.024245,0.0024319,0.021813,0.0029448,0,-0.00027224,0,1,0,1
3986,1.6004e+07,0.023587,0.0059415,0.017646,0.0023822,0,-0.0010545,0,1,0,1
4027,1.6014e+07,0.022937,0.0012455,0.021692,0.0029284,0,0.00066574,0,1,0,1
4070,1.6024e+07,0.022312,0.0032491,0.019062,0.0025734,0,-0.00047326,0,1,0,1
4111,1.6034e+07,0.021684,0.0017915,0.019893,0.0026855,0,-9.2937e-05,0,1,0,1
4148,1.6044e+07,0.021048,0.0033693,0.017679,0.0023866,0,-0.000168,0,1,0,1
4190,1.6054e+07,0.020499,4.8582e-05,0.02045,0.0027608,0,0.00069511,0,1,0,1
4234,1.6067e+07,0.01987,-0.0020659,0.021936,0.0029613,0,0.00050244,0,1,0,1
4276,1.6077e+07,0.019463,-0.0015854,0.021048,0.0028415,0,-0.00047598,0,1,0,1
4316,1.6087e+07,0.019055,-0.0023404,0.021396,0.0028884,0,-6.0277e-05,0,1,0,1
4361,1.6097e+07,0.018685,-0.002833,0.021518,0.0029049,0,-0.00013104,0,1,0,1
4402,1.6107e+07,0.018338,-0.0037134,0.022052,0.002977,0,-6.1456e-06,0,1,0,1
4442,1.6117e+07,0.017949,-0.0018108,0.01976,0.0026675,0,-0.00022607,0,1,0,1
4488,1.6133e+07,0.017269,-0.00070834,0.017977,0.0024269,0,-0.00015506,0,1,0,1
4531,1.6145e+07,0.016707,-0.00085941,0.017566,0.0023715,0,-0.00027183,0,1,0,1
4571,1.6155e+07,0.016249,-0.0019975,0.018246,0.0024633,0,0.0002005,0,1,0,1
4612,1.6166e+07,0.015738,0.0020611,0.013677,0.0018464,0,-0.00098073,0,1,0,1
4654,1.6175e+07,0.015173,0.0025131,0.012659,0.001709,0,-0.00062713,0,1,0,1
4694,1.6185e+07,0.014592,0.0016198,0.012973,0.0017513,0,-0.00012917,0,1,0,1
4739,1.6196e+07,0.014051,0.0013731,0.012678,0.0017116,0,-0.00039444,0,1,0,1
4779,1.6205e+07,0.013436,0.0051825,0.0082537,0.0011142,0,-0.0012723,0,1,0,1
4821,1.6215e+07,0.012796,0.00079075,0.012005,0.0016207,0,0.00074591,0,1,0,1
4861,1.6226e+07,0.012258,0.00060597,0.011652,0.001573,0,-0.00017202,0,1,0,1
4902,1.6236e+07,0.011692,0.0015864,0.010105,0.0013642,0,-0.00030214,0,1,0,1
4940,1.6245e+07,0.011159,-0.0018543,0.013013,0.0017567,0,0.00083416,0,1,0,1
4977,1.6255e+07,0.010741,-0.0029308,0.013672,0.0018457,0,0.0002117,0,1,0,1
5019,1.6265e+07,0.010341,-0.0013164,0.011657,0.0015737,0,-0.00057928,0,1,0,1
5061,1.6276e+07,0.0098767,-0.0012385,0.011115,0.0015006,0,6.6265e-05,0,1,0,1
5101,1.6285e+07,0.0094783,-0.0036558,0.013134,0.0017731,0,0.00049391,0,1,0,1
5146,1.6295e+07,0.0091216,-0.0019282,0.01105,0.0014917,0,-0.00056411,0,1,0,1
5187,1.6305e+07,0.0087552,-0.00096532,0.0097205,0.0013123,0,-0.00088687,0,1,0,1
5228,1.6315e+07,0.0083216,-0.0012979,0.0096195,0.0012986,0,-0.00010324,0,1,0,1
5268,1.6325e+07,0.0078623,0.0002741,0.0075882,0.0010244,0,-0.00046918,0,1,0,1
5311,1.6338e+07,0.0072508,0.0021996,0.0050513,0.00068192,0,-0.00063209,0,1,0,1
5348,1.6348e+07,0.0070003,0.0032191,0.0037812,0.00051046,0,-0.0010533,0,1,0,1
5393,1.636e+07,0.0068294,0.00029836,0.0065311,0.00088169,0,0.00051254,0,1,0,1
5434,1.6371e+07,0.0067835,0.0022291,0.0045544,0.00061485,0,-0.00059927,0,1,0,1
5474,1.6381e+07,0.0066661,0.0037718,0.0028942,0.00039072,0,-0.00043339,0,1,0,1
5516,1.639e+07,0.0065476,0.00087089,0.0056767,0.00076635,0,0.00072609,0,1,0,1
5560,1.64e+07,0.0065135,-5.0114e-05,0.0065637,0.00088609,0,0.00036065,0,1,0,1
5602,1.641e+07,0.0064493,0.0026728,0.0037766,0.00050984,0,-0.00043078,0,1,0,1
5643,1.642e+07,0.0064262,-0.0012706,0.0076968,0.0010391,0,0.0008136,0,1,0,1
5683,1.643e+07,0.0064655,-0.00014545,0.0066109,0.00089248,0,-0.0002375,0,1,0,1
5718,1.644e+07,0.00652,-0.0013559,0.0078759,0.0010632,0,0.00012607,0,1,0,1
5759,1.6451e+07,0.0065748,-0.0012698,0.0078446,0.001059,0,0.00013281,0,1,0,1
5800,1.6462e+07,0.0066872,-0.0047617,0.011449,0.0015456,0,0.0010591,0,1,0,1
5840,1.6471e+07,0.0068334,-0.0038557,0.010689,0.001443,0,0.00044634,0,1,0,1
5882,1.6481e+07,0.0069989,-0.0033099,0.010309,0.0013917,0,8.6189e-05,0,1,0,1
5924,1.6492e+07,0.0071249,-0.00071858,0.0078435,0.0010589,0,-0.00059158,0,1,0,1
5968,1.6501e+07,0.0071769,0.0016732,0.0055037,0.000743,0,-0.00096887,0,1,0,1
6009,1.6511e+07,0.0071499,0.0024135,0.0047364,0.00063941,0,-0.00065912,0,1,0,1
6051,1.6522e+07,0.0070797,0.0022135,0.0048663,0.00065695,0,-0.00025774,0,1,0,1
6095,1.6532e+07,0.0069121,0.0055666,0.0013455,0.00018164,0,-0.00067933,0,1,0,1
6132,1.6542e+07,0.0067129,0.0048552,0.0018577,0.00025079,0,-0.0001557,0,1,0,1
6172,1.6552e+07,0.0064785,0.0045319,0.0019466,0.00026279,0,0.00015258,0,1,0,1
6212,1.6563e+07,0.0062274,0.006312,-8.4611e-05,-1.1422e-05,0,-0.00031225,0,1,0,1
6253,1.6572e+07,0.0060442,0.0035678,0.0024763,0.00033431,0,0.00019104,0,1,0,1
