LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
192,1.5037e+07,3.8273,0.0025669,3.599,0.64782,0,0,0,1,0,1
295,1.5071e+07,4.2302,0.0062446,3.7434,0.67382,0,0,0,1,0,1
637,1.5133e+07,4.573,0.0066829,4.0116,0.7221,0,0,0,1,0,1
750,1.5149e+07,4.642,0.0046432,4.0817,0.73471,0,0,0,1,0,1
863,1.5165e+07,4.707,0.0046342,4.1513,0.74723,0,0,0,1,0,1
976,1.5182e+07,4.7685,0.004087,4.22,0.75961,0,0,0,1,0,1
1207,1.526e+07,4.8492,0.0089307,4.4332,0.79798,0,0,0,1,0,1
1591,1.5416e+07,4.8505,0.005605,4.6722,0.841,0,0,0,1,0,1
1669,1.5426e+07,4.8505,0.0044258,4.6924,0.84462,0,0,0,1,0,1
1711,1.5437e+07,4.8505,0.0045767,4.7102,0.84784,0,0,0,1,0,1
1751,1.5447e+07,4.8505,0.0058943,4.726,0.85067,0,0,0,1,0,1
1792,1.546e+07,4.8505,0.0056609,4.743,0.85374,0,0,0,1,0,1
1835,1.5473e+07,4.8505,0.0047217,4.7576,0.85637,0,0,0,1,0,1
1877,1.5483e+07,4.8505,0.0081387,4.7678,0.8582,0,0,0,1,0,1
1922,1.5493e+07,4.8505,0.0061128,4.7765,0.85977,0,0,0,1,0,1
1962,1.5503e+07,4.8505,0.0071491,4.7844,0.86119,0,0,0,1,0,1
2003,1.5513e+07,4.8505,0.002828,4.7916,0.86248,0,0,0,1,0,1
2044,1.5523e+07,4.8505,0.0045043,4.798,0.86364,0,0,0,1,0,1
2090,1.5538e+07,4.8505,0.0043825,4.8061,0.8651,0,0,0,1,0,1
2134,1.5548e+07,4.8505,0.0054646,4.8106,0.86591,0,0,0,1,0,1
2174,1.5558e+07,4.8505,0.0046368,4.8147,0.86665,0,0,0,1,0,1
2215,1.5568e+07,4.8505,0.0051061,4.8183,0.8673,0,0,0,1,0,1
2256,1.5578e+07,4.8505,0.0041242,4.8215,0.86787,0,0,0,1,0,1
2300,1.5588e+07,4.8505,0.009009,4.8241,0.86834,0,0,0,1,0,1
2342,1.5599e+07,4.8505,0.0065886,4.8263,0.86874,0,0,0,1,0,1
2383,1.5609e+07,4.8257,0.0077195,4.8267,0.86881,0,0,0,1,0,1
2427,1.5619e+07,4.784,0.007079,4.8228,0.86811,0,0,0,1,0,1
2467,1.5628e+07,4.7373,0.006454,4.814,0.86652,0,0,0,1,0,1
2505,1.5639e+07,4.6892,0.0048231,4.8009,0.86417,0,0,0,1,0,1
2548,1.5649e+07,4.6407,0.0060413,4.7837,0.86107,0,0,0,1,0,1
2588,1.5659e+07,4.592,0.0035466,4.7628,0.85731,0,0,0,1,0,1
2629,1.5669e+07,4.5433,0.0034686,4.739,0.85302,0,0,0,1,0,1
