LineNo,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
208,1.5038e+07,43.601,13.482,86.31,-0.10738,-0.99555
311,1.5072e+07,43.601,13.482,86.31,-0.10738,-0.84452
653,1.5134e+07,43.601,13.482,86.24,-0.10738,-0.71129
766,1.515e+07,43.601,13.482,86.24,-0.22606,-0.66999
879,1.5165e+07,43.601,13.482,86.24,-0.22606,-0.63049
992,1.5183e+07,43.601,13.482,86.24,-0.22606,-0.59258
1223,1.5261e+07,43.601,13.482,86.24,-0.22606,-0.48316
1607,1.5416e+07,43.601,13.482,86.17,-0.13563,-0.24298
1685,1.5427e+07,43.601,13.482,86.17,-0.13563,-0.21541
1727,1.5437e+07,43.601,13.482,86.17,-0.13563,-0.18948
1767,1.5447e+07,43.601,13.482,86.17,-0.13563,-0.16469
1808,1.5461e+07,43.601,13.482,86.17,-0.13563,-0.13986
1851,1.5473e+07,43.601,13.482,86.17,-0.13563,-0.11611
1893,1.5484e+07,43.601,13.482,86.17,-0.13563,-0.094735
1938,1.5493e+07,43.601,13.482,86.17,-0.23736,-0.089986
1978,1.5503e+07,43.601,13.482,86.17,-0.23736,-0.069434
2019,1.5513e+07,43.601,13.482,86.17,-0.23736,-0.049771
2062,1.5524e+07,43.601,13.482,86.17,-0.23736,-0.030917
2106,1.5539e+07,43.601,13.482,86.17,-0.23736,-0.010561
2150,1.5549e+07,43.601,13.482,86.1,-0.23736,0.0061874
2190,1.5559e+07,43.601,13.482,86.1,-0.23736,0.022253
2231,1.5569e+07,43.601,13.482,86.1,-0.23736,0.02702
2272,1.5579e+07,43.601,13.482,86.1,-0.23736,0.042524
2316,1.5589e+07,43.601,13.482,86.1,-0.23736,0.057432
2358,1.5599e+07,43.601,13.482,86.1,-0.22041,0.071748
2399,1.5609e+07,43.601,13.482,86.1,-0.22041,0.08553
2443,1.5619e+07,43.601,13.482,86.1,-0.22041,0.0903
2483,1.5629e+07,43.601,13.482,86.1,-0.22041,0.10355
2521,1.564e+07,43.601,13.482,86.1,-0.22041,0.1157
2564,1.565e+07,43.601,13.482,86.1,-0.22041,0.12786
2604,1.566e+07,43.601,13.482,86.1,-0.22041,0.13912
2645,1.567e+07,43.601,13.482,86.1,-0.22041,0.14388
2685,1.568e+07,43.601,13.482,86.1,-0.22041,0.1548
2730,1.569e+07,43.601,13.482,86.1,-0.22041,0.16535
2771,1.57e+07,43.601,13.482,86.1,0.096074,0.17553
2812,1.571e+07,43.601,13.482,86.1,0.096074,0.18539
2853,1.572e+07,43.601,13.482,86.1,0.096074,0.19014
2893,1.573e+07,43.601,13.482,86.1,0.096074,0.19968
2935,1.574e+07,43.601,13.482,86.1,0.096074,0.20888
2977,1.575e+07,43.601,13.482,86.01,0.096074,0.21779
3016,1.576e+07,43.601,13.482,86.01,0.096074,0.22689
3058,1.577e+07,43.601,13.482,86.01,0.096074,0.23526
3098,1.578e+07,43.601,13.482,86.01,0.096074,0.24
3144,1.579e+07,43.601,13.482,86.01,0.096074,0.24814
3186,1.58e+07,43.601,13.482,86.01,-0.096074,0.25604
3227,1.581e+07,43.601,13.482,86.01,-0.096074,0.26327
3268,1.5821e+07,43.601,13.482,86.01,-0.096074,0.27076
3310,1.5833e+07,43.601,13.482,86.01,-0.096074,0.27937
3347,1.5844e+07,43.601,13.482,86.01,-0.096074,0.28639
3389,1.5854e+07,43.601,13.482,86.01,-0.096074,0.29278
3430,1.5864e+07,43.601,13.482,86.01,-0.096074,0.29752
3470,1.5874e+07,43.601,13.482,86.01,-0.096074,0.30378
3511,1.5884e+07,43.601,13.482,86.01,-0.096074,0.30991
3555,1.5894e+07,43.601,13.482,86.01,-0.016954,0.31591
3596,1.5904e+07,43.601,13.482,86.01,-0.016954,0.32181
3638,1.5914e+07,43.601,13.482,86.01,-0.016954,0.32655
3680,1.5924e+07,43.601,13.482,86.01,-0.016954,0.33233
3718,1.5934e+07,43.601,13.482,85.95,-0.016954,0.33754
3755,1.5945e+07,43.601,13.482,85.95,-0.016954,0.34269
3797,1.5955e+07,43.601,13.482,85.95,-0.016954,0.34823
3838,1.5965e+07,43.601,13.482,85.95,-0.016954,0.35295
3878,1.5975e+07,43.601,13.482,85.95,-0.016954,0.35792
3919,1.5985e+07,43.601,13.482,85.95,-0.016954,0.36284
3963,1.5995e+07,43.601,13.482,85.95,0.22041,0.36768
4004,1.6005e+07,43.601,13.482,85.95,0.22041,0.37248
4047,1.6015e+07,43.601,13.482,85.95,0.22041,0.37719
4088,1.6025e+07,43.601,13.482,85.95,0.22041,0.38192
4129,1.6035e+07,43.601,13.482,85.95,0.22041,0.3866
4166,1.6045e+07,43.601,13.482,85.95,0.22041,0.3912
4208,1.6055e+07,43.601,13.482,85.95,0.22041,0.39575
4252,1.6067e+07,43.601,13.482,85.95,0.22041,0.40119
4294,1.6078e+07,43.601,13.482,85.95,0.22041,0.40611
4334,1.6088e+07,43.601,13.482,85.95,0.22041,0.4108
4379,1.6097e+07,43.601,13.482,85.95,0.35321,0.41521
4420,1.6108e+07,43.601,13.482,85.95,0.35321,0.41959
4460,1.6118e+07,43.601,13.482,85.95,0.35321,0.42393
4506,1.6133e+07,43.601,13.482,85.89,0.35321,0.43079
4549,1.6145e+07,43.601,13.482,85.89,0.35321,0.43669
4589,1.6156e+07,43.601,13.482,85.89,0.35321,0.44114
4630,1.6166e+07,43.601,13.482,85.89,0.35321,0.44556
4672,1.6176e+07,43.601,13.482,85.89,0.35321,0.45025
4712,1.6186e+07,43.601,13.482,85.89,0.35321,0.45464
4757,1.6196e+07,43.601,13.482,85.89,0.19497,0.45901
4797,1.6206e+07,43.601,13.482,85.89,0.19497,0.46335
4839,1.6216e+07,43.601,13.482,85.89,0.19497,0.46768
4879,1.6226e+07,43.601,13.482,85.89,0.19497,0.47238
4920,1.6236e+07,43.601,13.482,85.89,0.19497,0.47668
4958,1.6246e+07,43.601,13.482,85.89,0.19497,0.48064
4995,1.6256e+07,43.601,13.482,85.89,0.19497,0.48461
5037,1.6266e+07,43.601,13.482,85.89,0.19497,0.48932
5079,1.6276e+07,43.601,13.482,85.89,0.19497,0.49327
5119,1.6286e+07,43.601,13.482,85.89,0.19497,0.4972
5164,1.6296e+07,43.601,13.482,85.89,0.11868,0.50113
5205,1.6306e+07,43.601,13.482,85.89,0.11868,0.50506
5246,1.6316e+07,43.601,13.482,85.89,0.11868,0.50898
5286,1.6326e+07,43.601,13.482,85.89,0.11868,0.51368
5329,1.6338e+07,43.601,13.482,85.81,0.11868,0.51854
5366,1.6348e+07,43.601,13.482,85.81,0.11868,0.52184
5411,1.636e+07,43.601,13.482,85.81,0.11868,0.52658
5452,1.6371e+07,43.601,13.482,85.81,0.11868,0.52992
5492,1.6381e+07,43.601,13.482,85.81,0.11868,0.5333
5534,1.6391e+07,43.601,13.482,85.81,0.11868,0.53799
5578,1.6401e+07,43.601,13.482,85.81,0,0.54138
5620,1.6411e+07,43.601,13.482,85.81,0,0.54478
5661,1.6421e+07,43.601,13.482,85.81,0,0.5482
5701,1.6431e+07,43.601,13.482,85.81,0,0.55163
5736,1.6441e+07,43.601,13.482,85.81,0,0.55403
5777,1.6452e+07,43.601,13.482,85.81,0,0.55649
5818,1.6462e+07,43.601,13.482,85.81,0,0.55947
5858,1.6472e+07,43.601,13.482,85.81,0,0.56414
5900,1.6481e+07,43.601,13.482,85.81,0,0.5667
5942,1.6492e+07,43.601,13.482,85.81,0,0.56932
5986,1.6502e+07,43.601,13.482,85.81,0.22606,0.57199
6029,1.6512e+07,43.601,13.482,85.81,0.22606,0.5747
6069,1.6522e+07,43.601,13.482,85.81,0.22606,0.57934
6113,1.6533e+07,43.601,13.482,85.81,0.22606,0.5821
6150,1.6543e+07,43.601,13.482,85.74,0.22606,0.58485
6190,1.6553e+07,43.601,13.482,85.74,0.22606,0.58719
6230,1.6563e+07,43.601,13.482,85.74,0.22606,0.5896
6271,1.6573e+07,43.601,13.482,85.74,0.22606,0.59421
6312,1.6583e+07,43.601,13.482,85.74,0.22606,0.59668
6353,1.6593e+07,43.601,13.482,85.74,0.22606,0.5992
6401,1.6603e+07,43.601,13.482,85.74,0.11868,0.60177
6443,1.6614e+07,43.601,13.482,85.74,0.11868,0.60637
6484,1.6623e+07,43.601,13.482,85.74,0.11868,0.609
6525,1.6633e+07,43.601,13.482,85.74,0.11868,0.61168
6563,1.6646e+07,43.601,13.482,85.74,0.11868,0.61486
6604,1.6656e+07,43.601,13.482,85.74,0.11868,0.61675
6644,1.6666e+07,43.601,13.482,85.74,0.11868,0.61871
6686,1.6676e+07,43.601,13.482,85.74,0.11868,0.62075
6726,1.6685e+07,43.601,13.482,85.74,0.11868,0.62531
6771,1.6696e+07,43.601,13.482,85.74,0.11868,0.62742
6813,1.6705e+07,43.601,13.482,85.74,-0.15824,0.6296
6854,1.6716e+07,43.601,13.482,85.74,-0.15824,0.63185
6895,1.6726e+07,43.601,13.482,85.74,-0.15824,0.63639
6937,1.6735e+07,43.601,13.482,85.69,-0.15824,0.6387
6972,1.6746e+07,43.601,13.482,85.69,-0.15824,0.63968
7012,1.6756e+07,43.601,13.482,85.69,-0.15824,0.64123
7053,1.6766e+07,43.601,13.482,85.69,-0.15824,0.64575
7094,1.6776e+07,43.601,13.482,85.69,-0.15824,0.64695
7135,1.6786e+07,43.601,13.482,85.69,-0.15824,0.64825
7182,1.6797e+07,43.601,13.482,85.69,-0.15824,0.64967
7223,1.6806e+07,43.601,13.482,85.69,-0.31648,0.65416
7265,1.6816e+07,43.601,13.482,85.69,-0.31648,0.65566
7306,1.6826e+07,43.601,13.482,85.69,-0.31648,0.65725
7346,1.6836e+07,43.601,13.482,85.69,-0.31648,0.65893
7387,1.6846e+07,43.601,13.482,85.69,-0.31648,0.6634
7424,1.6856e+07,43.601,13.482,85.69,-0.31648,0.66416
7465,1.6866e+07,43.601,13.482,85.69,-0.31648,0.66461
7507,1.6877e+07,43.601,13.482,85.69,-0.31648,0.66519
7547,1.6887e+07,43.601,13.482,85.69,-0.31648,0.6659
7591,1.6897e+07,43.601,13.482,85.69,-0.31648,0.67032
7633,1.6907e+07,43.601,13.482,85.69,-0.42951,0.67114
7675,1.6917e+07,43.601,13.482,85.69,-0.42951,0.67207
7716,1.6927e+07,43.601,13.482,85.69,-0.42951,0.67312
7758,1.694e+07,43.601,13.482,85.64,-0.42951,0.67414
7799,1.695e+07,43.601,13.482,85.64,-0.42951,0.674
7836,1.696e+07,43.601,13.482,85.64,-0.42951,0.67836
7878,1.697e+07,43.601,13.482,85.64,-0.42951,0.67836
7918,1.698e+07,43.601,13.482,85.64,-0.42951,0.67851
7959,1.699e+07,43.601,13.482,85.64,-0.42951,0.6788
8005,1.7e+07,43.601,13.482,85.64,-0.31083,0.67923
8049,1.701e+07,43.601,13.482,85.64,-0.31083,0.68354
8090,1.702e+07,43.601,13.482,85.64,-0.31083,0.68409
8130,1.703e+07,43.601,13.482,85.64,-0.31083,0.68477
8168,1.704e+07,43.601,13.482,85.64,-0.31083,0.6841
8205,1.7051e+07,43.601,13.482,85.64,-0.31083,0.68361
8246,1.7061e+07,43.601,13.482,85.64,-0.31083,0.68372
8286,1.7071e+07,43.601,13.482,85.64,-0.31083,0.68797
8328,1.7081e+07,43.601,13.482,85.64,-0.31083,0.6878
8370,1.7091e+07,43.601,13.482,85.64,-0.31083,0.68778
8414,1.7101e+07,43.601,13.482,85.64,0.14694,0.6879
8455,1.7111e+07,43.601,13.482,85.64,0.14694,0.69212
8497,1.7121e+07,43.601,13.482,85.64,0.14694,0.69238
8538,1.7131e+07,43.601,13.482,85.64,0.14694,0.69277
8578,1.7141e+07,43.601,13.482,85.59,0.14694,0.69215
8618,1.7153e+07,43.601,13.482,85.59,0.14694,0.69253
8659,1.7164e+07,43.601,13.482,85.59,0.14694,0.69224
8699,1.7173e+07,43.601,13.482,85.59,0.14694,0.69638
8740,1.7183e+07,43.601,13.482,85.59,0.14694,0.69625
8781,1.7193e+07,43.601,13.482,85.59,0.14694,0.69628
8825,1.7204e+07,43.601,13.482,85.59,0.44929,0.69645
8866,1.7214e+07,43.601,13.482,85.59,0.44929,0.69677
8906,1.7224e+07,43.601,13.482,85.59,0.44929,0.69761
8948,1.7233e+07,43.601,13.482,85.59,0.44929,0.7017
8985,1.7244e+07,43.601,13.482,85.59,0.44929,0.70196
9023,1.7254e+07,43.601,13.482,85.59,0.44929,0.70235
9064,1.7264e+07,43.601,13.482,85.59,0.44929,0.70287
9104,1.7274e+07,43.601,13.482,85.59,0.44929,0.70692
9145,1.7284e+07,43.601,13.482,85.59,0.44929,0.70756
9185,1.7294e+07,43.601,13.482,85.59,0.44929,0.70833
9230,1.7304e+07,43.601,13.482,85.59,0.0028257,0.70921
9265,1.7334e+07,43.601,13.482,85.59,0.0028257,0.71533
9308,1.7344e+07,43.601,13.482,85.53,0.0028257,0.7165
9345,1.7354e+07,43.601,13.482,85.53,0.0028257,0.71628
9383,1.7364e+07,43.601,13.482,85.53,0.0028257,0.72028
9424,1.7374e+07,43.601,13.482,85.53,0.0028257,0.72018
9464,1.7384e+07,43.601,13.482,85.53,0.0028257,0.72024
9506,1.7394e+07,43.601,13.482,85.53,0.0028257,0.72044
9550,1.7404e+07,43.601,13.482,85.53,-0.067817,0.72077
