LineNo,TimeUS,RSSI,RemRSSI,TxBuf,Noise,RemNoise,RxErrors,Fixed
3238,1.5812e+07,0,0,100,95,0,0,0
7850,1.6965e+07,0,0,100,95,0,0,0
11498,1.7889e+07,0,0,100,96,0,0,0
15216,1.8813e+07,0,0,100,98,0,0,0
19836,1.997e+07,0,0,100,93,0,0,0
23575,2.0894e+07,0,0,100,93,0,0,0
27300,2.1818e+07,0,0,100,93,0,0,0
32201,2.2973e+07,0,0,100,93,0,0,0
36187,2.3897e+07,0,0,100,97,0,0,0
40200,2.483e+07,0,0,100,91,0,0,0
45070,2.5979e+07,0,0,100,95,0,0,0
48911,2.6904e+07,0,0,100,92,0,0,0
52780,2.7828e+07,0,0,100,90,0,0,0
57633,2.8984e+07,0,0,100,96,0,0,0
61476,2.9909e+07,0,0,100,95,0,0,0
65367,3.0832e+07,0,0,100,97,0,0,0
70200,3.1989e+07,0,0,100,92,0,0,0
74071,3.2912e+07,0,0,100,91,0,0,0
77907,3.3837e+07,0,0,100,90,0,0,0
82734,3.4994e+07,0,0,100,93,0,0,0
86574,3.592e+07,0,0,100,91,0,0,0
90422,3.6841e+07,0,0,100,93,0,0,0
95283,3.7997e+07,0,0,100,90,0,0,0
99116,3.8922e+07,0,0,100,93,0,0,0
1.0299e+05,3.9847e+07,0,0,100,97,0,0,0
1.0777e+05,4.1001e+07,0,0,100,96,0,0,0
1.1167e+05,4.1926e+07,0,0,100,94,0,0,0
1.1551e+05,4.2858e+07,22,0,100,89,0,0,0
1.2035e+05,4.4005e+07,52,0,100,91,0,0,0
1.2426e+05,4.4931e+07,68,0,100,92,0,0,0
1.2809e+05,4.5856e+07,77,0,100,92,0,0,0
1.328e+05,4.7011e+07,82,0,100,93,0,0,0
1.3664e+05,4.7934e+07,85,0,100,90,0,0,0
1.4047e+05,4.8858e+07,87,0,100,90,0,0,0
1.4528e+05,5.0016e+07,88,0,100,89,0,0,0
1.4911e+05,5.0939e+07,88,0,100,94,0,0,0
1.5297e+05,5.1864e+07,88,0,100,96,0,0,0
1.5778e+05,5.3017e+07,88,0,100,91,0,0,0
1.6167e+05,5.3942e+07,88,0,100,90,0,0,0
1.6551e+05,5.4866e+07,88,0,100,89,0,0,0
1.6934e+05,5.579e+07,88,0,100,95,0,0,0
1.7426e+05,5.6948e+07,88,0,100,93,0,0,0
1.7815e+05,5.787e+07,88,0,100,88,0,0,0
1.8198e+05,5.8797e+07,88,0,100,91,0,0,0
1.8679e+05,5.995e+07,88,0,100,91,0,0,0
1.9062e+05,6.0875e+07,88,0,100,88,0,0,0
1.9446e+05,6.1801e+07,88,0,100,94,0,0,0
1.9923e+05,6.2957e+07,88,0,100,95,0,0,0
2.0303e+05,6.3879e+07,88,0,100,90,0,0,0
2.0693e+05,6.4806e+07,88,0,100,91,0,0,0
2.1179e+05,6.5961e+07,88,0,100,89,0,0,0
2.1568e+05,6.6886e+07,88,0,100,90,0,0,0
2.1952e+05,6.781e+07,88,0,100,95,0,0,0
2.2437e+05,6.8966e+07,88,0,100,90,0,0,0
2.2826e+05,6.9891e+07,88,0,100,92,0,0,0
2.3211e+05,7.0815e+07,88,0,100,92,0,0,0
2.3693e+05,7.197e+07,88,0,100,95,0,0,0
2.4089e+05,7.2894e+07,88,0,100,98,0,0,0
2.4485e+05,7.3819e+07,88,0,100,97,0,0,0
2.4977e+05,7.4973e+07,88,0,100,90,0,0,0
2.5371e+05,7.5899e+07,88,0,100,85,0,0,0
2.5767e+05,7.6823e+07,88,0,100,103,0,0,0
2.6263e+05,7.7979e+07,88,0,100,107,0,0,0
2.666e+05,7.8904e+07,88,0,100,91,0,0,0
2.7057e+05,7.9827e+07,88,0,100,91,0,0,0
2.7552e+05,8.0984e+07,88,0,100,90,0,0,0
2.7946e+05,8.1909e+07,88,0,100,84,0,0,0
2.8342e+05,8.2833e+07,88,0,100,83,0,0,0
2.8837e+05,8.399e+07,88,0,100,86,0,0,0
2.923e+05,8.4913e+07,88,0,100,93,0,0,0
2.9623e+05,8.5836e+07,88,0,100,84,0,0,0
3.0119e+05,8.6994e+07,88,0,100,83,0,0,0
