LineNo,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
189,1.5037e+07,2.5055,0.083102,0.0047548,2.4278,-0.18687,0.0067245,227.46,0.14707,0.64782,1.8473,1.8473,0
292,1.5071e+07,2.5101,0.063569,0.0060816,2.4469,0.026968,0.005012,248.04,0.35683,0.67382,5.3655,5.3655,0
634,1.5133e+07,2.4744,0.075362,0.00554,2.4461,0.060481,0.0055849,265.83,0.3829,0.7221,-1.2229,-1.2229,0
747,1.5149e+07,2.475,-0.032806,0.0060548,2.435,0.10047,0.0052755,269.55,0.26604,0.73471,-0.93632,-0.93632,0
860,1.5165e+07,2.4706,0.029471,0.0056062,2.4298,-0.021946,0.0064838,273.07,0.26552,0.74723,0.32701,0.32701,0
973,1.5182e+07,2.4723,-0.02554,0.0061394,2.4275,0.022234,0.0057539,276.43,0.23417,0.75961,3.0453,3.0453,0
1204,1.526e+07,2.4907,-0.055418,0.0061377,2.4588,-0.0070913,0.0058042,277.91,0.51169,0.79798,1.4705,1.4705,0
1588,1.5416e+07,2.4746,-0.055411,0.0057858,2.4401,0.090326,0.0052646,277.91,0.32114,0.841,2.1519,2.1519,0
1666,1.5426e+07,2.4775,-0.086439,0.0059663,2.4337,0.057641,0.0054972,277.91,0.25358,0.84462,1.5159,1.5159,0
1708,1.5437e+07,2.483,-0.15763,0.0065407,2.4258,0.02206,0.0056908,277.91,0.26223,0.84784,1.9758,1.9758,0
1748,1.5447e+07,2.4923,-0.13229,0.0063844,2.4241,-0.075791,0.0065845,277.91,0.33772,0.85067,2.0931,2.0931,0
1789,1.546e+07,2.4968,-0.060449,0.0058385,2.4232,-0.048675,0.0060308,277.91,0.32435,0.85374,3.4665,3.4665,0
1832,1.5473e+07,2.4932,0.1665,0.0046774,2.4348,-0.071891,0.0058524,277.91,0.27053,0.85637,2.1848,2.1848,0
1874,1.5483e+07,2.4945,0.040002,0.0057525,2.4352,-0.02719,0.0057632,277.91,0.46632,0.8582,1.2883,1.2883,0
1919,1.5493e+07,2.4939,0.036075,0.0060136,2.4376,-0.10905,0.0065153,277.91,0.35024,0.85977,-0.17452,-0.17452,0
1959,1.5503e+07,2.4886,0.06503,0.0057785,2.4362,0.037396,0.0053515,277.91,0.40961,0.86119,0.51165,0.51165,0
2000,1.5513e+07,2.4774,0.18367,0.0050387,2.4378,0.075226,0.0054716,277.91,0.16203,0.86248,0.37842,0.37842,0
2041,1.5523e+07,2.4746,0.08141,0.0056348,2.4394,0.052195,0.0055558,277.91,0.25808,0.86364,0.35048,0.35048,0
2087,1.5538e+07,2.4792,0.023358,0.0058682,2.4417,-0.05686,0.0059908,277.91,0.2511,0.8651,3.6656,3.6656,0
2131,1.5548e+07,2.4837,-0.013932,0.0058893,2.4457,-0.10618,0.0063238,277.91,0.3131,0.86591,3.1476,3.1476,0
2171,1.5558e+07,2.4879,-0.085237,0.0061518,2.441,-0.040692,0.005694,277.91,0.26567,0.86665,3.3527,3.3527,0
2212,1.5568e+07,2.4965,-0.10338,0.006217,2.4413,-0.10806,0.0063194,277.91,0.29256,0.8673,4.5156,4.5156,0
2253,1.5578e+07,2.5092,-0.21545,0.0069902,2.4356,-0.055614,0.0057804,277.91,0.2363,0.86787,4.2187,4.2187,0
2297,1.5588e+07,2.5073,0.015382,0.0051503,2.4319,0.094218,0.0048509,277.91,0.51618,0.86834,1.9633,1.9633,0
2339,1.5598e+07,2.5066,-0.069223,0.0062307,2.4343,-0.13195,0.0069233,277.22,0.3775,0.86874,1.964,1.964,0
2380,1.5609e+07,2.4743,0.018794,0.0052597,2.435,0.09407,0.0047083,274.43,0.44256,0.86881,0.3561,0.3561,0
2424,1.5619e+07,2.4473,-0.022946,0.0055483,2.4367,0.021866,0.0052404,271.64,0.40559,0.86811,-0.2038,-0.2038,0
2464,1.5628e+07,2.4126,0.059156,0.0053786,2.4402,0.021644,0.0057568,268.85,0.36979,0.86652,0.074291,0.074291,0
2502,1.5639e+07,2.3698,0.16714,0.0045709,2.4442,0.13163,0.0050205,266.06,0.27634,0.86417,0.21763,0.21763,0
2545,1.5649e+07,2.3383,0.010288,0.0061553,2.4478,-0.014848,0.0065558,263.27,0.34614,0.86107,-0.45071,-0.45071,0
2585,1.5659e+07,2.2985,0.13874,0.0047839,2.4508,0.13371,0.0051558,260.48,0.2032,0.85731,1.1158,1.1158,0
2626,1.5669e+07,2.2611,0.084636,0.0050864,2.4513,0.096127,0.005701,257.69,0.19873,0.85302,1.3211,1.3211,0
2666,1.5679e+07,2.2266,0.14587,0.0045678,2.4635,-0.075626,0.0069183,254.9,0.31565,0.8482,1.2593,1.2593,0
2711,1.5689e+07,2.1974,0.016361,0.005632,2.4669,-0.019946,0.0056269,252.11,0.32985,0.84286,1.386,1.386,0
2752,1.5699e+07,2.1656,-0.0058611,0.0052763,2.4688,0.082042,0.0053126,249.32,0.34739,0.83715,-0.38128,-0.38128,0
2793,1.571e+07,2.1328,0.064353,0.0049802,2.4765,-0.023734,0.0058623,246.53,0.31842,0.83107,-0.87032,-0.87032,0
2834,1.5719e+07,2.1031,0.032592,0.005184,2.482,-0.0011891,0.005858,243.74,0.26921,0.82469,-0.3047,-0.3047,0
2874,1.5729e+07,2.0786,-0.054527,0.0051461,2.4842,-0.015357,0.005922,240.95,0.25927,0.81805,0.88673,0.88673,0
2916,1.5739e+07,2.0618,-0.23077,0.0059709,2.4839,-0.08772,0.0065177,238.16,0.38849,0.81113,1.6354,1.6354,0
2958,1.5749e+07,2.0427,-0.20087,0.0055648,2.4842,-0.080363,0.0060082,235.37,0.43266,0.80396,0.49973,0.49973,0
2997,1.5759e+07,2.0223,-0.13802,0.0049564,2.49,-0.13422,0.0065101,232.58,0.26886,0.79667,1.0907,1.0907,0
3039,1.577e+07,2.002,-0.14148,0.0050281,2.4944,-0.088306,0.0059851,229.79,0.36001,0.78916,2.6165,2.6165,0
3079,1.578e+07,1.9754,-0.075637,0.0043932,2.4962,0.0031523,0.0053129,227,0.31114,0.78153,4.3929,4.3929,0
3125,1.579e+07,1.9426,0.050036,0.0039094,2.4981,0.061578,0.0054028,224.21,0.40053,0.77375,5.6791,5.6791,0
3167,1.58e+07,1.911,-0.0030259,0.0044091,2.4979,0.076048,0.0056339,221.42,0.38202,0.76585,3.4384,3.4384,0
3208,1.581e+07,1.8784,0.03229,0.0040979,2.494,0.1351,0.0051177,218.63,0.28178,0.75787,2.1333,2.1333,0
3249,1.582e+07,1.8432,0.13103,0.0032385,2.4988,0.021729,0.0063016,215.84,0.44725,0.74978,0.12712,0.12712,0
3291,1.5833e+07,1.8062,0.067606,0.0038139,2.5025,0.049409,0.0056816,212.35,0.27436,0.73955,0.62914,0.62914,0
3328,1.5843e+07,1.7737,0.2761,0.0024419,2.5114,-0.023469,0.0062585,210.26,0.42115,0.73134,0.96169,0.96169,0
3370,1.5854e+07,1.7413,0.12336,0.0037053,2.5167,-0.0083857,0.006089,207.47,0.35221,0.72321,2.0432,2.0432,0
3411,1.5864e+07,1.7224,-0.17114,0.0057192,2.5209,-0.10287,0.0065213,204.68,0.42687,0.71504,2.6184,2.6184,0
3451,1.5873e+07,1.6961,0.0097677,0.003519,2.534,-0.17336,0.006711,201.89,0.39246,0.70684,2.0593,2.0593,0
3492,1.5884e+07,1.666,0.064454,0.0034041,2.5408,-0.044536,0.0058592,199.1,0.27671,0.69856,3.3381,3.3381,0
3536,1.5893e+07,1.636,0.01924,0.0036743,2.5421,-0.0033786,0.0056442,196.31,0.26399,0.6903,4.7442,4.7442,0
3577,1.5903e+07,1.615,-0.14372,0.0043985,2.5452,-0.0096096,0.0059379,193.52,0.25691,0.68195,4.1593,4.1593,0
3619,1.5913e+07,1.5867,-0.095366,0.0040062,2.5377,0.16103,0.0046575,190.73,0.19361,0.67356,4.156,4.156,0
3661,1.5923e+07,1.5624,-0.11601,0.0041569,2.5397,0.022994,0.0065561,187.94,0.29282,0.66514,3.0175,3.0175,0
3699,1.5934e+07,1.5401,-0.19934,0.0044832,2.5364,0.07413,0.0056785,185.15,0.1404,0.65669,0.37117,0.37117,0
3736,1.5944e+07,1.52,-0.10477,0.0035391,2.5341,0.062949,0.005799,183.06,0.26591,0.64829,-0.61302,-0.61302,0
3778,1.5954e+07,1.4886,0.047942,0.002785,2.5384,0.079904,0.0054203,180.27,0.2932,0.63991,-0.50621,-0.50621,0
3819,1.5964e+07,1.4584,-0.022707,0.00368,2.5408,-0.023778,0.0064167,177.48,0.33281,0.63154,-1.2621,-1.2621,0
3859,1.5974e+07,1.4227,0.17113,0.0021552,2.5532,-0.099124,0.0069667,174.69,0.29106,0.62312,-0.99621,-0.99621,0
3900,1.5984e+07,1.3914,0.066413,0.0032578,2.5615,-0.074532,0.0059679,171.9,0.51226,0.61461,1.9961,1.9961,0
3944,1.5994e+07,1.3563,0.13934,0.0026725,2.5698,-0.04423,0.0060987,169.11,0.26333,0.60612,3.255,3.255,0
3985,1.6004e+07,1.3139,0.34042,0.0013276,2.58,-0.010415,0.0057748,166.32,0.51128,0.59756,1.9787,1.9787,0
4026,1.6014e+07,1.2822,0.07136,0.0035941,2.5851,-0.039123,0.0062972,163.53,0.36526,0.589,1.9482,1.9482,0
4069,1.6024e+07,1.2433,0.18616,0.0021002,2.5877,0.045333,0.0057855,160.74,0.41917,0.5804,2.599,2.599,0
4110,1.6034e+07,1.2086,0.10264,0.0025926,2.5893,0.092668,0.0059842,157.95,0.38852,0.5718,1.4916,1.4916,0
4147,1.6044e+07,1.1787,0.19304,0.0022186,2.5935,-0.020965,0.0068136,155.86,0.45424,0.56315,-0.35229,-0.35229,0
4189,1.6054e+07,1.1466,0.0027852,0.0034559,2.5898,0.12939,0.0052472,153.07,0.35558,0.55469,-0.53654,-0.53654,0
4233,1.6067e+07,1.1163,-0.11842,0.0034638,2.5882,0.076087,0.0061554,149.58,0.30091,0.54416,-0.57545,-0.57545,0
4275,1.6077e+07,1.0907,-0.090941,0.0023655,2.5816,0.14631,0.0054164,146.79,0.24144,0.53573,-1.2889,-1.2889,0
4315,1.6087e+07,1.0719,-0.1341,0.0028282,2.5888,-0.10159,0.0070817,144,0.26212,0.52726,0.081921,0.081921,0
4360,1.6097e+07,1.05,-0.16232,0.0027738,2.592,-0.042213,0.0064319,141.21,0.17721,0.51878,2.0466,2.0466,0
4401,1.6107e+07,1.0321,-0.21276,0.0029708,2.595,-0.019315,0.0060122,138.42,0.26263,0.51024,3.7549,3.7549,0
4441,1.6117e+07,1.0071,-0.10375,0.0024415,2.6018,-0.14577,0.0070384,135.63,0.15503,0.50171,2.9752,2.9752,0
