LineNo,TimeUS,C15,C16,C17,C18
211,1.5038e+07,0,0,0,0
314,1.5072e+07,0,0,0,0
656,1.5134e+07,0,0,0,0
769,1.515e+07,0,0,0,0
882,1.5165e+07,0,0,0,0
995,1.5183e+07,0,0,0,0
1226,1.5261e+07,0,0,0,0
1610,1.5416e+07,0,0,0,0
1688,1.5427e+07,0,0,0,0
1730,1.5437e+07,0,0,0,0
1770,1.5447e+07,0,0,0,0
1811,1.5461e+07,0,0,0,0
1854,1.5473e+07,0,0,0,0
1896,1.5484e+07,0,0,0,0
1941,1.5493e+07,0,0,0,0
1981,1.5503e+07,0,0,0,0
2022,1.5514e+07,0,0,0,0
2065,1.5524e+07,0,0,0,0
2109,1.5539e+07,0,0,0,0
2153,1.5549e+07,0,0,0,0
2193,1.5559e+07,0,0,0,0
2234,1.5569e+07,0,0,0,0
2275,1.5579e+07,0,0,0,0
2319,1.5589e+07,0,0,0,0
2361,1.5599e+07,0,0,0,0
2402,1.5609e+07,0,0,0,0
2446,1.5619e+07,0,0,0,0
2486,1.5629e+07,0,0,0,0
2524,1.564e+07,0,0,0,0
2567,1.565e+07,0,0,0,0
2607,1.566e+07,0,0,0,0
2648,1.567e+07,0,0,0,0
2688,1.568e+07,0,0,0,0
2733,1.569e+07,0,0,0,0
2774,1.57e+07,0,0,0,0
2815,1.571e+07,0,0,0,0
2856,1.572e+07,0,0,0,0
2896,1.573e+07,0,0,0,0
2938,1.574e+07,0,0,0,0
2980,1.575e+07,0,0,0,0
3019,1.576e+07,0,0,0,0
3061,1.577e+07,0,0,0,0
3101,1.578e+07,0,0,0,0
3147,1.5791e+07,0,0,0,0
3189,1.58e+07,0,0,0,0
3230,1.581e+07,0,0,0,0
3271,1.5821e+07,0,0,0,0
3313,1.5834e+07,0,0,0,0
3350,1.5844e+07,0,0,0,0
3392,1.5854e+07,0,0,0,0
3433,1.5864e+07,0,0,0,0
3473,1.5874e+07,0,0,0,0
3514,1.5884e+07,0,0,0,0
3558,1.5894e+07,0,0,0,0
3599,1.5904e+07,0,0,0,0
3641,1.5914e+07,0,0,0,0
3683,1.5924e+07,0,0,0,0
3721,1.5934e+07,0,0,0,0
3758,1.5945e+07,0,0,0,0
3800,1.5955e+07,0,0,0,0
3841,1.5965e+07,0,0,0,0
3881,1.5975e+07,0,0,0,0
3922,1.5985e+07,0,0,0,0
3966,1.5995e+07,0,0,0,0
4007,1.6005e+07,0,0,0,0
4050,1.6015e+07,0,0,0,0
4091,1.6025e+07,0,0,0,0
4132,1.6035e+07,0,0,0,0
4169,1.6045e+07,0,0,0,0
4211,1.6055e+07,0,0,0,0
4255,1.6068e+07,0,0,0,0
4297,1.6078e+07,0,0,0,0
4337,1.6088e+07,0,0,0,0
4382,1.6097e+07,0,0,0,0
4423,1.6108e+07,0,0,0,0
4463,1.6118e+07,0,0,0,0
4509,1.6133e+07,0,0,0,0
4552,1.6145e+07,0,0,0,0
4592,1.6156e+07,0,0,0,0
4633,1.6166e+07,0,0,0,0
4675,1.6176e+07,0,0,0,0
4715,1.6186e+07,0,0,0,0
4760,1.6196e+07,0,0,0,0
4800,1.6206e+07,0,0,0,0
4842,1.6216e+07,0,0,0,0
4882,1.6226e+07,0,0,0,0
4923,1.6236e+07,0,0,0,0
4961,1.6246e+07,0,0,0,0
4998,1.6256e+07,0,0,0,0
5040,1.6266e+07,0,0,0,0
5082,1.6276e+07,0,0,0,0
5122,1.6286e+07,0,0,0,0
5167,1.6296e+07,0,0,0,0
5208,1.6306e+07,0,0,0,0
5249,1.6316e+07,0,0,0,0
5289,1.6326e+07,0,0,0,0
5332,1.6338e+07,0,0,0,0
5369,1.6348e+07,0,0,0,0
5414,1.6361e+07,0,0,0,0
5455,1.6371e+07,0,0,0,0
5495,1.6381e+07,0,0,0,0
5537,1.6391e+07,0,0,0,0
5581,1.6401e+07,0,0,0,0
5623,1.6411e+07,0,0,0,0
5664,1.6421e+07,0,0,0,0
5704,1.6431e+07,0,0,0,0
5739,1.6441e+07,0,0,0,0
5780,1.6452e+07,0,0,0,0
5821,1.6462e+07,0,0,0,0
5861,1.6472e+07,0,0,0,0
5903,1.6482e+07,0,0,0,0
5945,1.6492e+07,0,0,0,0
5989,1.6502e+07,0,0,0,0
6032,1.6512e+07,0,0,0,0
6072,1.6522e+07,0,0,0,0
6116,1.6533e+07,0,0,0,0
6153,1.6543e+07,0,0,0,0
6193,1.6553e+07,0,0,0,0
6233,1.6563e+07,0,0,0,0
6274,1.6573e+07,0,0,0,0
6315,1.6583e+07,0,0,0,0
6356,1.6593e+07,0,0,0,0
6404,1.6603e+07,0,0,0,0
6446,1.6614e+07,0,0,0,0
6487,1.6623e+07,0,0,0,0
6528,1.6634e+07,0,0,0,0
6566,1.6646e+07,0,0,0,0
6607,1.6656e+07,0,0,0,0
6647,1.6666e+07,0,0,0,0
6689,1.6676e+07,0,0,0,0
6729,1.6686e+07,0,0,0,0
6774,1.6696e+07,0,0,0,0
6816,1.6706e+07,0,0,0,0
6857,1.6716e+07,0,0,0,0
6898,1.6726e+07,0,0,0,0
6940,1.6735e+07,0,0,0,0
6975,1.6746e+07,0,0,0,0
7015,1.6756e+07,0,0,0,0
7056,1.6766e+07,0,0,0,0
7097,1.6776e+07,0,0,0,0
7138,1.6786e+07,0,0,0,0
7185,1.6797e+07,0,0,0,0
7226,1.6806e+07,0,0,0,0
7268,1.6816e+07,0,0,0,0
7309,1.6826e+07,0,0,0,0
7349,1.6836e+07,0,0,0,0
7390,1.6846e+07,0,0,0,0
7427,1.6856e+07,0,0,0,0
7468,1.6866e+07,0,0,0,0
7510,1.6877e+07,0,0,0,0
7550,1.6887e+07,0,0,0,0
7594,1.6897e+07,0,0,0,0
7636,1.6907e+07,0,0,0,0
7678,1.6917e+07,0,0,0,0
7719,1.6927e+07,0,0,0,0
7761,1.694e+07,0,0,0,0
7802,1.695e+07,0,0,0,0
7839,1.696e+07,0,0,0,0
7881,1.697e+07,0,0,0,0
7921,1.698e+07,0,0,0,0
7962,1.699e+07,0,0,0,0
8008,1.7e+07,0,0,0,0
8052,1.701e+07,0,0,0,0
8093,1.702e+07,0,0,0,0
8133,1.7031e+07,0,0,0,0
8171,1.704e+07,0,0,0,0
8208,1.7051e+07,0,0,0,0
8249,1.7061e+07,0,0,0,0
8289,1.7071e+07,0,0,0,0
8331,1.7081e+07,0,0,0,0
8373,1.7091e+07,0,0,0,0
8417,1.7101e+07,0,0,0,0
8458,1.7111e+07,0,0,0,0
8500,1.7121e+07,0,0,0,0
8541,1.7131e+07,0,0,0,0
8581,1.7141e+07,0,0,0,0
8621,1.7153e+07,0,0,0,0
8662,1.7164e+07,0,0,0,0
8702,1.7173e+07,0,0,0,0
8743,1.7183e+07,0,0,0,0
8784,1.7193e+07,0,0,0,0
8828,1.7204e+07,0,0,0,0
8869,1.7214e+07,0,0,0,0
8909,1.7224e+07,0,0,0,0
8951,1.7233e+07,0,0,0,0
