LineNo,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
210,1.5038e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
313,1.5072e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
655,1.5134e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
768,1.515e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
881,1.5165e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
994,1.5183e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1225,1.5261e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1609,1.5416e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1687,1.5427e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1729,1.5437e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1769,1.5447e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1810,1.5461e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1853,1.5473e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1895,1.5484e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1940,1.5493e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
1980,1.5503e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2021,1.5514e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2064,1.5524e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2108,1.5539e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2152,1.5549e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2192,1.5559e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2233,1.5569e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2274,1.5579e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2318,1.5589e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2360,1.5599e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2401,1.5609e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2445,1.5619e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2485,1.5629e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2523,1.564e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2566,1.565e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
2606,1.566e+07,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
