LineNo,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
3123,1.579e+07,2,43.601,13.482,100,88.442,-88.345,0,224,0
7161,1.6796e+07,2,43.601,13.482,100,88.457,-88.615,0,224,0
11135,1.7801e+07,2,43.601,13.482,100,88.469,-88.667,0,224,0
15180,1.8808e+07,2,43.601,13.482,100,88.48,-88.195,0,224,0
19218,1.9815e+07,2,43.601,13.482,100,88.493,-88.228,0,224,0
23251,2.0817e+07,2,43.601,13.482,100,88.507,-88.693,0,224,0
27309,2.1821e+07,2,43.601,13.482,100,88.519,-88.491,0,224,0
31609,2.2835e+07,2,43.601,13.482,100,88.533,0.19034,0,224,0
36009,2.386e+07,2,43.601,13.482,100,88.543,0.63481,0,224,0
40464,2.4885e+07,2,43.601,13.482,100,88.548,1.3986,0,224,0
44884,2.5939e+07,2,43.601,13.482,100,88.547,2.1657,0,224,0
49279,2.6995e+07,2,43.601,13.482,100,88.541,2.7167,0,224,0
53693,2.8047e+07,2,43.601,13.482,100,88.531,2.997,0,224,0
58141,2.9109e+07,2,43.601,13.482,100,88.526,3.1763,0,224,0
62564,3.0166e+07,2,43.601,13.482,100,88.536,3.4932,0,224,0
66951,3.1215e+07,2,43.601,13.482,100,88.55,3.5238,0,224,0
71402,3.227e+07,2,43.601,13.482,100,88.508,3.4835,0,224,0
75820,3.3326e+07,2,43.601,13.482,100,88.423,3.6377,0,224,0
80170,3.438e+07,2,43.601,13.482,100,88.255,3.4791,0,224,0
84588,3.5438e+07,2,43.601,13.482,100,88.124,4.2559,0,224,0
88933,3.6491e+07,2,43.601,13.482,100,88.063,4.2437,0,224,0
93385,3.7544e+07,2,43.601,13.482,100,88.058,4.3014,0,224,0
97759,3.8594e+07,2,43.601,13.482,100,88.064,4.5215,0,224,0
1.0217e+05,3.9648e+07,2,43.601,13.482,100,88.053,4.607,0,224,0
1.0652e+05,4.0701e+07,2,43.601,13.482,100,88.038,4.7006,0,224,0
1.1095e+05,4.1756e+07,2,43.601,13.482,100,88.011,4.7704,0,224,0
1.1532e+05,4.2809e+07,2,43.601,13.482,100,87.991,4.706,0,224,0
1.1972e+05,4.3859e+07,2,43.601,13.482,100,87.987,4.6944,0,224,0
1.2412e+05,4.4905e+07,2,43.601,13.482,100,87.992,4.7907,0,224,0
1.285e+05,4.5957e+07,2,43.601,13.482,100,87.996,4.7877,0,224,0
1.3279e+05,4.7009e+07,2,43.601,13.482,100,88.013,4.8234,0,224,0
1.3719e+05,4.8063e+07,2,43.601,13.482,100,88.057,4.7489,0,224,0
1.4159e+05,4.9123e+07,2,43.601,13.482,100,88.13,4.7033,0,224,0
1.4596e+05,5.0182e+07,2,43.601,13.482,100,88.236,4.5978,0,224,0
1.5033e+05,5.1236e+07,2,43.601,13.482,100,88.338,4.5056,0,224,0
1.5477e+05,5.229e+07,2,43.601,13.482,100,88.442,4.3856,0,224,0
1.5917e+05,5.3349e+07,2,43.601,13.482,100,88.535,4.2629,0,224,0
1.6357e+05,5.44e+07,2,43.601,13.482,100,88.578,4.1418,0,224,0
