LineNo,TimeUS,Instance,ofsI,magI,ofsQ,magQ
21225,2.0312e+07,0,11,153,-6,140
42272,2.5314e+07,0,8,142,-6,148
63153,3.0305e+07,0,4,148,-2,141
84033,3.5306e+07,0,11,149,-3,144
1.0488e+05,4.0304e+07,0,9,147,-6,149
1.258e+05,4.5312e+07,0,5,147,-10,140
1.4646e+05,5.0305e+07,0,10,146,-2,143
1.6731e+05,5.5307e+07,0,9,147,-6,138
1.8824e+05,6.0303e+07,0,4,146,-10,139
2.0899e+05,6.5301e+07,0,8,146,-3,154
2.3e+05,7.0315e+07,0,10,147,-8,138
2.5122e+05,7.5313e+07,0,6,151,-13,147
2.726e+05,8.0305e+07,0,1,133,-2,120
2.9402e+05,8.5319e+07,0,15,147,-8,140
