LineNo,TimeUS,Id,Label
1385,1.5367e+07,45,0
1386,1.5367e+07,63,0
1387,1.5367e+07,65,0
1388,1.5367e+07,97,0
1389,1.5367e+07,100,0
1390,1.5367e+07,98,0
1391,1.5367e+07,107,0
1392,1.5367e+07,68,0
1393,1.5367e+07,101,0
1394,1.5367e+07,69,0
1395,1.5367e+07,71,0
1396,1.5367e+07,104,0
1397,1.5367e+07,105,0
1398,1.5367e+07,74,0
1399,1.5367e+07,76,0
1400,1.5367e+07,109,0
1401,1.5367e+07,110,0
1402,1.5367e+07,111,0
1406,1.5387e+07,79,0
1407,1.5387e+07,37,0
1408,1.5387e+07,83,0
1409,1.5387e+07,115,0
1410,1.5387e+07,113,0
1411,1.5387e+07,114,0
1412,1.5387e+07,85,0
1413,1.5387e+07,117,0
1414,1.5387e+07,118,0
1415,1.5387e+07,80,0
1416,1.5387e+07,119,0
1417,1.5387e+07,87,0
1418,1.5387e+07,88,0
1419,1.5387e+07,89,0
1420,1.5387e+07,122,0
1421,1.5387e+07,35,0
