LineNo,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
212,1.5038e+07,0,0.02667,0.025578,0.031571,0
315,1.5072e+07,0,0.025051,0.027767,0.037957,0
657,1.5134e+07,0,0.025797,0.026479,0.03828,0
770,1.515e+07,0,0.024912,0.028445,0.036905,0
883,1.5165e+07,0,0.028395,0.027592,0.037182,0
996,1.5183e+07,0,0.027464,0.028098,0.036397,0
1227,1.5261e+07,0,0.02507,0.027469,0.037967,0
1611,1.5416e+07,0,0.027149,0.028387,0.031014,0
1689,1.5427e+07,0,0.026689,0.028707,0.029753,0
1731,1.5437e+07,0,0.027687,0.027918,0.030341,0
1771,1.5447e+07,0,0.028717,0.027141,0.031431,0
1812,1.5461e+07,0,0.026942,0.027829,0.030519,0
1855,1.5473e+07,0,0.02578,0.027918,0.031148,0
1897,1.5484e+07,0,0.025974,0.028,0.030468,0
1942,1.5493e+07,0,0.027063,0.030761,0.034081,0
1982,1.5503e+07,0,0.028708,0.029744,0.034024,0
2023,1.5514e+07,0,0.028693,0.028248,0.034905,0
2066,1.5524e+07,0,0.028142,0.028246,0.034305,0
2110,1.5539e+07,0,0.027958,0.02666,0.036362,0
2154,1.5549e+07,0,0.0267,0.026935,0.035268,0
2194,1.5559e+07,0,0.025447,0.026089,0.036454,0
2235,1.5569e+07,0,0.02546,0.02578,0.035365,0
2276,1.5579e+07,0,0.02474,0.027734,0.033856,0
2320,1.5589e+07,0,0.023907,0.027208,0.03536,0
2362,1.5599e+07,0,0.024146,0.025877,0.03834,0
2403,1.5609e+07,0,0.025723,0.024731,0.037691,0
2447,1.5619e+07,0,0.026244,0.024107,0.037694,0
2487,1.5629e+07,0,0.025823,0.024097,0.036285,0
2525,1.564e+07,0,0.026185,0.024491,0.035678,0
2568,1.565e+07,0,0.026047,0.023777,0.03525,0
2608,1.566e+07,0,0.02613,0.024266,0.034541,0
2649,1.567e+07,0,0.026211,0.024588,0.034123,0
2689,1.568e+07,0,0.025548,0.02351,0.034382,0
2734,1.569e+07,0,0.025421,0.023068,0.034457,0
2775,1.57e+07,0,0.024656,0.02492,0.034816,0
2816,1.571e+07,0,0.025074,0.024836,0.034057,0
2857,1.572e+07,0,0.024965,0.024598,0.032906,0
2897,1.573e+07,0,0.025121,0.024142,0.032162,0
2939,1.574e+07,0,0.027048,0.024815,0.031814,0
2981,1.575e+07,0,0.026194,0.025262,0.031392,0
3020,1.576e+07,0,0.025449,0.025301,0.02986,0
3062,1.577e+07,0,0.026085,0.024619,0.0308,0
3102,1.578e+07,0,0.027502,0.024047,0.031251,0
3148,1.5791e+07,0,0.027189,0.023887,0.034532,0
3190,1.58e+07,0,0.027036,0.023821,0.034703,0
3231,1.581e+07,0,0.028466,0.024587,0.035537,0
3272,1.5821e+07,0,0.027694,0.023826,0.034384,0
3314,1.5834e+07,0,0.026968,0.02478,0.03242,0
3351,1.5844e+07,0,0.028948,0.024396,0.031391,0
3393,1.5854e+07,0,0.028102,0.027284,0.034762,0
3434,1.5864e+07,0,0.027113,0.026842,0.036415,0
3474,1.5874e+07,0,0.026713,0.027388,0.035492,0
3515,1.5884e+07,0,0.025836,0.026534,0.035468,0
3559,1.5894e+07,0,0.027313,0.02748,0.034302,0
3600,1.5904e+07,0,0.026807,0.02921,0.033646,0
3642,1.5914e+07,0,0.026433,0.028147,0.032877,0
3684,1.5924e+07,0,0.025815,0.026903,0.03212,0
3722,1.5934e+07,0,0.025145,0.027135,0.036152,0
3759,1.5945e+07,0,0.026703,0.026394,0.03498,0
3801,1.5955e+07,0,0.025697,0.02651,0.036913,0
3842,1.5965e+07,0,0.024516,0.025961,0.035648,0
3882,1.5975e+07,0,0.025917,0.025501,0.034101,0
3923,1.5985e+07,0,0.025335,0.025362,0.036127,0
3967,1.5995e+07,0,0.025418,0.024688,0.034669,0
4008,1.6005e+07,0,0.025179,0.025711,0.033065,0
4051,1.6015e+07,0,0.024413,0.026343,0.03277,0
4092,1.6025e+07,0,0.026158,0.026111,0.032359,0
4133,1.6035e+07,0,0.025134,0.025972,0.033808,0
4170,1.6045e+07,0,0.025568,0.026779,0.034054,0
4212,1.6055e+07,0,0.02495,0.026646,0.035826,0
4256,1.6068e+07,0,0.02527,0.025938,0.036066,0
4298,1.6078e+07,0,0.024889,0.024863,0.037551,0
4338,1.6088e+07,0,0.024286,0.023723,0.037319,0
4383,1.6097e+07,0,0.023798,0.023981,0.037936,0
4424,1.6108e+07,0,0.022978,0.023905,0.036472,0
4464,1.6118e+07,0,0.022334,0.025198,0.036198,0
4510,1.6133e+07,0,0.021479,0.02778,0.035419,0
4553,1.6145e+07,0,0.020972,0.026092,0.03638,0
4593,1.6156e+07,0,0.020951,0.025655,0.038601,0
4634,1.6166e+07,0,0.021348,0.025337,0.038344,0
4676,1.6176e+07,0,0.021104,0.026362,0.037386,0
4716,1.6186e+07,0,0.02213,0.025837,0.036482,0
4761,1.6196e+07,0,0.021938,0.026186,0.036204,0
4801,1.6206e+07,0,0.02286,0.027559,0.036906,0
4843,1.6216e+07,0,0.02256,0.028658,0.036095,0
4883,1.6226e+07,0,0.024777,0.027603,0.035184,0
4924,1.6236e+07,0,0.023708,0.027294,0.03822,0
4962,1.6246e+07,0,0.023755,0.02628,0.038021,0
4999,1.6256e+07,0,0.022882,0.026612,0.0412,0
5041,1.6266e+07,0,0.023282,0.026064,0.038882,0
5083,1.6276e+07,0,0.026389,0.025124,0.037173,0
5123,1.6286e+07,0,0.027143,0.025077,0.037742,0
5168,1.6296e+07,0,0.025923,0.026975,0.04127,0
5209,1.6306e+07,0,0.025312,0.026169,0.041173,0
5250,1.6316e+07,0,0.024978,0.025354,0.040391,0
5290,1.6326e+07,0,0.024244,0.02512,0.040666,0
5333,1.6338e+07,0,0.025096,0.023812,0.039744,0
5370,1.6348e+07,0,0.026742,0.025334,0.039063,0
5415,1.6361e+07,0,0.026473,0.024595,0.036995,0
5456,1.6371e+07,0,0.025974,0.023662,0.035816,0
5496,1.6381e+07,0,0.026626,0.025499,0.036996,0
5538,1.6391e+07,0,0.027582,0.02472,0.037162,0
5582,1.6401e+07,0,0.027284,0.024679,0.037952,0
5624,1.6411e+07,0,0.026409,0.025229,0.040186,0
5665,1.6421e+07,0,0.02612,0.026395,0.03874,0
5705,1.6431e+07,0,0.026163,0.02619,0.038521,0
5740,1.6441e+07,0,0.026103,0.026174,0.03749,0
5781,1.6452e+07,0,0.025225,0.025786,0.036013,0
5822,1.6462e+07,0,0.024359,0.025475,0.035135,0
5862,1.6472e+07,0,0.025772,0.028533,0.036078,0
5904,1.6482e+07,0,0.026066,0.028859,0.035194,0
5946,1.6492e+07,0,0.025307,0.02883,0.034889,0
5990,1.6502e+07,0,0.024312,0.030481,0.03561,0
6033,1.6512e+07,0,0.023876,0.028948,0.034798,0
6073,1.6522e+07,0,0.023091,0.028174,0.035711,0
6117,1.6533e+07,0,0.022351,0.028575,0.035342,0
6154,1.6543e+07,0,0.022845,0.027528,0.0345,0
6194,1.6553e+07,0,0.022062,0.026697,0.033518,0
6234,1.6563e+07,0,0.021462,0.026643,0.033438,0
6275,1.6573e+07,0,0.020521,0.030378,0.035084,0
6316,1.6583e+07,0,0.021112,0.030268,0.034094,0
6357,1.6593e+07,0,0.023917,0.03078,0.033811,0
6405,1.6603e+07,0,0.023539,0.031473,0.033283,0
6447,1.6614e+07,0,0.024223,0.030645,0.031574,0
6488,1.6624e+07,0,0.025198,0.033551,0.033105,0
6529,1.6634e+07,0,0.025168,0.034325,0.032768,0
6567,1.6646e+07,0,0.024503,0.032969,0.032966,0
6608,1.6656e+07,0,0.024575,0.032338,0.032376,0
6648,1.6666e+07,0,0.023665,0.032101,0.033879,0
6690,1.6676e+07,0,0.024215,0.032815,0.032968,0
6730,1.6686e+07,0,0.02325,0.031462,0.032078,0
6775,1.6696e+07,0,0.024807,0.03058,0.036925,0
6817,1.6706e+07,0,0.024493,0.030041,0.037749,0
6858,1.6716e+07,0,0.02573,0.031391,0.039343,0
6899,1.6726e+07,0,0.025,0.031588,0.038958,0
6941,1.6736e+07,0,0.025349,0.033435,0.037726,0
6976,1.6746e+07,0,0.026604,0.033177,0.038638,0
7016,1.6756e+07,0,0.028734,0.035197,0.03702,0
7057,1.6766e+07,0,0.027965,0.035071,0.035579,0
7098,1.6776e+07,0,0.028014,0.034284,0.036175,0
7139,1.6786e+07,0,0.030046,0.032838,0.034989,0
7186,1.6797e+07,0,0.028732,0.033637,0.034946,0
7227,1.6806e+07,0,0.028473,0.033462,0.033553,0
7269,1.6816e+07,0,0.02726,0.032228,0.033459,0
7310,1.6826e+07,0,0.027259,0.031498,0.035706,0
7350,1.6836e+07,0,0.026058,0.030707,0.034746,0
7391,1.6846e+07,0,0.025588,0.030431,0.033258,0
7428,1.6857e+07,0,0.027488,0.031406,0.032572,0
7469,1.6866e+07,0,0.02907,0.03095,0.031721,0
7511,1.6877e+07,0,0.02936,0.031497,0.034013,0
7551,1.6887e+07,0,0.029026,0.034213,0.033932,0
7595,1.6897e+07,0,0.029476,0.032443,0.032536,0
7637,1.6907e+07,0,0.028161,0.031501,0.032304,0
7679,1.6917e+07,0,0.026764,0.032051,0.032124,0
7720,1.6927e+07,0,0.026563,0.031524,0.031703,0
7762,1.694e+07,0,0.027328,0.033196,0.0327,0
7803,1.695e+07,0,0.02889,0.03502,0.034655,0
7840,1.696e+07,0,0.027747,0.033378,0.035337,0
7882,1.697e+07,0,0.026802,0.031994,0.034768,0
7922,1.698e+07,0,0.026746,0.031534,0.034412,0
7963,1.699e+07,0,0.030161,0.031578,0.035814,0
8009,1.7e+07,0,0.029235,0.030447,0.034477,0
8053,1.701e+07,0,0.028933,0.02889,0.034532,0
8094,1.702e+07,0,0.029707,0.029781,0.034906,0
8134,1.7031e+07,0,0.039847,0.041003,0.036028,0
8172,1.704e+07,0,0.10168,0.055089,0.052546,0
8209,1.7051e+07,0,0.1663,0.079324,0.068374,0
8250,1.7061e+07,0,0.21448,0.07785,0.10996,0
8290,1.7071e+07,0,0.24823,0.089909,0.15067,0
8332,1.7081e+07,0,0.23942,0.16881,0.16608,0
8374,1.7091e+07,0,0.24937,0.27719,0.15998,0
8418,1.7101e+07,0,0.29678,0.31051,0.17717,0
8459,1.7111e+07,0,0.34157,0.32927,0.1922,0
8501,1.7121e+07,0,0.39553,0.38632,0.23789,0
8542,1.7131e+07,0,0.48107,0.44434,0.23298,0
8582,1.7141e+07,0,0.52829,0.53648,0.24469,0
8622,1.7154e+07,0,0.6047,0.63065,0.24424,0
8663,1.7164e+07,0,0.64119,0.63307,0.23441,0
8703,1.7174e+07,0,0.6611,0.6178,0.23701,0
8744,1.7183e+07,0,0.6452,0.58701,0.24242,0
8785,1.7193e+07,0,0.60967,0.54925,0.25858,0
8829,1.7204e+07,0,0.57692,0.5169,0.24798,0
8870,1.7214e+07,0,0.55232,0.48683,0.26262,0
8910,1.7224e+07,0,0.53098,0.45912,0.28224,0
8952,1.7233e+07,0,0.51424,0.43279,0.29316,0
8989,1.7244e+07,0,0.52634,0.41847,0.29565,0
9027,1.7254e+07,0,0.55611,0.42913,0.28805,0
9068,1.7264e+07,0,0.58329,0.44789,0.30326,0
9108,1.7274e+07,0,0.57636,0.42983,0.29615,0
9149,1.7284e+07,0,0.5604,0.42723,0.30629,0
9189,1.7294e+07,0,0.55193,0.40993,0.31338,0
9269,1.7334e+07,0,0.45762,0.43418,0.3774,0
9312,1.7344e+07,0,0.45562,0.43326,0.5007,0
9349,1.7354e+07,0,0.46262,0.43035,0.52342,0
9387,1.7364e+07,0,0.47091,0.48439,0.51457,0
9428,1.7374e+07,0,0.47133,0.5527,0.52972,0
9468,1.7384e+07,0,0.47223,0.55436,0.58782,0
9510,1.7394e+07,0,0.53517,0.58555,0.66666,0
9554,1.7404e+07,0,0.64459,0.60247,0.75001,0
9595,1.7414e+07,0,0.72967,0.71241,0.75873,0
9635,1.7424e+07,0,0.796,0.84998,0.84867,0
9678,1.7434e+07,0,0.80395,0.90897,0.84597,0
9719,1.7444e+07,0,0.83472,0.98546,0.88843,0
9756,1.7454e+07,0,0.8964,1.0499,0.89951,0
9798,1.7466e+07,0,1.1665,1.1796,1.0212,0
9839,1.7477e+07,0,1.3437,1.2832,1.0554,0
9879,1.7487e+07,0,1.5286,1.4063,1.1343,0
9920,1.7497e+07,0,1.6482,1.5487,1.1576,0
9966,1.7507e+07,0,1.757,1.6871,1.237,0
10008,1.7517e+07,0,1.8087,1.7532,1.2341,0
10048,1.7527e+07,0,1.8814,1.8467,1.3628,0
10089,1.7537e+07,0,1.9403,1.9288,1.3708,0
10128,1.7547e+07,0,2.0985,2.0241,1.5889,0
10167,1.7557e+07,0,2.2001,2.0805,1.5935,0
10208,1.7567e+07,0,2.3701,2.1496,1.823,0
10248,1.7577e+07,0,2.4647,2.196,1.7948,0
10290,1.7587e+07,0,2.6003,2.2368,1.9789,0
10330,1.7597e+07,0,2.6286,2.241,1.933,0
10376,1.7607e+07,0,2.6997,2.2561,2.0567,0
10417,1.7617e+07,0,2.6966,2.2705,2.0251,0
10457,1.7627e+07,0,2.7268,2.2634,2.1343,0
10499,1.7637e+07,0,2.7418,2.2523,2.0926,0
10536,1.765e+07,0,2.7829,2.2956,2.164,0
10578,1.766e+07,0,2.8205,2.3718,2.2073,0
10620,1.767e+07,0,2.8549,2.4604,2.2294,0
10661,1.768e+07,0,2.8586,2.506,2.1949,0
10702,1.769e+07,0,2.9191,2.6309,2.2079,0
10745,1.7701e+07,0,2.9383,2.8043,2.2201,0
10788,1.7711e+07,0,2.9677,2.9536,2.2164,0
10828,1.7721e+07,0,2.9712,3.0416,2.1748,0
10869,1.7731e+07,0,2.9942,3.1592,2.1378,0
10912,1.7741e+07,0,2.9574,3.3213,2.1268,0
10952,1.7754e+07,0,2.9828,3.448,2.0785,0
10995,1.7764e+07,0,2.9984,3.5786,2.0626,0
11035,1.7774e+07,0,3.0093,3.6798,2.0113,0
11076,1.7784e+07,0,3.0201,3.7569,2.0012,0
11116,1.7794e+07,0,2.995,3.7924,1.9311,0
11164,1.7804e+07,0,3.0071,3.8349,1.9387,0
11205,1.7814e+07,0,2.9818,3.8573,1.8643,0
11245,1.7824e+07,0,2.9805,3.8804,1.8526,0
11287,1.7834e+07,0,2.925,3.8848,1.7659,0
11327,1.7844e+07,0,2.8791,3.8964,1.7215,0
11365,1.7854e+07,0,2.7754,3.8633,1.6325,0
11406,1.7864e+07,0,2.6958,3.8272,1.5973,0
11450,1.7877e+07,0,2.55,3.7902,1.4971,0
11491,1.7887e+07,0,2.4497,3.736,1.4555,0
11533,1.7896e+07,0,2.3353,3.6563,1.385,0
11578,1.7906e+07,0,2.2418,3.6183,1.4087,0
11619,1.7917e+07,0,2.1403,3.5489,1.3429,0
11659,1.7927e+07,0,2.0495,3.4926,1.3129,0
11700,1.7937e+07,0,1.9502,3.4259,1.2441,0
11742,1.7946e+07,0,1.8451,3.3902,1.229,0
11780,1.7957e+07,0,1.7349,3.3128,1.1734,0
11821,1.7967e+07,0,1.6339,3.2385,1.169,0
11864,1.7977e+07,0,1.5529,3.215,1.121,0
11905,1.7988e+07,0,1.4741,3.2039,1.1159,0
11947,1.7997e+07,0,1.4069,3.1547,1.0775,0
11992,1.8007e+07,0,1.3756,3.1278,1.0732,0
12032,1.8017e+07,0,1.3476,3.1065,1.0279,0
12074,1.8027e+07,0,1.3417,3.1159,1.0027,0
12118,1.8043e+07,0,1.3646,3.0903,0.99479,0
12159,1.8053e+07,0,1.3686,3.0903,0.95472,0
12199,1.8063e+07,0,1.4575,3.1355,0.99525,0
12242,1.8073e+07,0,1.4793,3.1564,0.95592,0
12282,1.8083e+07,0,1.5946,3.2044,1.0166,0
12324,1.8093e+07,0,1.6165,3.2399,0.98552,0
12367,1.8103e+07,0,1.7146,3.3148,1.1056,0
12409,1.8113e+07,0,1.7247,3.3446,1.056,0
12455,1.8125e+07,0,1.8251,3.3482,1.0872,0
12495,1.8135e+07,0,1.8309,3.3384,1.0944,0
12540,1.8148e+07,0,1.8691,3.3368,1.1117,0
12577,1.8159e+07,0,1.8637,3.3055,1.1027,0
12618,1.8169e+07,0,1.8534,3.2547,1.0694,0
12659,1.8179e+07,0,1.8369,3.2239,1.0799,0
12701,1.8189e+07,0,1.8126,3.1791,1.0544,0
12742,1.8199e+07,0,1.7961,3.1445,1.0456,0
12786,1.8209e+07,0,1.7949,3.0814,1.0154,0
12827,1.8219e+07,0,1.8132,3.0573,1.036,0
12867,1.8229e+07,0,1.8321,3.0263,1.0165,0
12909,1.8239e+07,0,1.8877,3.0017,1.0201,0
12947,1.8249e+07,0,1.9264,2.953,0.99482,0
12984,1.826e+07,0,1.9761,2.948,1.0333,0
13025,1.8269e+07,0,1.9616,2.9091,0.99675,0
13066,1.828e+07,0,1.9945,2.848,0.98989,0
13108,1.8289e+07,0,2.0174,2.7746,0.9999,0
13148,1.83e+07,0,2.0645,2.7009,0.98603,0
13193,1.831e+07,0,2.073,2.6019,1.0056,0
13233,1.8319e+07,0,2.1099,2.4862,0.98809,0
13276,1.8329e+07,0,2.1151,2.3747,1.0349,0
13317,1.834e+07,0,2.1244,2.2776,1.0052,0
13355,1.8352e+07,0,2.0777,2.1314,0.98095,0
13395,1.8362e+07,0,2.0329,2.0184,0.94735,0
13436,1.8373e+07,0,1.9944,1.9156,0.95969,0
13478,1.8383e+07,0,1.9902,1.8293,0.91562,0
13518,1.8393e+07,0,1.9952,1.7452,0.91219,0
13560,1.8403e+07,0,2.0142,1.6633,0.87278,0
13604,1.8413e+07,0,2.0115,1.5868,0.87059,0
13644,1.8423e+07,0,2.0221,1.5155,0.83049,0
13685,1.8433e+07,0,2.0081,1.4471,0.81693,0
13726,1.8443e+07,0,2.0088,1.3696,0.79489,0
13764,1.8453e+07,0,1.9929,1.2971,0.7921,0
13804,1.8463e+07,0,1.9937,1.2289,0.78714,0
13842,1.8473e+07,0,1.9786,1.1677,0.79771,0
13883,1.8483e+07,0,1.9828,1.1067,0.81044,0
13925,1.8493e+07,0,1.9565,1.0512,0.81112,0
13967,1.8504e+07,0,1.9018,1.0038,0.84787,0
14012,1.8514e+07,0,1.8349,0.97155,0.83359,0
14053,1.8523e+07,0,1.7691,0.94501,0.85093,0
14096,1.8533e+07,0,1.6827,0.94812,0.8356,0
14136,1.8544e+07,0,1.5945,0.95027,0.88963,0
14177,1.8556e+07,0,1.5142,0.92715,0.85841,0
14218,1.8567e+07,0,1.4433,0.93522,0.91318,0
14259,1.8577e+07,0,1.4039,0.93514,0.92506,0
14299,1.8586e+07,0,1.3743,0.96873,0.96548,0
14341,1.8597e+07,0,1.3799,0.95991,0.94619,0
14385,1.8607e+07,0,1.3722,0.96005,1.0113,0
14428,1.8617e+07,0,1.3748,0.93061,1.0022,0
14469,1.8627e+07,0,1.3745,0.92637,1.0384,0
14509,1.8637e+07,0,1.3803,0.88533,1.0355,0
14551,1.8647e+07,0,1.3776,0.85255,1.1177,0
14588,1.8657e+07,0,1.3808,0.80411,1.1284,0
14630,1.8668e+07,0,1.384,0.77432,1.1684,0
14671,1.8678e+07,0,1.3778,0.75384,1.2141,0
14711,1.8688e+07,0,1.3539,0.75699,1.2304,0
14752,1.8697e+07,0,1.3102,0.74798,1.2355,0
14796,1.8708e+07,0,1.2547,0.74692,1.2192,0
14838,1.8718e+07,0,1.1811,0.78067,1.222,0
14879,1.8729e+07,0,1.1127,0.84823,1.1724,0
14922,1.8739e+07,0,1.0615,0.88851,1.157,0
