LineNo,TimeUS,C,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,IDX,IDY,IS
203,1.5036e+07,1,0,0,0.04,0,0,176,0,359,0,0,0,0,0,0
306,1.507e+07,1,0,0,0.04,0,0,176,0,359,0,0,0,0,0,0
648,1.5132e+07,1,0,0,0.04,0,0,176,0,359,0,0,0,0,0,0
761,1.5148e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
874,1.5164e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
987,1.5181e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
1218,1.5259e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
1602,1.5414e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
1680,1.5425e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
1722,1.5435e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
1762,1.5445e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
1803,1.5458e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
1846,1.5472e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
1888,1.5481e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
1933,1.5491e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
1973,1.5501e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2014,1.5511e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2057,1.5521e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2101,1.5537e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2145,1.5547e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2185,1.5557e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2226,1.5567e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2267,1.5577e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2311,1.5587e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2353,1.5597e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2394,1.5607e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2438,1.5617e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2478,1.5627e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2516,1.5638e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2559,1.5648e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2599,1.5658e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2640,1.5668e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2680,1.5678e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2725,1.5688e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2766,1.5698e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2807,1.5708e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2848,1.5718e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2888,1.5728e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2930,1.5738e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
2972,1.5748e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3011,1.5758e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3053,1.5768e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3093,1.5778e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3139,1.5788e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3181,1.5798e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3222,1.5808e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3263,1.5819e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3305,1.5832e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3342,1.5842e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3384,1.5852e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3425,1.5862e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3465,1.5872e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3506,1.5882e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3550,1.5892e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3591,1.5902e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3633,1.5912e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3675,1.5922e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3713,1.5932e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3750,1.5942e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3792,1.5953e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3833,1.5963e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3873,1.5973e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
3914,1.5983e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
