LineNo,TimeUS,C,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT,RErr,ErSc
197,1.5036e+07,0,0,0,0,0,0,0.25,0,0,0,-0.36,0,0,0
300,1.507e+07,0,0,0,0,0,0,-0.1,0,0,0,-0.36,0,0,0
642,1.5132e+07,0,0,0,0,0,0,-0.1,0,0,0,-0.36,0,0,0
755,1.5148e+07,0,0,0,0,0,0,-0.1,0,0,0,-0.36,0,0,0
868,1.5164e+07,0,0,0,0,0,0,-0.1,0,0,0,-0.36,0,0,0
981,1.5181e+07,0,0,0,0,0,0,-0.1,0,0,0,-0.36,0,0,0
1212,1.5259e+07,0,0,0,0,0,0,-0.22,0,0,0,-0.36,0,0,0
1596,1.5414e+07,0,0,0,0,0,0,-0.22,0,0,0,-0.8,0,0,0
1674,1.5425e+07,0,0,0,0,0,0,-0.22,0,0,0,-0.8,0,0,0
1716,1.5435e+07,0,0,0,0,0,0,-0.22,0,0,0,-0.8,0,0,0
1756,1.5445e+07,0,0,0,0,0,0,-0.22,0,0,0,-0.8,0,0,0
1797,1.5458e+07,0,0,0,0,0,0,-0.14,0,0,0,-0.98,0,0,0
1840,1.5472e+07,0,0,0,0,0,0,-0.14,0,0,0,-0.98,0,0,0
1882,1.5481e+07,0,0,0,0,0,0,-0.14,0,0,0,-0.98,0,0,0
1927,1.5491e+07,0,0,0,0,0,0,-0.14,0,0,0,-0.98,0,0,0
1967,1.5501e+07,0,0,0,0,0,0,-0.14,0,0,0,-0.98,0,0,0
2008,1.5511e+07,0,0,0,0,0,0,-0.14,0,0,0,-0.98,0,0,0
2049,1.5521e+07,0,0,0,0,0,0,-0.14,0,0,0,-0.98,0,0,0
2095,1.5537e+07,0,0,0,0,0,0,-0.28,0,0,0,-0.25,0,0,0
2139,1.5547e+07,0,0,0,0,0,0,-0.28,0,0,0,-0.25,0,0,0
2179,1.5557e+07,0,0,0,0,0,0,-0.28,0,0,0,-0.25,0,0,0
2220,1.5567e+07,0,0,0,0,0,0,-0.28,0,0,0,-0.25,0,0,0
2261,1.5577e+07,0,0,0,0,0,0,-0.28,0,0,0,-0.25,0,0,0
2305,1.5587e+07,0,0,0,0,0,0,-0.28,0,0,0,-0.25,0,0,0
2347,1.5597e+07,0,0,0,0,0,0,-0.28,0,0,0,-0.25,0,0,0
2388,1.5607e+07,0,0,0,0,0,0,-0.28,0,0,0,-0.25,0,0,0
2432,1.5617e+07,0,0,0,0,0,0,-0.28,0,0,0,-0.25,0,0,0
2472,1.5627e+07,0,0,0,0,0,0,-0.28,0,0,0,-0.25,0,0,0
2510,1.5638e+07,0,0,0,0,-0.01,0,-0.29,0,0,0,0.18,0,0,0
2553,1.5648e+07,0,0,0,0,-0.01,0,-0.29,0,0,0,0.18,0,0,0
2593,1.5658e+07,0,0,0,0,-0.01,0,-0.29,0,0,0,0.18,0,0,0
2634,1.5668e+07,0,0,0,0,-0.01,0,-0.29,0,0,0,0.18,0,0,0
2674,1.5678e+07,0,0,0,0,-0.01,0,-0.29,0,0,0,0.18,0,0,0
2719,1.5688e+07,0,0,0,0,-0.01,0,-0.29,0,0,0,0.18,0,0,0
