LineNo,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
194,1.5036e+07,0,0,0,0.02,0,0,0.046226,0,0,0,50,67751,0,0
297,1.507e+07,0,0,0,0,0,0,0.046673,0,0,0,50,67751,0,0
639,1.5132e+07,0,0,0,0,0,0,0.047132,0,0,0,50,67751,0,0
752,1.5148e+07,0,0,0,0,0,0,0.047286,0,0,0,50,67751,0,0
865,1.5164e+07,0,0,0,0,0,0,0.047439,0,0,0,50,67751,0,0
978,1.5181e+07,0,0,0,0,0,0,0.047592,0,0,0,50,67751,0,0
1209,1.5259e+07,0,0,0,0.01,0,0,0.048051,0,0,0,50,67751,0,0
1593,1.5414e+07,0,0,0,0.01,0,0,0.049115,0,0,0,50,67751,0,0
1671,1.5425e+07,0,0,0,0.01,0,0,0.049268,0,0,0,50,67751,0,0
1713,1.5435e+07,0,0,0,0.01,0,0,0.049424,0,0,0,50,67751,0,0
1753,1.5445e+07,0,0,0,0.01,0,0,0.049577,0,0,0,50,67751,0,0
1794,1.5458e+07,0,0,0,0,0.01,0,0.04973,0,0,0,50,67751,0,0
1837,1.5472e+07,0,0,0,0,0.01,0,0.049863,0,0,0,50,67751,0,0
1879,1.5481e+07,0,0,0,0,0.01,0,0.050015,0,0,0,50,67751,0,0
1924,1.5491e+07,0,0,0,0,0.01,0,0.050015,0,0,0,50,67751,0,0
1964,1.5501e+07,0,0,0,0,0.01,0,0.050168,0,0,0,50,67751,0,0
2005,1.5511e+07,0,0,0,0,0.01,0,0.050322,0,0,0,50,67751,0,0
2046,1.5521e+07,0,0,0,0,0.01,0,0.050475,0,0,0,50,67751,0,0
2092,1.5537e+07,0,0,0,0.01,0,0,0.050628,0,0,0,50,67751,0,0
2136,1.5547e+07,0,0,0,0.01,0,0,0.050754,0,0,0,50,67751,0,0
2176,1.5557e+07,0,0,0,0.01,0,0,0.050907,0,0,0,50,67751,0,0
2217,1.5567e+07,0,0,0,0.01,0,0,0.050907,0,0,0,50,67751,0,0
2258,1.5577e+07,0,0,0,0.01,0,0,0.05106,0,0,0,50,67751,0,0
2302,1.5587e+07,0,0,0,0.01,0,0,0.051213,0,0,0,50,67751,0,0
2344,1.5597e+07,0,0,0,0.01,0,0,0.051367,0,0,0,50,67751,0,0
2385,1.5607e+07,0,0,0,0.01,0,0,0.051519,0,0,0,50,67751,0,0
2429,1.5617e+07,0,0,0,0.01,0,0,0.051519,0,0,0,50,67751,0,0
2469,1.5627e+07,0,0,0,0.01,0,0,0.051672,0,0,0,50,67751,0,0
2507,1.5638e+07,0,0,0,0.01,0,0,0.051825,0,0,0,50,67751,0,0
2550,1.5648e+07,0,0,0,0.01,0,0,0.051946,0,0,0,50,67751,0,0
2590,1.5658e+07,0,0,0,0.01,0,0,0.052099,0,0,0,50,67751,0,0
2631,1.5668e+07,0,0,0,0.01,0,0,0.052099,0,0,0,50,67751,0,0
2671,1.5678e+07,0,0,0,0.01,0,0,0.052252,0,0,0,50,67751,0,0
2716,1.5688e+07,0,0,0,0.01,0,0,0.052405,0,0,0,50,67751,0,0
2757,1.5698e+07,0,0,0,0.01,0,0,0.052558,0,0,0,50,67751,0,0
2798,1.5708e+07,0,0,0,0.01,0,0,0.052711,0,0,0,50,67751,0,0
2839,1.5718e+07,0,0,0,0.01,0,0,0.052711,0,0,0,50,67751,0,0
2879,1.5728e+07,0,0,0,0.01,0,0,0.052864,0,0,0,50,67751,0,0
2921,1.5738e+07,0,0,0,0,0.01,0,0.053017,0,0,0,50,67751,0,0
2963,1.5748e+07,0,0,0,0,0.01,0,0.05313,0,0,0,50,67751,0,0
3002,1.5758e+07,0,0,0,0,0.01,0,0.053283,0,0,0,50,67751,0,0
3044,1.5768e+07,0,0,0,0,0.01,0,0.053436,0,0,0,50,67751,0,0
3084,1.5778e+07,0,0,0,0,0.01,0,0.053436,0,0,0,50,67751,0,0
3130,1.5788e+07,0,0,0,0,0.01,0,0.053589,0,0,0,50,67751,0,0
3172,1.5798e+07,0,0,0,0,0.01,0,0.053742,0,0,0,50,67751,0,0
3213,1.5808e+07,0,0,0,0,0.01,0,0.053895,0,0,0,50,67751,0,0
3254,1.5819e+07,0,0,0,0,0.01,0,0.054048,0,0,0,50,67751,0,0
3296,1.5832e+07,0,0,0,0.01,0,0,0.054201,0,0,0,50,67751,0,0
3333,1.5842e+07,0,0,0,0.01,0,0,0.054306,0,0,0,50,67751,0,0
3375,1.5852e+07,0,0,0,0.01,0,0,0.054459,0,0,0,50,67751,0,0
3416,1.5862e+07,0,0,0,0.01,0,0,0.054459,0,0,0,50,67751,0,0
3456,1.5872e+07,0,0,0,0.01,0,0,0.054612,0,0,0,50,67751,0,0
3497,1.5882e+07,0,0,0,0.01,0,0,0.054765,0,0,0,50,67751,0,0
3541,1.5892e+07,0,0,0,0.01,0,0,0.054918,0,0,0,50,67751,0,0
3582,1.5902e+07,0,0,0,0.01,0,0,0.055071,0,0,0,50,67751,0,0
3624,1.5912e+07,0,0,0,0.01,0,0,0.055071,0,0,0,50,67751,0,0
3666,1.5922e+07,0,0,0,0.01,0,0,0.055223,0,0,0,50,67751,0,0
3704,1.5932e+07,0,0,0,0.01,0,0,0.055376,0,0,0,50,67751,0,0
3741,1.5942e+07,0,0,0,0.01,0.02,0,0.055474,0,0,0,50,67751,0,0
3783,1.5953e+07,0,0,0,0.01,0.02,0,0.055624,0,0,0,50,67751,0,0
3824,1.5963e+07,0,0,0,0.01,0.02,0,0.055624,0,0,0,50,67751,0,0
3864,1.5973e+07,0,0,0,0.01,0.02,0,0.055777,0,0,0,50,67751,0,0
3905,1.5983e+07,0,0,0,0.01,0.02,0,0.05593,0,0,0,50,67751,0,0
3949,1.5993e+07,0,0,0,0.01,0.02,0,0.056082,0,0,0,50,67751,0,0
3990,1.6003e+07,0,0,0,0.01,0.02,0,0.056235,0,0,0,50,67751,0,0
4031,1.6013e+07,0,0,0,0.01,0.02,0,0.056235,0,0,0,50,67751,0,0
4074,1.6023e+07,0,0,0,0.01,0.02,0,0.056388,0,0,0,50,67751,0,0
4115,1.6033e+07,0,0,0,0.01,0.02,0,0.056541,0,0,0,50,67751,0,0
4152,1.6043e+07,0,0,0,0,0,0,0.056694,0,0,0,50,67751,0,0
4194,1.6053e+07,0,0,0,0,0,0,0.056776,0,0,0,50,67751,0,0
4238,1.6066e+07,0,0,0,0,0,0,0.056929,0,0,0,50,67751,0,0
4280,1.6076e+07,0,0,0,0,0,0,0.057081,0,0,0,50,67751,0,0
4320,1.6086e+07,0,0,0,0,0,0,0.057081,0,0,0,50,67751,0,0
4365,1.6096e+07,0,0,0,0,0,0,0.057234,0,0,0,50,67751,0,0
4406,1.6106e+07,0,0,0,0,0,0,0.057387,0,0,0,50,67751,0,0
4446,1.6116e+07,0,0,0,0,0,0,0.057539,0,0,0,50,67751,0,0
