LineNo,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
198,1.5036e+07,0,0,0,0,0,0.05,0.04,0,0,0.5,0.0005802,0.0088968,1.0502
301,1.507e+07,0,0,0,0,0,0.05,0.05,0,0,0.5,0.00040418,0.0036647,0.88998
643,1.5132e+07,0,0,0,0,0,0.05,0.05,0,0,0.5,0.00028505,0.00097907,0.75251
756,1.5148e+07,0,0,0,0,0,0.05,0.05,0,0,0.5,0.00026591,0.001271,0.70993
869,1.5164e+07,0,0,0,0,0,0.05,0.05,0,0,0.5,0.00024153,0.002084,0.6689
982,1.5181e+07,0,0,0,0,0,0.05,0.05,0,0,0.5,0.00020315,0.0029858,0.62968
1213,1.5259e+07,0,0,0,0,0,0.04,0.05,0,0,0.5,0.00011887,0.0088232,0.51383
1597,1.5414e+07,0,0,0,0,0,0.05,0.05,0,0,0.5,0.00064254,0.013157,0.30915
1675,1.5425e+07,0,0,0,0,0,0.05,0.05,0,0,0.5,0.00063651,0.013584,0.28536
1717,1.5435e+07,0,0,0,0,0,0.06,0.05,0,0,0.5,0.00063694,0.013958,0.26319
1757,1.5445e+07,0,0,0,0,0,0.06,0.05,0,0,0.5,0.00061907,0.014299,0.24187
1798,1.5458e+07,0,0,0,0,0,0.06,0.05,0,0,0.5,0.0013805,0.016916,0.21662
1841,1.5472e+07,0,0,0,0,0,0.07,0.05,0,0,0.5,0.0013817,0.017063,0.19761
1883,1.5481e+07,0,0,0,0,0,0.07,0.05,0,0,0.5,0.0013683,0.017201,0.17987
1928,1.5491e+07,0,0,0,0,0,0.07,0.05,0,0,0.5,0.0013683,0.017201,0.17987
1968,1.5501e+07,0,0,0,0,0,0.08,0.05,0,0,0.5,0.0013545,0.017329,0.16306
2009,1.5511e+07,0,0,0,0,0,0.08,0.05,0,0,0.5,0.0013368,0.017445,0.14705
2050,1.5521e+07,0,0,0,0,0,0.09,0.05,0,0,0.5,0.0013152,0.017547,0.13193
2096,1.5537e+07,0,0,0,0,0,0.09,0.05,0,0,0.5,0.001496,0.022194,0.10748
2140,1.5547e+07,0,0,0,0,0,0.09,0.05,0,0,0.5,0.0014677,0.022028,0.094466
2180,1.5557e+07,0,0,0,0,0,0.1,0.05,0,0,0.5,0.0014406,0.02186,0.082229
2221,1.5567e+07,0,0,0,0,0,0.1,0.05,0,0,0.5,0.0014406,0.02186,0.082229
2262,1.5577e+07,0,0,0,0,0,0.1,0.05,0,0,0.5,0.0013874,0.021691,0.070698
2306,1.5587e+07,0,0,0,0,0,0.11,0.05,0,0,0.5,0.0013014,0.02153,0.059695
2348,1.5597e+07,0,0,0,0,0,0.12,0.05,0,0,0.5,0.0012003,0.021368,0.049246
2389,1.5607e+07,0,0,0,0,0,0.12,0.05,0,0,0.5,0.0011211,0.021206,0.03946
2433,1.5617e+07,0,0,0,0,0,0.12,0.05,0,0,0.5,0.0011211,0.021206,0.03946
2473,1.5627e+07,0,0,0,0,0,0.13,0.05,0,0,0.5,0.0010406,0.021045,0.030198
2511,1.5638e+07,0,0,0,0,0,0.12,0.05,0,0,0.5,0.00081863,0.025932,0.010336
2554,1.5648e+07,0,0,0,0,0,0.13,0.05,0,0,0.5,0.00074514,0.0255,0.0036832
2594,1.5658e+07,0,0,0,0,0,0.13,0.05,0,0,0.5,0.00065306,0.025084,0.0058055
2635,1.5668e+07,0,0,0,0,0,0.13,0.05,0,0,0.5,0.00065306,0.025084,0.0058055
2675,1.5678e+07,0,0,0,0,0,0.14,0.05,0,0,0.5,0.00054435,0.024685,0.012267
2720,1.5688e+07,0,0,0,0,0,0.14,0.05,0,0,0.5,0.0004607,0.0243,0.018644
2761,1.5698e+07,0,0,0,0,0,0.15,0.05,0,0,0.5,0.00038234,0.023927,0.024694
2802,1.5708e+07,0,0,0,0,0,0.15,0.05,0,0,0.5,0.00030783,0.023568,0.030431
2843,1.5718e+07,0,0,0,0,0,0.15,0.05,0,0,0.5,0.00030783,0.023568,0.030431
2883,1.5728e+07,0,0,0,0,0,0.16,0.05,0,0,0.5,0.00023905,0.02322,0.035836
2925,1.5738e+07,0,0,0,0,0,0.17,0.05,0,0,0.5,0.0010211,0.023181,0.041625
