LineNo,TimeUS,C,MI,BI,GI,AI,SS
199,1.5036e+07,0,0,0,0,0,0
302,1.507e+07,0,0,0,0,0,0
644,1.5132e+07,0,0,0,0,0,0
757,1.5148e+07,0,0,0,0,0,0
870,1.5164e+07,0,0,0,0,0,0
983,1.5181e+07,0,0,0,0,0,0
1214,1.5259e+07,0,0,0,0,0,0
1598,1.5414e+07,0,0,0,0,0,0
1676,1.5425e+07,0,0,0,0,0,0
1718,1.5435e+07,0,0,0,0,0,0
1758,1.5445e+07,0,0,0,0,0,0
1799,1.5458e+07,0,0,0,0,0,0
1842,1.5472e+07,0,0,0,0,0,0
1884,1.5481e+07,0,0,0,0,0,0
1929,1.5491e+07,0,0,0,0,0,0
1969,1.5501e+07,0,0,0,0,0,0
2010,1.5511e+07,0,0,0,0,0,0
2051,1.5521e+07,0,0,0,0,0,0
2097,1.5537e+07,0,0,0,0,0,0
2141,1.5547e+07,0,0,0,0,0,0
2181,1.5557e+07,0,0,0,0,0,0
2222,1.5567e+07,0,0,0,0,0,0
2263,1.5577e+07,0,0,0,0,0,0
2307,1.5587e+07,0,0,0,0,0,0
2349,1.5597e+07,0,0,0,0,0,0
2390,1.5607e+07,0,0,0,0,0,0
2434,1.5617e+07,0,0,0,0,0,0
2474,1.5627e+07,0,0,0,0,0,0
2512,1.5638e+07,0,0,0,0,0,0
2555,1.5648e+07,0,0,0,0,0,0
2595,1.5658e+07,0,0,0,0,0,0
2636,1.5668e+07,0,0,0,0,0,0
2676,1.5678e+07,0,0,0,0,0,0
2721,1.5688e+07,0,0,0,0,0,0
2762,1.5698e+07,0,0,0,0,0,0
2803,1.5708e+07,0,0,0,0,0,0
2844,1.5718e+07,0,0,0,0,0,0
2884,1.5728e+07,0,0,0,0,0,0
2926,1.5738e+07,0,0,0,0,0,0
2968,1.5748e+07,0,0,0,0,0,0
3007,1.5758e+07,0,0,0,0,0,0
3049,1.5768e+07,0,0,0,0,0,0
3089,1.5778e+07,0,0,0,0,0,0
3135,1.5788e+07,0,0,0,0,0,0
3177,1.5798e+07,0,0,0,0,0,0
3218,1.5808e+07,0,0,0,0,0,0
3259,1.5819e+07,0,0,0,0,0,0
3301,1.5832e+07,0,0,0,0,0,0
3338,1.5842e+07,0,0,0,0,0,0
3380,1.5852e+07,0,0,0,0,0,0
3421,1.5862e+07,0,0,0,0,0,0
3461,1.5872e+07,0,0,0,0,0,0
3502,1.5882e+07,0,0,0,0,0,0
3546,1.5892e+07,0,0,0,0,0,0
3587,1.5902e+07,0,0,0,0,0,0
3629,1.5912e+07,0,0,0,0,0,0
3671,1.5922e+07,0,0,0,0,0,0
3709,1.5932e+07,0,0,0,0,0,0
3746,1.5942e+07,0,0,0,0,0,0
3788,1.5953e+07,0,0,0,0,0,0
3829,1.5963e+07,0,0,0,0,0,0
3869,1.5973e+07,0,0,0,0,0,0
3910,1.5983e+07,0,0,0,0,0,0
3954,1.5993e+07,0,0,0,0,0,0
3995,1.6003e+07,0,0,0,0,0,0
4036,1.6013e+07,0,0,0,0,0,0
4079,1.6023e+07,0,0,0,0,0,0
4120,1.6033e+07,0,0,0,0,0,0
4157,1.6043e+07,0,0,0,0,0,0
4199,1.6053e+07,0,0,0,0,0,0
4243,1.6066e+07,0,0,0,0,0,0
4285,1.6076e+07,0,0,0,0,0,0
4325,1.6086e+07,0,0,0,0,0,0
4370,1.6096e+07,0,0,0,0,0,0
4411,1.6106e+07,0,0,0,0,0,0
4451,1.6116e+07,0,0,0,0,0,0
4497,1.6131e+07,0,0,0,0,0,0
4540,1.6144e+07,0,0,0,0,0,0
4580,1.6154e+07,0,0,0,0,0,0
4621,1.6164e+07,0,0,0,0,0,0
4663,1.6174e+07,0,0,0,0,0,0
4703,1.6184e+07,0,0,0,0,0,0
4748,1.6194e+07,0,0,0,0,0,0
4788,1.6204e+07,0,0,0,0,0,0
4830,1.6214e+07,0,0,0,0,0,0
4870,1.6224e+07,0,0,0,0,0,0
4911,1.6234e+07,0,0,0,0,0,0
4949,1.6244e+07,0,0,0,0,0,0
4986,1.6254e+07,0,0,0,0,0,0
5028,1.6264e+07,0,0,0,0,0,0
5070,1.6274e+07,0,0,0,0,0,0
5110,1.6284e+07,0,0,0,0,0,0
5155,1.6294e+07,0,0,0,0,0,0
5196,1.6304e+07,0,0,0,0,0,0
5237,1.6314e+07,0,0,0,0,0,0
5277,1.6324e+07,0,0,0,0,0,0
5320,1.6337e+07,0,0,0,0,0,0
5357,1.6346e+07,0,0,0,0,0,0
5402,1.6359e+07,0,0,0,0,0,0
5443,1.6369e+07,0,0,0,0,0,0
5483,1.6379e+07,0,0,0,0,0,0
5525,1.6389e+07,0,0,0,0,0,0
5569,1.6399e+07,0,0,0,0,0,0
5611,1.6409e+07,0,0,0,0,0,0
5652,1.6419e+07,0,0,0,0,0,0
5692,1.6429e+07,0,0,0,0,0,0
5727,1.6439e+07,0,0,0,0,0,0
5768,1.645e+07,0,0,0,0,0,0
5809,1.646e+07,0,0,0,0,0,0
5849,1.647e+07,0,0,0,0,0,0
5891,1.648e+07,0,0,0,0,0,0
5933,1.649e+07,0,0,0,0,0,0
5977,1.65e+07,0,0,0,0,0,0
6018,1.651e+07,0,0,0,0,0,0
6060,1.652e+07,0,0,0,0,0,0
6104,1.653e+07,0,0,0,0,0,0
6141,1.6541e+07,0,0,0,0,0,0
6181,1.6551e+07,0,0,0,0,0,0
6221,1.6561e+07,0,0,0,0,0,0
6262,1.6571e+07,0,0,0,0,0,0
6303,1.6581e+07,0,0,0,0,0,0
6344,1.6591e+07,0,0,0,0,0,0
6390,1.6602e+07,0,0,0,0,0,0
6434,1.6611e+07,0,0,0,0,0,0
6475,1.6622e+07,0,0,0,0,0,0
6516,1.6632e+07,0,0,0,0,0,0
6554,1.6644e+07,0,0,0,0,0,0
6595,1.6654e+07,0,0,0,0,0,0
6635,1.6664e+07,0,0,0,0,0,0
6677,1.6674e+07,0,0,0,0,0,0
6717,1.6684e+07,0,0,0,0,0,0
6762,1.6694e+07,0,0,0,0,0,0
6804,1.6704e+07,0,0,0,0,0,0
6845,1.6714e+07,0,0,0,0,0,0
6886,1.6724e+07,0,0,0,0,0,0
6928,1.6734e+07,0,0,0,0,0,0
6963,1.6744e+07,0,0,0,0,0,0
7003,1.6754e+07,0,0,0,0,0,0
7044,1.6764e+07,0,0,0,0,0,0
7085,1.6774e+07,0,0,0,0,0,0
7126,1.6784e+07,0,0,0,0,0,0
7173,1.6794e+07,0,0,0,0,0,0
7214,1.6804e+07,0,0,0,0,0,0
