LineNo,TimeUS,C,Q1,Q2,Q3,Q4
200,1.5036e+07,0,0.99466,-0.011668,-0.012568,0.10174
303,1.507e+07,0,0.99465,-0.011651,-0.012596,0.10187
645,1.5132e+07,0,0.99463,-0.01161,-0.012559,0.10211
758,1.5148e+07,0,0.99462,-0.011622,-0.012548,0.10214
871,1.5164e+07,0,0.99462,-0.011621,-0.01254,0.10218
984,1.5181e+07,0,0.99461,-0.011626,-0.012539,0.10223
1215,1.5259e+07,0,0.99459,-0.011609,-0.012595,0.10248
1599,1.5414e+07,0,0.99455,-0.011608,-0.012561,0.10281
1677,1.5425e+07,0,0.99455,-0.011617,-0.012557,0.10284
1719,1.5435e+07,0,0.99455,-0.011631,-0.012558,0.10287
1759,1.5445e+07,0,0.99454,-0.011642,-0.012566,0.10291
1800,1.5458e+07,0,0.99454,-0.011648,-0.012569,0.10297
1843,1.5472e+07,0,0.99453,-0.01163,-0.012578,0.10304
1885,1.5481e+07,0,0.99452,-0.011631,-0.012579,0.10312
1930,1.5491e+07,0,0.99452,-0.011627,-0.012584,0.10318
1970,1.5501e+07,0,0.99451,-0.011621,-0.012578,0.10324
2011,1.5511e+07,0,0.9945,-0.011607,-0.01257,0.10329
2052,1.5521e+07,0,0.9945,-0.011601,-0.012566,0.10335
2098,1.5537e+07,0,0.99449,-0.011603,-0.012575,0.10343
2142,1.5547e+07,0,0.99448,-0.011603,-0.012584,0.1035
2182,1.5557e+07,0,0.99448,-0.011612,-0.012587,0.10356
2223,1.5567e+07,0,0.99447,-0.01162,-0.012597,0.10362
2264,1.5577e+07,0,0.99446,-0.011639,-0.012605,0.10367
2308,1.5587e+07,0,0.99446,-0.01164,-0.012597,0.10375
2350,1.5597e+07,0,0.99445,-0.011645,-0.012609,0.10381
2391,1.5607e+07,0,0.99444,-0.011645,-0.012602,0.10388
2435,1.5617e+07,0,0.99444,-0.011649,-0.012602,0.10394
2475,1.5627e+07,0,0.99443,-0.011643,-0.012599,0.104
2513,1.5638e+07,0,0.99442,-0.011627,-0.012584,0.10405
2556,1.5648e+07,0,0.99442,-0.011624,-0.012582,0.1041
2596,1.5658e+07,0,0.99442,-0.011612,-0.012569,0.10413
2637,1.5668e+07,0,0.99441,-0.011606,-0.012558,0.10417
2677,1.5678e+07,0,0.99441,-0.01159,-0.012563,0.10421
2722,1.5688e+07,0,0.9944,-0.01159,-0.012562,0.10425
2763,1.5698e+07,0,0.9944,-0.011589,-0.012557,0.10429
2804,1.5708e+07,0,0.9944,-0.011579,-0.01256,0.10433
2845,1.5718e+07,0,0.99439,-0.011577,-0.012562,0.10436
2885,1.5728e+07,0,0.99439,-0.011584,-0.012564,0.10439
2927,1.5738e+07,0,0.99438,-0.011603,-0.012572,0.10444
2969,1.5748e+07,0,0.99438,-0.011619,-0.012581,0.1045
3008,1.5758e+07,0,0.99437,-0.011628,-0.012594,0.10454
3050,1.5768e+07,0,0.99437,-0.011639,-0.012601,0.1046
3090,1.5778e+07,0,0.99436,-0.011644,-0.012601,0.10465
3136,1.5788e+07,0,0.99436,-0.011641,-0.012597,0.1047
3178,1.5798e+07,0,0.99435,-0.011641,-0.012589,0.10476
3219,1.5808e+07,0,0.99435,-0.011644,-0.012578,0.1048
3260,1.5819e+07,0,0.99434,-0.011634,-0.012575,0.10486
3302,1.5832e+07,0,0.99433,-0.011634,-0.012572,0.10493
3339,1.5842e+07,0,0.99433,-0.011613,-0.012571,0.10499
3381,1.5852e+07,0,0.99432,-0.011606,-0.01257,0.10504
3422,1.5862e+07,0,0.99432,-0.01162,-0.012581,0.10509
3462,1.5872e+07,0,0.99431,-0.011615,-0.012596,0.10514
3503,1.5882e+07,0,0.99431,-0.011611,-0.012601,0.10518
3547,1.5892e+07,0,0.9943,-0.011612,-0.012599,0.10522
3588,1.5902e+07,0,0.9943,-0.011626,-0.012602,0.10525
3630,1.5912e+07,0,0.99429,-0.011637,-0.012588,0.10528
3672,1.5922e+07,0,0.99429,-0.011646,-0.01259,0.10532
3710,1.5932e+07,0,0.99429,-0.011663,-0.012581,0.10534
3747,1.5942e+07,0,0.99428,-0.01167,-0.012578,0.10538
3789,1.5953e+07,0,0.99428,-0.011666,-0.012573,0.10545
3830,1.5963e+07,0,0.99427,-0.011665,-0.012575,0.10553
3870,1.5973e+07,0,0.99426,-0.011647,-0.012581,0.1056
3911,1.5983e+07,0,0.99425,-0.011639,-0.012587,0.10569
3955,1.5993e+07,0,0.99424,-0.011625,-0.01259,0.10576
